default
ロリ巨乳バニー,Shortstack Bunny
ロリコンマスターさんは、\nわたしのおっぱいサービス、とっても気に入ってくれたみたいですね❤\nうれしいです❤くすくす❤,It seems that the Lolicon Master really liked my puff-puff service~❤ That makes me so happy~❤ Giggle~❤
ふわふわでいい匂いがして、\n全然飽きたりしないですよね❤\nくすくす❤おちんちんびくびくさせて、お返事ありがとうございます❤,They're so soft and smell so nice; I bet you'll never get bored. Giggle~❤ Your penis just twitched; so I guess that's my answer. Thank you so much~❤
ああん、残念外れちゃいました。\nお客さんのこと、たくさんぱふぱふしてあげたかったのに…。,Oh; boo. Looks like it landed on tails. That's so sad. I wanted to service you a bunch…
でも、また次のターンになったらしてあげるので、\n楽しみにしていてください❤\nわたしのこと攻撃しないでくださいね❤,But I'll try again next turn; so please look forward to it~❤ And please don't attack me~❤
ああん、残念また外れちゃいました。\nお客さんのこと、たくさんぱふぱふしてあげたかったのに…。,Oh; boo. Tails again. I wanted to pamper the customer a bunch...
でも、また次のターンになったらしてあげるので、\n楽しみにしていてください❤\n今度のターンもわたしのこと攻撃しないでくださいね❤,But I'll try again next turn; so please look forward to it~❤ And please don't attack me again next turn, too~❤
お客さん、おっぱいで挟んでほしいんですかー？\nしょうがないなー❤,Does the customer want me to squeeze him between my boobs? Well; I guess I have no choice~❤
それなら、わたしこうしているので、\nお客さんから動いてくださいねー❤\nおちんちんズボズボしたら、きもちいですよー❤,In that case; since I'm doing this; could you please come over here?❤ I promise it'll feel really good thrusting your cock in and out~❤
くすくす❤腰がすごく動いちゃってる❤\nおっぱい大好きなせいで、おちんちんズボズボ、\nやめられないですねー❤,Giggle~❤ You're moving your hips so much~❤ You love boobs so much; you just can't stop thrusting in and out~❤
このまま射精するまでパイズリしちゃいますか？\nわたしはいいですよ❤\nお客さんの精液、わたしのおっぱいにください❤,Do you want to keep going until you cum? I don't mind~❤ Please; cover my boobs in your cum~❤
男のお客さんがみんな大好きなのが、このおっぱいです❤\nお飲み物を運んだりしているときも、\nみーんなここばっかり見るんですよ❤,All my male customers love my boobs so much~❤ Everyone stares at them when I bring them their drinks~❤
そう、ここです❤\nおっきすぎるおっぱい❤\nくす、 お客さんも目が吸い寄せられちゃってますねー❤,That's right; these~❤ My super big boobs~❤ Hehe; even your eyes are getting drawn to them~❤
そのままじーっと見ててください❤\nムラムラしたなら、おちんちんシコシコしはじめちゃってもいいですよ❤\nくすくす❤,That's right; just keep staring~❤ If you get excited; it's okay to start stroking your penis if you need to~❤ Giggle~❤
お客さん、お飲み物のサービスはいかがですか？\nって、んふふ・・・❤\n飲み物よりもっと欲しいものがあるみたいですね❤,How about a drink service for the customer? Giggle~❤ Maybe you want more than a drink~❤
わたしのおっぱい❤\nじーっと見ちゃって、視線がバレバレですよ❤お酒なんかより\nわたしのおっぱいからミルクをちゅーちゅーしたいんですか？,Do you want my boobs?❤ It's really obvious from how hard you're staring~❤ Do you want to suck my boobs more than you want a drink?
って、ミルクなんてでないんですけど。\nでも、ちゅーちゅーしたいならいいですよ❤\nこっち来て、わたしのおっぱいの高さまでしゃがんでください❤,Well; there's no milk to drink; but if you want to suckle; I don't mind~❤ Come over here and kneel down so you're the same height as them~❤
ほら、ちゅーちゅー❤ちゅーちゅー❤\nおっぱいおいしいでちゅねー❤,That's it~❤ Suckle all you want~❤ Looks like you really like the taste of my boobs~❤
自分より背丈の小さい子に\nおっぱいちゅーちゅーしながら甘えて、\n興奮しちゃうんですねー❤へんたーい❤,You've gotten all excited letting a girl shorter than you pamper you like this; suckling her breast~❤ You're such a pervert~❤
そのままおっぱいちゅーちゅーしてていいですよ❤\nびくびく震えてるおちんちん\nおっぱい吸うだけで射精しちゃいましょうねー❤くすくす❤,It's okay. Keep suckling; just like that~❤ Look; your penis is trembling so much! Let's make you cum just from suckling~❤ Giggle~❤
お客さんにサービスです❤\nおっぱいでおちんちんを挟んであげちゃいます❤\nえいっ❤,It's time to service our dear customer~❤ I'll squeeze your penis with my boobs~❤ Here I go~❤
おちんちんっておっぱいで挟まれたらよわよわですよねー❤\n筋肉ムキムキの人でも、ここはみーんな弱いんです❤\nやわらかおっぱいにすぐ負けちゃう❤,When a man's penis gets squeezed between breasts; he gets all weak~❤ Even big; strong men can't resist this~❤ They lose so quickly to a pair of soft boobs~❤
お客さんも今とっても気持ちよさそうです❤\nおちんちんおっぱいの中に思いっきり出し入れしたくないですか？\nお尻を浮かせてへこへこしちゃいましょ？ほら、ほら～❤,You seem to be feeling really good right now~❤ Don't you want to thrust your cock deep inside my boobs? Why don't you lift your hips and start humping them? Here~❤
あん❤腰へこへこ始まっちゃいましたね❤\nおっぱいフェチのお客さんには、誘惑が強すぎちゃいました？,Aha~❤ You started thrusting~❤ Was the temptation too much for a customer with a boob fetish like you?
おちんちん、ヘコヘコ❤ずぼずぼ❤\nおっぱいかきわけるの気持ちいいですね❤\nうっとりおもらし、しちゃっていいですよ❤,There you go; keep thrusting~❤ Plunge it in deep~❤ It feels so good to push between my boobs~❤ Feel free to cum in pure bliss~❤
くす❤わたしに気持ちよくしてほしいんですか？\n敵の下級モンスターにおねだりしちゃうなんて、\nかっこわるいです❤,Giggle~❤ Do you want me to make you feel good? Begging a low-level enemy monster like this... That's so uncool~❤
かしこまりましたー♪\nバニーガールとしてお客さんにご奉仕させていただきます❤,But understood~♪ I will serve the customer as only a bunny girl can~❤
あん❤\nおっぱい吸いながらびゅるるぅって射精してる❤\nきもちよさそうな蕩け顔です❤,Oh my~❤ Just sucking my nipple made you cum~❤ Your face looks so lewd and blissful~❤
ちっちゃな女の子のおっぱいちゅーちゅーして、\nそんな顔になっちゃうんですね❤\nくすくす❤おっぱい離れできないロリコンさん❤,I can't believe that's the face you make while sucking on a small girl's boobs~❤ Giggle~❤ You're just a lolicon obsessed with breasts~❤
きゃっ❤熱いのがたくさんかかってます❤\nもしかしておっぱいゆさゆさされただけで、\nおちんちん暴発しちゃったんですか？,Eek~❤ You're letting out so much of your hot stuff~❤ Did your penis really explode just from me shaking my boobs?
くすくす❤おねだりしちゃうようなお客さんは\nおちんちんもとっても我慢よわいんですね❤\nかわいいです❤,Giggle~❤ I guess customers who beg for it just can't hold back~❤ So cute~❤
あん❤挟んでるおちんちんからどぴゅどぴゅ～って\nたくさん出ちゃってます❤\n谷間があつあつになっちゃいました❤,Ah~❤ I was squeezing your penis and it just started shooting~❤ My cleavage is getting all wet and hot~❤
敵のバニーガールにおねだりして\nずりずりされて射精するの気持ちよかったですか？\nふふ、仲間には見せられないぐらい蕩け顔してますよ❤くすくす❤,Did you like begging the bad bunny girl and letting her play with you until you came? Hehe; your face is so lewd you can't even show your allies~❤ Giggle~❤
うふふ❤おっぱいにメロメロで逃げられないみたいですね❤\nほらほら、追加のパイズリサービスです❤,Giggle~❤ You're so captivated by my boobs you're not even trying to escape~❤ Then here; an extra paizuri service; just for you~❤
あん、腰がびくびくって跳ねて、\nんふふ、いいですよ、ぐって谷間の奥に差し込んで、\nびゅーって出してください❤,Ah; your hips are twitching so much. Fufu; that's good. Just push it deep in my cleavage and cum lots~❤
やぁん❤どくどくっておっぱいの間にたくさん出てます❤\nお客さんの精液、あつぅい❤,Ahh~❤ There's so much my boobs are starting to drip~❤ The customer's semen is so warm~❤
わたしのパイズリサービス、いかがでしたか？\nちっちゃな女の子のおっきなおっぱいに、\n簡単に負けちゃいましたね❤くすくす❤,How did you like my paizuri service? A small girl's big breasts made you lose so easily~❤ Giggle~❤
きゃ！ううっ、ずっとパイズリ楽しんでてもいいのに・・・。,Eek! Ugh; you could've enjoyed my paizuri forever...
おっぱいの奥までずぷずぷ❤ずぷずぷ❤,Slide deep into my tits~❤ Deep between them~❤
おちんちん気持ちいいですね～❤,I bet your penis feels so good~❤
サービスパイズリ、楽しんでください❤,Please; enjoy my paizuri service~❤
お客さんの持ち金は、おっぱいの間に没収しちゃいます❤,I'll take all the customer's money and slide it between my breasts~❤
エナジーをびゅーって谷間に出してください❤,Please; let all your energy flow out into my cleavage❤~
おちんちん固ーくなってますね❤ずりずりされて喜んじゃってます❤,Your penis is getting really hard~❤ Getting rubbed must make you really happy~❤
じーっとしておっぱい満喫しちゃいましょうね❤,Just stay still and enjoy my boobs~❤
よいしょ、よいしょ❤おっぱいの中にご招待です❤,Come here; come here~❤ I want to invite you into my boobs~❤
おっぱいが揺れるの見てたら、抵抗も止まっちゃいますね❤,Seeing my boobs sway like this; I bet you can't help but give in~❤
腰が抜けて逃げられませんか？くすくす❤,Did your legs give out and leave you trapped? Giggle~❤
だいじょうぶ❤ライフがゼロになるまでまだまだ余裕がありますよ❤,That's okay~❤ After all; you still have plenty of time before your life hits zero~❤
おちんちんあと何秒我慢できるでしょうか❤えい♪えい♪,How many more seconds can your little penis hold out?❤ Hm?♪ Hm?♪
やぁん、お客さん、オナニーし始めちゃいました❤\n背の低いわたしのおっぱい、\n見てたら我慢できなくなっちゃいました？,Oh; customer; you started touching yourself~❤ Did you lose control when you saw such big breasts on such a small girl?
こんなに腕も脚も細いんですよ？\nお客さんが本気を出せば、簡単に押し倒されちゃいます。\nそれなのに・・・。,My limbs are so scrawny and weak; you know? If the customer really tried; they could easily push me around. And yet...
お客さんは、勝手にしこしこ❤しこしこ❤\n敵のモンスターの前で、\nおちんちん触って自滅のオナニーしちゃうんですね❤くすくす❤,The customer is just touching himself~❤ Stroking and stroking~❤ Throwing his life away masturbating to an enemy~❤ Giggle~❤
ううっ…❤それはぁ…❤,Ugh...❤ That... That's not...❤
あん、別に責めてるんじゃないんですよ❤\nわたしみたいな小さい子の体で興奮してくれて、\nとってもうれしいです❤,Ah; I'm not scolding you or anything~❤ I'm really happy that you're excited by a bunny as small as me~❤
ほらほら、わたしの一番の自慢、\nおおきなおっぱいを、たくさん見てください❤,Look down here. My big boobs are my pride and joy; so please take a good; long look at them~❤
前かがみになって、\n体を左右にゆらゆらゆら～❤,I'll even lean forward and sway my body side to side~❤
あひぃっ…❤すごいぃ…❤,Ahh...❤ Amazing...❤
くす❤ほめてくれてありがとうございます❤\nそうですよ。わたしのおっぱいすごいんです❤,Giggle~❤ That's so nice of you to say~❤ That's right. My boobs are the best~❤
わたしより年上の相手でも、\nぎゅって腰に抱き着いて、おっぱいを押し付けてあげれば、\nそれだけで勝てちゃうんです❤,Even if the person is much bigger than me; I can win if I hugging them tight around the waist and pressing my boobs against him~❤
おちんちんがむにゅうっておっぱいに包まれて、\nかっこいい顔してた男の人も、\nすぐにアヘアへぇってなって、そのまま射精❤,No matter how cool-looking the guy is; when they feel my boobs envelope them they end up moaning and cumming right then and there~❤
どうですか？\nお客さんも、わたしのすごーいおっぱいで、\nおちんちんむぎゅうってされてみたいですか？,What do you think? Don't you want your penis squeezed by my amazing boobs?
きゃは❤おちんちんシコシコするのが早くなりましたね❤\n自分がおっぱいハグされるの、想像しちゃったんですね❤\nわかりやすいです♪,Kyaha~❤ You're stroking so much faster now~❤ You just imagined what my boobs would feel like if I hugged you~❤ It's so obvious~♪
でも、オナニーしちゃってるお客さんには\nおっぱいハグはお預け❤\n代わりに・・・。,But sorry; no boobie hugs for masturbating customers~❤ Instead...
ほら、おちんちんの目の前に、\nおっぱいギリギリまで近づけて、\nぴょんぴょんって跳ねてあげますね❤,Look; I'll bring my boobs as close as possible to your penis without touching and bounce them around for you~❤
バニーガールがうさぎのまねをするなんて、\nあざといですか？\nでもぉ、たぷんたぷんって揺れてエッチですよね。ぴょん♪ぴょん♪,It's a little silly for a bunny girl to act like a bunny; right? But I'm told it's kind of sexy how hopping makes them jiggle. See?  Hop~♪ Hop~♪
あっ…❤ああっ、さきっぽにあたりそうでっ…❤ううっ…❤❤,Ah...❤ Ahh; they're so close to the tip...❤ Ugh...❤❤
くすくす❤ざんねんですけど、\n腰をへこへこしても、あとちょっと届きませーん❤,Giggle~❤ What a shame. Even if you wiggle my hips; you can't quite reach~❤
谷間にずぷぅっておちんちん入れて、\nきもちよーく射精したいですよね❤\nでもオナニーしちゃったお客さんはそれはできないんです❤,You just want to stick your penis in my cleavage and let the pleasure make you cum so badly~❤ But masturbating customers don't get to do that~❤
だってだって、そんなことしなくても、\n揺れてるの見てるだけでもイっちゃいますもんね❤\nぴょん♪ぴょん♪ぴょん♪,But that's okay; because you don't need that. You'll come just from watching them bounce~❤ So I'll just hop; hop; hop~♪
あっ、ああっ、もうだめっ、出るっっ❤❤,Ah; ahh... I-I can't take it anymore... I'm coming...❤❤
いいですよ❤イっちゃってください❤\n中に入れたくてたまらない、わたしの谷間めがけて、\n悔しいおもらし、びゅるるるぅってかけてください❤,That's okay~❤ Please; go ahead and do it~❤ Cover the cleavage you want to thrust into so badly with your frustrated cum~❤
うさぎのおっぱいまんこに精液かけて、\nあん、孕ませてください❤\nほら、イって❤イって❤ぴょん♪ぴょん♪ぴょん♪,Cover the little bunny's booby pussy in your cum! Ah; make me pregnant~❤ Come on; come on~❤ Hop~♪ Hop~♪ Hop~♪
あへぇ・・・❤❤,Ahee...❤❤
くすくす❤どぴゅどぴゅ射精、お上手です❤\n見てください、おっぱいまんこがこんなにドロドロ❤\nもし本物おまんこだったら赤ちゃんできちゃってましたね。,Giggle~❤ You're so good at cumming~❤ Look; your boob pussy is all sticky~❤ If it were real; you would have made a baby just now.
小さい女の子に向けてシコシコして\n孕ませるぞって射精しちゃうなんて、\nとってもへんたいですね❤マスターさん❤,Masturbating and ejaculating to make a little bunny pregnant... Don't you think that's really perverted; Master?❤
小さい女の子に向けてシコシコして\n孕ませるぞって射精しちゃうなんて、\nとってもへんたいですね❤モンスターさん❤,Masturbating and ejaculating to make a little bunny pregnant... Don't you think that's really perverted; Mr. Monster?❤
やぁん、ほんとにマスターさんもオナニーし始めちゃいました❤\n仲間がおっぱいでシコシコしてるの見てたら、\n我慢できなくなっちゃいましたか？,Oh wow; Master started masturbating; too~❤ Did you lose control after watching your friend cum on my boobs?
やぁん、他のお客さんもオナニーし始めちゃいました❤\n仲間がおっぱいでシコシコしてるの見てたら、\n我慢できなくなっちゃいましたか？,Oh; another customer started masturbating; too~❤ Did you lose control after watching your friend cum on my boobs?
こんなに腕も脚も細いんですよ？\n倒そうと思えば簡単に倒せるのに、\n仲間のオナニーがうらやましくなってシコシコシコ♪,My limbs are so scrawny and weak; you know? If you wanted to; you could easily win; but instead; you got jealous of your friend and decided to masturbate. You just keep stroking and stroking and stroking~♪
おちんちん気持ちよくなって、\nはぁはぁしながら棒立ちになっちゃってます❤\nくすくす❤,You're just standing there and panting. Your penis must feel really good~❤ Giggle~❤
くす❤ほめてくれてありがとうございます❤\nあなたもやっぱり「すごい」って思いますか？,Giggle~❤ That's such a nice compliment~❤ You must also think my boobs are  "amazing;" right?
さっきの人もこのおっぱいであひぃって言いながら射精しちゃいました❤\nわたしより強くても\nおっぱいゆらゆらしてあげれば関係ないんです❤,The last person came for these boobs while moaning so much~❤ As long as I shake my boobs for them; no guy can win; even if they're stronger than me~❤
お客さんもそうですよね？\nわたしのすごーいおっぱいを、\nぴょんぴょんって揺らしてあげればすぐ射精しちゃいますよね❤,You're the same; right? I bet if I bounce my amazing breasts; you'll cum right away~❤
きゃは❤おちんちんシコシコするのが早くなりました❤\nおっぱいがだぶんだぶんって揺れるの、想像しちゃったんでしょう？\nわかりやすいです♪,Kyaha~❤ You're stroking so much faster now~❤ You just imagined what my boobs would feel like if I hugged you~❤ It's so obvious~♪
いいですよ❤\nみんなみんな、このおっぱいで負けさせてあげます❤,Alright then~❤ I'll make sure everyone loses to my boobs~❤
ほら、おちんちんの目の前に、\nおっぱいギリギリまで近づけて、\nぴょんぴょん❤ぴょんぴょん❤,Look; I'll bring my boobs as close to your penis as I can and hop for you; too~❤ Hop; hop; hop~❤
あっ…❤ああっ、すごい揺れてぇ❤❤あひぃっ…❤❤,Ah...❤ Ahh; they're bouncing so much...❤❤ Ahh...❤❤
くすくす❤これだけ揺れたらおちんちんに当たりそうですけど、\nギリギリ当たらないですねー❤,Giggle~❤ With how much they jiggle you think they'd touch the tip; but they just barely miss it~❤
わたし、こうやって寸止めするの得意なんです❤\nお客さんが腰を突きだしても、ほんの数センチ当たらない距離に、\nおっぱいをたぷんたぷん❤揺らしちゃいます❤,I'm really good at teasing like this~❤ No matter how much a  customer thrusts his hips; I just sway my boobs a couple inches away from him~❤
谷間にずぷぅっておちんちん入れて、\nきもちよーく射精したいですよね❤\nでもオナニーしちゃったお客さんはそれはできませーん❤,You just want to stick your penis in my cleavage and let the pleasure make you cum so badly~❤ But masturbating customers don't get to do that~❤
何人もわたしでオナニーしちゃって、\n期待のルーキーさんの陣営はボロボロです❤\nマスターさんもわたしでオナニーしちゃいますか？くすくす❤,So many customers are masturbating to me; and the rookie's team is falling apart~❤. Master; are you going to masturbate to me; too? Giggle~❤
やぁん❤お客さん、お強いですね。\nわたしのおっぱいに負けずに、そんなに頑張れるなんて、\nあん、かっこいいです❤,Wow~❤ Customer; you're so strong. To be able to work so hard without being defeated by my boobs... You're so cool~❤
んふ、でも、おちんちんはけっこう限界近そうですね❤\n勃起してヒクヒクしてるの、隠せてませんよ❤,Hehe; but it seems like your little friend is pretty close to his limit~❤ I can see him twitching and standing up. You can't hide it~❤
どうします？そのおちんちんは放っておいて、\nわたしにとどめ刺しちゃいますか？,What are you going to do? Are you going to ignore that thing and finish me off?
それとも、このおっぱい…❤\nこれでお顔やおちんちんを挟んで、\n気持ちよーくびゅるるぅって出しちゃいますか？,Or... I could use my boobs...❤ Don't you want me to squeeze your face or penis with them and make you feel so good you cum?
わたしはバニーガールです❤\nお客さんがお望みなら、\nたっぷりサービスしてあげますよ❤,I am a bunny girl; after all~❤ If the customer wants it; I will provide any number of services~❤
お代はチップのかわりに、お客さんのエナジーでお支払いください❤\nね、別にこんな試合ぐらい、一回負けてもいいでしょ？\nわたしと気持ちいいことしましょうよー❤,Don't worry about a tip. You can pay with your energy~❤ Come on; it's okay to lose a match like this just once; right? Let's have some fun together~❤
ほら、お客さんのご要望を教えてください。\nパイズリとぱふぱふ、どっちでヌキヌキしてほしいですか？,You just have to tell me what service you want. Would you prefer a paizuri or a puff-puff?
無視して攻撃した,Ignore her and attack
パイズリを頼んでしまった,Ask for a paizuri
ぱふぱふを頼んでしまった,Ask for a puff-puff
あう、ほんとに理性がつよい…。\nかっこいいですぅ…。,Ah; your self-control is really strong... You're so cool...
パイズリがいいんですか？\nかしこまりましたー❤,You want a paizuri? Yes sir!❤
それじゃあ、武器を捨てて地面に寝転んでください。\nくす❤あとちょっとでとどめを刺せたのに、\n今はすっかりわたしの言いなりですね❤,Well then; please drop your weapon and lie on the ground. Giggle~❤ You were so close to finishing me off; but now you're completely at my mercy~❤
おっぱいにずぶずぶ～って入れましてー❤,I'll just plunge you into my boobs~❤
はい、パイズリスタートです❤,Okay; time to start your paizuri service~❤
はぐうっ…❤きもちいいぃ…❤❤,Ugh...❤ It feels so good...❤❤
あん❤おちんちん、おっぱいの中で跳ねちゃってます❤,Aha~❤ Your penis is bouncing around inside my boobs~❤
どたぷんって音がしちゃいそうなわたしのおっぱい、\n腰にぱちゅんぱちゅんって叩きつけられて\nおちんちん大喜びみたいですね❤くすくす❤,My boobs look like they might make a slapping sound when they slam against your hips. Your cock seems to be enjoying it a lot; though~❤ Giggle~❤
谷間もみっちりしてるので、ずぷずぷーって入っていくとき\n気持ちいいでしょう？\n腰が抜けちゃいそうなんじゃないですか？,Since my cleavage is so snug; it must feel really good when you slide in; right? Does it feel like your hips are going to give out?
ほら、うえ、した❤\nうえ、した❤\nおっぱいが往復しておちんちんをずりずりずり❤,Look; up; and down~❤ Up; and down~❤ The breasts keep bouncing; they're rubbing your penis so much~❤
あっ、あっ、これやばいっ❤はひぃっ❤きもちいい❤きもちいいぃ・・・❤❤❤,Ah; ah; this is amazing...❤ Hahh....❤ It feels so good...❤ It feels so good...❤❤❤
くすくす❤だいじょうぶですよ❤\n気持ちよすぎておかしくなっても、\nもうあとはわたしにエナジー搾られるだけなんですから❤,Giggle~❤ It's okay~❤ Even if you go crazy from feeling too good; all that's left is for me to squeeze out your energy~❤
お客さんは地面に横になって、\nパイズリでふにゃふにゃのメロメロになってもいいんです❤\n腰が抜けちゃっても、だいじょうぶ❤だいじょうぶ❤,You can just lie on the ground and become all mushy and weak from a paizuri❤ Even if you're legs give out; it's okay~❤ It's okay~❤
あは、おちんちんが膨らんできました❤\nだいじょうぶだいじょうぶ、って言われて、\n体が安心しちゃいましたか？,Ah; my penis is getting really hard~❤ Did you feel relieved when I told you it was okay?
安心しちゃうと、おちんちん全然がまんできなくなりますよね❤\n谷間の中に、びゅるるぅって射精❤\nあと何往復持つでしょうか❤,Good. If you feel relaxed; you won't be able to hold back at all~❤ You'll cum a whole bunch in my cleavage~❤ Hey; how many more bounces do you think you can take?❤
ほら、ほら・・・❤\nやわらかぁいおっぱいで骨抜きになって、\nそのまま出しちゃってください❤１回、２回、３回・・・・❤,See; look...❤ You'll be completely captivated with my soft boobs; so just let it all out...❤ One bounce; two bounces; three bounces...❤
あへぇ・・・・❤❤,Ahhh...❤❤
あん❤４往復目で射精しちゃいました❤\nわたしのパイズリは最高でしたか？\nとろけた顔で、とっても幸せそう❤,Ah!❤ You came on bounce number four!❤ Wasn't my paizuri just the best? You looked so happy with your face all lewd like that~❤
あとちょっと我慢すれば倒せたのに、\nおっぱいで誘惑されてどぴゅどぴゅって射精♪\nおちんちん幸せになれたけど試合はぼろ負けしちゃいましたね❤,If you'd held out a little longer you could have won; but I my boobs were just too tempting and you ended up cumming instead~♪ Your penis felt so good; but you lost so bad~❤
こんなちっちゃい女の子に負けるなんて、\n恥ずかしいマスターさんです❤\nくすくす❤,You lost to a girl as small as me. Master; that's really embarrassing~❤ Giggle~❤
あとちょっと我慢すれば倒せたのに、\nおっぱいで誘惑されてどぴゅどぴゅって射精♪\n仲間たちを裏切ってよかったですねー❤,If you'd held out a little longer you could have won; but I my boobs were just too tempting and you ended up cumming instead~♪ You must be so glad you betrayed your friends~❤
くす❤どっちをしてほしいか悩んでるんですか？\n体が固まって隙だらけです❤,Giggle~❤ Are you having trouble picking? Your body is so stiff; and you've left yourself wide open~❤
はい、わかりました❤\nぱふぱふサービスでたくさん気持ちよくしてあげます❤,Yes; sir~❤ I'll give you my puff-puff service and make you feel really good~❤
ほら、お客さんの頭を捕まえて・・・❤,First; I'll grab the customer's head and...❤
やわらかぁいおっぱい、\nたくさん楽しんでください❤\nぱふぱふ❤ぱふぱふ❤,There! Please; enjoy being buried in my soft boobs~❤ Puff-puff~❤ Puff-puff~❤
はううっ…❤やわらかいぃ…❤❤,Hahh...❤ So soft...❤❤
やん、お客さんの息が当たってくすぐったいです❤\nおっぱいに挟まれて、うっとりした息が漏れちゃってますよ❤,Oh; dear customer; your breath tickles~❤ You're you're letting out such blissful sighs; sandwiched between my boobs~❤
