default
宝石サキュバス,Gemstone Succubus
わらわに胸や手で愛撫してほしいのか。\nよかろう、一瞬でそなたを絶頂させてみせようぞ。,So you wish for me to caress you with my breasts and hands? Very well; I'll make you climax in an instant!
わらわに投げキスで果てさせてほしいとな？\nほほほ❤強者のくせに頼むことがずいぶん変わっておるの❤,So you wish for me to make you climax with a blown kiss? Hohoho~❤ Despite your strength as a fighter; you requests are quite unusual.❤
わらわの目に心を狂わされたいと申すか。\nほほ、妙なことを望むものもいたものよ❤\nよかろう、我が魔力で恍惚に染め上げてみせようぞ。,Are you saying you wish for my eyes to drive your mind to madness? Hoho; what strange desires some have~❤ Very well; I shall use my magic to dye you in ecstasy.
ホホホ❤なんともたわいない。\nわらわの高貴な胸は、極上の肌ざわりであったであろう？,Hohoho~❤ How utterly pathetic. My noble breasts felt exquisite to the touch; did they not?
服の汚れなど、ほれ、すぐに吸収してしまえば元通りじゃ。\nそなたの粗末なエナジーも、\nわらわが吸収して有意義に活用してやろうぞ。,Such terrible stains on my clothes. Observe; they're absorbed immediately and my dress is pristine once more. I shall also absorb your pathetic energy and put it to a more noble purpose.
ホホホ❤なんともたわいない。\n抱き寄せられただけでビクビクと震えて、\nわらわの高貴な体は、極上であったであろう？,Hohoho~❤ How utterly pathetic. A mere embrace has left you trembling and shaking. My noble body was exquisite; was it not?
ホホホ❤なんともたわいない。\n指でなでただけではぜるとは、\nそなたとわらわの格の違いがよくわかるのう。,Hohoho~❤ How utterly pathetic. Brought to climax from merely being stroked by my finger. I expect the difference in our standings is now quite clear.
そなたの命など、わらわの指一本に敵わぬのだ。\nなんとも残酷な差よの。ホホホ❤,Your life has less value than even a single finger of mine. What a cruel difference! Hohoho~❤
ホホホ❤なんともたわいない。\nわらわに魔力をぶつけられて、\n膝から崩れおちてしまいおったわ。,Hohoho~❤ How utterly pathetic. A mere hit from my magic and you've collapsed to your knees.
わらわの美しい唇から放たれる、恍惚の魔力。\nそなたに極楽を見せるには十分な威力であったであろう？,The spell of ecstacy released from my beautiful lips had more than enough power to show you paradise; did it not?
ホホホ❤なんともたわいない。\nわらわに見つめられながら、\n自らしごいてすぐに果てて・・・❤,Hohoho~❤ How utterly pathetic. Beneath my noble watch you immediately stroked yourself to climax...❤
これでも人間の中では強者の部類、\nBランクだというから笑わせる。\nそなたらのような雑魚が強者とは、人類も終わっておるの。ほほほ❤,Among humans; you're supposedly in the upper-class. B-Rank; they say. How laughable! When weaklings like you are considered strong; humanity is truly finished. Hohoho~❤
あううっ・・・❤がまんできない・・・❤,Ahhh...❤ I can't hold back...❤
ほほほ❤ふらふらとわらわの前まで来たと思えば、\n地面にへたり込んで自慰を始めおったわ。\nなんとも情けない男よの。,Hohoho~❤ You staggered before me; then collapsed to the ground and started touching yourself. What a pathetic man!
わらわの美しさにあてられて、もはやまともな思考もかなわぬか？\nなに、常人であれば、そのようになるのもいたしかたないこと。\nそれほどにわらわは美しいのだ。,Are you so overwhelmed by my beauty you can no longer think properly? For an ordinary person; such a reaction would inevitable. That's simply how radiant I am!
とはいえ、そなたはBランクのカードマスター。\nそれも「無敗」の名を冠する男なのであろう？\n国の中でも有数の強者がこのありさまとは・・・。,You; however; are meant to be a B-rank cardmaster. One who bears the title of "undefeated;" are you not? For one of the nation's finest warriors to be brought so low...
とはいえ、そなたはBランクマスターの使い魔。\nそれも「無敗」の名を冠する男のしもべなのであろう？\n国の中でも有数の強者がこのありさまとは・・・。,However; you are meant to be the familiar of a B-rank cardmaster. The servant of a man who bears the title of "undefeated;" are you not? For one of the nation's finest warriors to be brought so low...
常人のみならず、強者までもが自らわらわにこうべを垂れる。\nわらわが美しすぎるのか、そなたら人間が弱すぎるのか。\nおそらく両方であろうの❤,It seems both the weak and the strong bow their heads to me of their own accord. Am I simply too beautiful; or are you humans too feeble? Perhaps both~❤
あっ、あっ、ああっ、きもちいいぃ・・・❤,Ah; ah; ahhh; it feels so good...❤
ほほ、何もせずとも勝手によがっておるわ。\nわらわのそばに寄ったせいで、濃い淫気が体にまとわりつき、\n理性をさらに失っておるのか。,Hoho; you're moaning all on your own; without me so much as lifting a finger. Since you deigned to approach me; thick; lustful energy now clings to your body; making you lose yet more of your pitiful reason.
自分で扱いていても、普段の数倍は気持ちよかろう？\nいわば、わらわの魔力に肉棒を包まれているようなもの。\nそんな状態で扱けば、骨の髄まで快感にとろけてしまうのも当然よの。,Even simply stroking yourself feels infinitely better than usual; does it not? It is as if your cock has been cocooned in my magic. In a state like this; it is only natural that pleasure would melt you to your very bones!
どうせすぐ果てるであろうが、\nおぬしの自慰の様子など、見ていても退屈じゃ。\nほれ、今すぐこの場で果ててしまうがよい。んっちゅ・・・❤,While I know your climax is close at hand; watching you stroke yourself grows tiresome. Come; reach your peak; here and now! Mmchu...❤
わらわの魔力をハート型にして、おぬしに向かって飛ばしてやろうぞ。\nイケ❤下郎❤,I shall shape my magic into a heart and send it flying your way. Cum~❤ Peasant!❤
はひぃ・・・❤あっ❤ああっ❤❤,Hahh...❤ Ah.❤ Ahhh!❤❤
ほほほ❤なんともあっけないものよのう。\n男の命というものは実にたやすく献上される。\nそなたらはサキュバスと戦うには、十年は早いのではないか？,Hohoho~❤ How dreadfully anticlimactic! Male lives are so easily sacrificed. Aren't you all a bit too young to be fighting succubi?
まあ十年鍛えたところで、わらわの虜に一度落ちた男が、\nまた這いあがって来れるとも思わぬがの。\nそなたはもう一生この快感を忘れられぬぞ。くくく❤,Though; even if you were to train for another decade; I doubt a man who had fallen under my spell once already could ever crawl his way back up again. You'll never forget this pleasure for the rest of your life. Kukuku~❤
ほほほ❤なんじゃ、そなたもわらわに命をささげたくなったか？\n地面にへたり込んで自慰を始めて、\nなんとも情けない男よの。,Hohoho~❤ What's this? Do you wish to offer your life to me as well? You have collapsed to the ground; stroking yourself so willingly. What a pathetic man!
わらわの美しさにあてられて、自ら膝を屈する。\nなに、常人であれば、そのようになるのもいたしかたないこと。\nそれほどにわらわは美しいのだ。,Overwhelmed by my beauty; you kneel of your own accord. For an ordinary person; such a reaction would be inevitable. That's simply how radiant I am!
とはいえ、そなたらはBランクマスターの使い魔。\nそれも「無敗」の名を冠する男のしもべなのであろう？\n国の中でも有数の強者どもがこのありさまとは・・・。,You all; however; are meant to be the familiar of a B-rank cardmaster. The servants of a man who bears the title of "undefeated;" are you not? For such elite warriors to be brought so low...
ほほほ❤なんともあっけないものよのう。\n男が何人もガン首をそろえて、わらわに傷ひとつつけられぬ。\nそれどころか自ら精をささげて、その体力を回復させるありさま。,Hohoho~❤ How utterly anticlimactic! Multiple men lined up together; unable to inflict a single wound on me. Instead; they offer up their essence themselves; restoring my stamina.
最後にはマスター自ら自滅とは、ほほほ❤なんとも情けない。\n美貌にたやすく屈する、男という生き物は実にあわれよの❤,In the end; even the master himself offered his life to me. Hohoho~❤ How pathetic! Men are truly pitiful creatures who surrender so easily to beauty!❤
このまま全滅するまで、わらわにすべてをささげるとよい❤\nどうせそなたらに勝機はもはやなかろう？,Continue offering everything to me until none of you are left standing!❤ After all; you no longer have any chance of victory; do you?
ほお、なかなかやるではないか。\nわらわにこれほどの手傷を負わせるとは、\n人間にも実力者がいたものよ。,Oh; you're quite impressive. To inflict such wounds upon me... To think there are such skilled individuals among humans after all!
そなたへの褒美じゃ。\nほれ、我が宝石の光を受けとるがよい・・・❤,Allow me to grant you a reward. Come; receive the light of my jewel...❤
なっ・・・❤あうぅ・・・❤,What...❤ Ahhh...❤
ほほほ❤わらわが手を振り上げたのを見て、\n警戒し注視したのが命取りじゃったの。\nこの手にはめた宝石は、わらわの体から魔力を受け取り増幅して放つ。,Hohoho~❤ You were so cautious; seeing me raise my hand; and you watched so intently... And that was your mistake. The jewel on this hand receives magic from my body; amplifies it; and releases it to the world.
この光を目にしたものは、一瞬で思考を塗り替えられ、\n全身を恍惚感にむしばまれるというわけじゃ。\nどうじゃわらわは美しかろう？手足にはもう力が入るまい？,Those who see this light have their thoughts instantly rewritten; and their entire body consumed by ecstatic stimulation. Do you not find me utterly beautiful? Your limbs are left completely unable to muster any strength; are they not?
ガクガクと足をふるわせ、立つのもやっとのようじゃの。\n射精の快感を何倍にもしたような強烈な恍惚感。\nさしもの強者も何もできぬようじゃ❤,Your legs shake and tremble; leaving you barely able to stand. An intense feeling of ecstacy courses through you; like the pleasure of ejaculation multiplied many times over. Even a strong warrior can do nothing against such magic~❤
さあ、このままもう一度光を浴びせて、\nおぬしの精を搾り取ってやるとしようぞ。,Now; I shall bathe you in the light once more and milk your essence for all you are worth.
理性を振り絞り足に力を込めた,Muster your reason and put strength into your legs
あまりの美しさにみとれてしまった,So... Beautiful... I... I can't...'
なっ、この状況からまだ動けるじゃと・・・！,What; how are you still able to move...?
ぐふっ、人間ながらあっぱれな強さよ・・。,Guh; your strength is admirable... for a human...
ほほ❤その目、少しは抗う気概があるようじゃが、\n体は言うことを聞かぬようじゃの。\n足も手も全く動かせておらぬぞ？,Hoho~❤ I can still see a spark of fighting spirit in your eyes; but it seems your body simply won't listen to you. You can't move your arms or legs at all; can you?
ほほほ❤うっとりとした目でわらわに見惚れおって、\nすっかりわらわの虜に堕ちたようじゃ。,Hohoho~❤ You're staring at me with such enchanted eyes. You have completely fallen under my spell!
ほれ、我が光を浴びて、\n極上の快楽に浴するがよい、強き人間よ❤,Come now; bask in my light and experience the ultimate pleasure; oh once-powerful human!❤
あっ、あっ、ああっ・・・❤❤,Ahh; ahh; ahhh...❤❤
はぐぅっ・・・❤❤あっ、ああっ・・❤❤,Haghhh...❤❤ Ahh; ahhh...❤❤
ほほほ❤痙攣しながら何度も射精しておるわ。\n美しいわらわに見つめられながら果てることができて、\nそなたもうれしかろう？,Hohoho~❤ You're convulsing and ejaculating again and again. You must be overjoyed to cum while being watched by someone as beautiful as me; no?
心から屈服した相手が出す精液ほど、エナジーのこもったものはない。\nそなたの精もわらわの体力を回復させられるほどの魔力量ぞ。,There's nothing more energy-filled than the semen of someone who has truly submitted to me. Your cum has enough magical power to restore my strength.
さて、残りのものどもの相手を続けようか。\nやっとの思いで追い詰めたわらわが万全の状態に戻った以上、\nそなたらには絶望しか待っておらぬがな。ほほほ❤,Well then; shall I resume dealing with the rest of you? Now that I've returned to perfect condition after you all worked so hard to only barely manage to corner me; there is nothing waiting for you but despair! Hohoho~❤
くっ、まさかまたわらわが追い詰められようとは。\nそなたら、さすがは「無敗」と呼ばれるだけはあるの。\nたいした実力者じゃ。,Kuh; I can hardly believe I was cornered yet again. You all truly live up to your title of "undefeated." You are all quite skilled.
とはいえ、ほほほ❤そなたもあの男と同じ目に会うだけよの。\nほれ、我が宝石の光を受けとるがよい・・・❤,However; hohoho~❤ You shall simply meet the same fate as the man before you! Come; receive the light of my jewel...❤
むっ、目を閉じてかわしたか。\nしかし、その一瞬の隙が命取りよ。,Hmph; you avoided it by closing your eyes? But that decision has created an opening; leaving you vulnerable!
なっ・・・❤はぐうぅ・・・❤,Nahh...❤ Haghh...❤
ほほほ❤わらわの尻尾の中は極上の快楽であろう？\n上位のサキュバスの搾精は人間が与える快楽とは比べものにならぬ。\nそなたが抗えるものではない。,Hohoho~❤ The inside of my tail is truly the ultimate pleasure; would you not agree? A high-level succubus's milking is incomparable to any pleasure humans have to offer. It's not something any man could resist.
ほれほれほれ❤\n尻尾をうねらせ、中を締め付けて、\nそなたからエナジーを搾り取ってやろうぞ。,Come now; that's it; give in~❤ I'll make the inside of my tail writhe and squeeze; draining you of all your energy.
理性を振り絞り彼女に攻撃した,Muster your reason and attack
強烈な快感に抗えなかった,'This pleasure... It's too much!'
なっ、この状況でわらわを振り払えるじゃと・・・！,What; to think you could shake me off from such a position...!
ほほほ❤いまさら力を込めたところで、もはや無意味。\nそなたの肉棒は、とっくにわらわに降伏しておるぞ。\nほれ、ほれ、ほれ・・・❤,Hohoho~❤ Such effort is wasted now. Your cock has long since surrendered to me. Come; enjoy yourself...❤
はぐあっ、あぎっ、あああっ❤❤,Haghhh; aghh; ahhh!❤❤
ほほほ❤完全に快楽に身を任せて、愛い奴よの。\nそなたにはさらにわらわの宝石の光も加えてやろうぞ。,Hohoho~❤ Such a cute little thing you are; surrendering so completely to pleasure! I shall offer you the light of my jewel as well.
はひぃっ・・❤❤あっ、あぐっ、あああっ❤❤,Hahhh...❤❤ Ahh; aghh; ahhh!❤❤
体中から力を奪われ、脱力した状態でわらわの尻尾に吸い付かれれば、\n結果は火を見るよりも明らか。\nほれ、果てろ❤,With my tail devouring you in your weakened state; and your strength drained from your entire body; you ending is already set in stone. Come; climax~❤
全身をふるわせてずいぶんと濃厚な射精よの。\n強者の精はやはり美味。傷ついた体にはたまらぬ味じゃ。,I can feel your whole body trembling as you release such thick cum! A strong man's semen truly is delicious. It's a near-irresistible taste for my poor; wounded body.
わらわの尻尾の蜜壺は、そなたがこれまでに感じた中で、\n最高の快楽であったであろう？\nほほほ、その蕩けた顔と砕けが腰が何より物語っておるわ。,My tail's slick orifice was the greatest pleasure you've ever felt; was it not? Hohoho; your melted face and quivering hips are all the answer I need.
わらわの淫気に包まれながら、自慰にふけるのは極楽であったか？\n敵に見惚れ、自ら敗北を選ぶ。人間の男は実にか弱いものよ。\nほほほ❤,Was stroking yourself while enveloped in my lewd aura simply heavenly? Being enchanted by your enemy and choosing defeat all on your own... Human males are truly such fragile creatures! Hohoho~❤
わらわの宝石の美しさ、身に染みて分かったであろう？\n恍惚としながら精を垂れ流し地に伏して、\n実にあわれよの。ほほほ❤,You now truly understand the beauty of my jewel; do you not? Collapsing ecstatically while spilling your seed on the ground... How pitiful! Hohoho~❤
ほほほ❤わらわの尻尾の中は極楽だったであろう？\n人間ごときが耐えられる快楽ではない❤\nその身に染みて力の差が分かったようじゃな❤,Hohoho~❤ The inside of my tail was simply paradise; would you not agree? It is pleasure no mere human could ever hope to endure.❤ It seems you have truly learned the difference in our power~❤
ほほほ❤わらわの胸に挟まれて数瞬も持たなかったの❤\nそなたの我慢など極上の胸の柔らかさの前では、何の意味も持たぬ。\nよくわかったであろう？,Hohoho~❤ You were helpless to last even a few moments between my breasts.❤ Your endurance meant nothing against the softness of my regal chest; did it? Do you realize that at last?
ほほほ❤わらわにかき抱かれながら、びくびくと果てておる❤\n抱いただけで恍惚に堕ちて、人間のオスは実にか弱い生き物よ❤,Hohoho~❤ You were left twitching and climaxing simply from my embrace.❤ Falling into ecstasy just from a hug... Human males truly are such fragile creatures!❤
ほほほ❤指で軽くなぞられただけで、果ておったわ。\nおぬしの力などこの指一本にすら劣るというわけじゃ。\n力の差が身に染みて分かったであろう？,Hohoho~❤ You climaxed from the lightest trace of my finger. Your power cannot even compare to a single finger of mine. You've at last learned the difference in our strength; have you not?
ほほほ❤わらわに軽く魔力を飛ばされただけで果ておったわ。\n恍惚とした顔で崩れ落ちて、\n「無敗」の強者というわりに、ずいぶん弱い理性よの❤,Hohoho~❤ You climaxed from simply having my magic cast gently upon you. Collapsing to the floor with such an ecstatic face... For someone knighted as "undefeated"; your mind is quite weak!❤
わらわの目に射すくめられて、自らしごいて屈服の射精とは。\nほほほ❤人間の男を敗北させることなど、実にたやすいの❤,Being transfixed by my gaze and stroking yourself to a submissive climax... Hohoho~❤ Defeating human males truly is so simple.❤
{自分}に敗れた僕は、エナジーを奪われ闘技場の地面に膝をついていた。,After being defeated by {自分}; I was left kneeling on the arena floor; my energy drained.
決着ー！！勝者はジェミニ選手！,It's decided!! The winner is Gemini!
西の鉱山地帯の守護者はダテではない！\n強力な上級モンスターの力で{主人公}選手をねじ伏せました！\nついに、彼の無敗の記録もここで終了です！,It seems the guardian of the western mining region is no joke! She's completely overwhelmed {主人公} with the power of her mighty high-level monster! At long last; his undefeated record has come to an end!
ふふ、この子強いよねー。\n最近手に入れたんだけど、宝石いっぱい持ってるモンスターだし\n気に入ってるんだー。,Fufu; this girl is really strong! I just got her recently; and since she's a monster with lots of jewels; I really took a liking to her.
それじゃ、今回はこの辺で。\nまた後で「お礼」してあげるから、明日にでも家に来てね。\nあ、我慢できなければ試合の後すぐに来てもいいよ❤くすくす❤,Well then; I'll be nice and leave it here for today. I'll still give you that "reward" later; so come to my house tomorrow or something; okay? Oh; but if you can't wait; feel free to come right after the match instead!❤ *Giggle*❤
そう言って{自分プレイヤー}さんは家までの道のりが書かれた紙切れを僕に手渡した。,Saying that; {自分プレイヤー} handed me a piece of paper with directions to her house written on it.
ほほほ❤この場で搾り取ってやろうと思っておったが、まあよかろう。\nあとでじっくりと精を奪うのも一興よ。,Hohoho~❤ I was thinking of draining you right here; but I suppose this is acceptable. Taking my time to steal your semen later will be just as amusing!
どうせ「来ぬ」という選択肢はそなたにはないのであろう？\nまだわらわの与えた快楽が残り、\n上気した顔で蕩けておるそなたにはな❤, Not coming is hardly an option for you; now is it? After all; the pleasure I gave you is still lingering inside you; and your face remains so flushed and melted~❤
あううっ・・・❤❤,Ahhh...❤❤
（はぁっ・・・。こっぴどく負けてしまった・・・。）,(Ugh... I lost so badly...)
闘技場からの帰り道、僕は{自分プレイヤー}さんに手渡された地図を見ていた。,On the way back from the arena; I was looking at the map {自分プレイヤー} had given me.
彼女は僕に「お礼」をしてくれるという。何か対価を求められているわけでもなく、ただ気持ちよくしてもらえる。特に悪いことはない・・・。しかし・・・。,She said she'd give me a "reward." She's not asking for anything in return; just to make me feel good. There's nothing particularly wrong with that... But...
（そんなことにうつつを抜かしている場合なのだろうか。\n今日負けた分、もっと修行するべきじゃ・・・）,(Is this really the time to be distracted by something like this? I should be training more to make up for today's loss...)
僕は悩んでいた。試合のあとも下半身はうずいていて、本当はすぐにでも{自分プレイヤー}さんのところに行ってしまいたい。でも、僕には、もっと強くなるという目標があるのだ。,I was torn. Even after the match; my lower body still ached; and I really wanted to go to {自分プレイヤー}'s place right away. But I still wanted to become stronger.
（それにしてもすごく強いモンスターだった・・・。\nあれがレベル７以上のサキュバスモンスター・・・。）,(Still; that was an incredibly strong monster... That succubus must have been level 7 or higher...)
（目の前に立たれただけですごい存在感で、\n目が合っただけで体がしびれて、何も考えられなくなって\nそれで・・・。）,(Even just standing in front of me; her presence was overwhelming; and something as small as making eye contact made my body numb and my mind unable to even think; and then...)
（なんとかあと一歩まで追い詰めたのに、\nあの手の宝石の光を浴びせられて、\n体中が気持ちよくなって・・・。）,(I somehow cornered her at the very end there; but then she bathed me in that light from the gem on her hand; and my whole body just felt so good...)
（なんとかあと一歩まで追い詰めたのに、\nあの尻尾に吸い付かれて、しごかれて、\nおかしくなるぐらい気持ちよくされて・・・。）,(I somehow cornered her at the very end there; but then her tail caught me; sucking and stroking me like that; making me feel so incredibly good I thought I'd go crazy...)
（あの胸に挟まれて、すべすべの肌のやわらかさに、\n何もできないぐらいとろけさせられて、\nそれで・・・。）,(Being sandwiched between those breasts; the smoothness and softness of her skin making me melt so much I couldn't do anything; and then...)
（あの胸に顔を挟まれて、胸のやわらかさと温かさで\n何もできないぐらいとろけさせられて、\nそれで・・・。）,(Having my face nestled between those breasts; the softness and warmth of her chest making me melt so much I couldn't do anything; and then...)
（軽く指で撫でられただけなのに、\nそれだけで腰がしびれるみたいに気持ちよくなって、\nそれでそのまま・・・）,(Just being lightly caressed with her finger made my hips tingle with pleasure; and then I just...)
（軽く投げキスをされただけなのに、\n一瞬で何も考えられなくなって、体に力も入れられなくなって\nそれで全然我慢できずに・・・）,(All she did was blow me a kiss; and my mind just went blank. I couldn't put strength into my body; and I couldn't hold back at all; and...)
（目でにらまれただけなのに、\nぞっとするみたいな美しさで、頭の中まっしろになって、\n気が付いたら自分で触っててそれで・・・）,(The way she glared at me with those eyes; her spine-tingling beauty made my head go completely blank; and before I knew it I was touching myself; and then...)
（ううっ・・・❤\nだめだ思い出したらまたムラムラしてきてしまう・・・❤）,(Ugh...❤ No good. Just thinking about it is making me horny again...❤)
しばらく歩いていると分かれ道についた。ここを左に行けば宿屋で、右に行けば{自分プレイヤー}さんの家に着く。,After walking for a while; I came to a fork in the road. Going left would lead to the inn; but if I went right; I would reach {自分プレイヤー}'s house.
{自分プレイヤー}さんの家になど行っている暇はない。当然僕は・・・。,I don't have time to go to {自分プレイヤー}'s house! Naturally I...
ん？お客さんかな？入っていいよー。,Hmm? A visitor? Come in!
ううっ、その・・・。,Uhh; um...
あは、さっき試合したルーキーくんじゃん。\nホントに今日来ちゃったんだ❤,Aha; well if it isn't the rookie from the match earlier. You actually came today~❤
試合ではすごく気持ちよさそうにイかされてたもんね～。\n我慢できなくて来ちゃったの？くすくす❤,You looked like you were having a really good time getting off in the arena earlier. Did you come see me because you just couldn't hold back? *Giggle*❤
うううっ・・・❤,Uuhhh...❤
くすくすとおかしそうに笑うジェミニさんの前で、僕は恥ずかしさで顔を真っ赤にしてしまう。,Faced with Gemini's amused giggles; embarrassment welled inside of me; making my face turn bright red.
ふふふ❤なにせサキュバスのカードだからね。\nそういう風になっちゃうのも、ある意味仕方ないのかな？,Fufufu~❤ I suppose it was a succubus card. I guess you ending up like that was inevitable; huh?
ちょっと待ってね。あの子上級モンスターだから、\n召喚するにも魔力をしっかり貯めないと・・・。,Hold on a minute. She's a pretty high-level monster; so I need a second to store up enough magical power to summon her...
よし、準備できたよ～。\n{自分}を召喚～！,Alright; ready! Summoning {自分}!
ほほほ❤やはり来たか、「無敗」の男よ。\nそなたはわらわの与えた快楽を忘れられず、\nすぐに来るだろうと思っておったぞ。,Hohoho~❤ So you came after all; Mister "Undefeated". I had a feeling you would come right away; unable to forget the pleasure I gifted you.
さて、わらわから、ねっとりじっくりと、\nそなたに「礼」を与えてやろう。\nまずはこの手の甲を見るがよい。,Now then; allow me to give you your very slow; very thorough "reward." First; gaze at the back of my hand.
我が魔力を濃縮させた光で、\nそなたを桃源郷にいざなってやろうぞ❤,With the light of my condensed magical power; I'll guide you to paradise~❤
はへぇっ・・・❤❤,Ha; haa...❤❤
