default
生意気キャロル,Cheeky Succubus - Carol
あはぁ、おっぱいに釘付けじゃん❤\nこういう状況でも男ってそうなっちゃうんだー❤\n理性ザコすぎじゃない？ザーコ❤,Ahaha; you're totally obsessed with my breasts.❤ Even in a life or death situation; men are all the same~❤ Your rationality is way too weak; don't you think? Weakling~❤
なに？バカにされて怒ってるの？\nザコって言われて怒るならぁ、\nほらぁこうやっておっぱい揺らされても、目そらしてみなよ～❤,What? Are you getting mad I'm making fun of you? If getting called weak is making you that butthurt; then come on; just try looking away; no matter what. Even if I bounce my breasts; just. Like. This~❤
あれー全然そらせてないんですけどー❤\nくすくす❤どんだけおっぱい好きなんだっての❤\nアンタみたいなおっぱいマゾ、乳揺れだけで射精しちゃうんじゃない？ほらほらぁ～❤,Uh oh. You can't look away at all; can you?❤ *Giggle*❤ Just how much do you actually love tits?❤ A breast pervert like you would probably cum just from watching them bounce; wouldn't you? Then here; check this out~❤
わたしの胸、見てよこれ。バカみたいにでかくない？\nマスターがサキュバス化して、わたしもこんな風になっちゃった❤\n頭より余裕ででかいなんて、ウけるんだけど❤,Look at my chest. Isn't it just; like; ridiculously huge? After Master became a succubus; guess I ended up one too~❤ A girl having tits way bigger than her head is actually kinda funny; huh?❤
ねぇー、ねぇー、このおっぱいさぁ、\nアンタも味わってみたいよねぇー❤チンポ入れたら、\nぜぇーったい気持ちいいじゃん❤挿れた瞬間、射精するんじゃない？,Hey; hey~❤ You want to try out my tits too; right?❤ If you put your cock in; it would feel amazing for sure~❤ You'd probably cum the instant you slide in; dontcha think?
きゃは❤ほらぁ、おっぱい近づけるから逃げるなよー❤\nま、こんなでかいおっぱいを前に、逃げたくなる男なんて\nいないと思うけど❤えい、チンポずぶずぶ～❤,Kyaha~❤ Here I go; I'm bringing my chest closer; so don't run away or anything~❤ Well; I don't think there's any man who'd want to run from tits this huge.❤ I'll just slide your cock in; nice and deep... Hyup~❤
きゃは、羽で飛べるのって便利―❤\nほらぁ、アンタの頭より高く飛べるよ❤すごくない？,Kyaha; having wings to fly is pretty convenient~❤ Look; I can fly up above your head.❤ Awesome; right?
速度も案外出るし、えいっ、空を飛びながら、\nアンタの顔めがけて、おっぱいダーイブ❤\n顔を爆乳に沈めてあげる❤むっにゅうぅ❤,I can go pretty fast; too. Here I go! Booby dive bomb!❤ I'll totally bury your face in my new bombshell tits!❤ Squish~❤
ほらほらぁ、アタシのおっぱいたっぷり楽しんでいいよ～❤\n谷間のフェロモンで脳を焼かれて廃人になっちゃえ❤,That's it; it's okay. Just relax and enjoy my breasts to your heart's content.❤ Let the pheromones from my cleavage fry your brain and turn you into a mindless wreck~❤
ねえ、ねえ～❤戦いなんてやめてさぁ、\nわたしたちに降参しちゃおうよ～❤\nこのおっぱい見たら分かるでしょ？男じゃ勝つのムリだって❤,Hey; hey~❤ You should totally stop fighting and just; like; surrender to us instead!❤ Looking at these tits. You get it; don't you? There's no way a man could win~❤
だってさー、頭もチンポも余裕で全部挟めちゃうんだよ？\n一回挟まれたら、身をよじってもジタバタしても、\nデカすぎおっぱいの中からは逃げられない❤絶対射精させられちゃう❤,I mean; I could easily crush both your head and cock between these things; you know? Once you're trapped; no matter how much you writhe or struggle; there's no way you could escape a chest this oversized.❤ I'd definitely force you to cum~❤
くすくす❤今の話聞いて、チンポビンビンにしちゃってるし❤\nほら、爆乳おっぱいでなでなでしたげるから\nさっさと降参してエナジーよこしなよ❤マゾチンポ❤きゃはは❤,*Giggle*❤ Just hearing about it got your cock rock hard.❤ Here; I'll go ahead stroke your cock with my bombshell tits; so hurry up and surrender your energy to me.❤ Dirty pervert cock!❤ Kyahaha~❤
顔をおっぱいに埋めて～❤\nむにゅむにゅ～❤ぱふぱふ～❤\nあはぁ、一瞬でふにゃふにゃじゃん❤あたしの爆乳で蕩けちゃった？,I'll bury your face in my chest.❤ Squish squish~❤ Puff-puff~❤ Ahaha; you went limp right away!❤ Did my massive tits make you melt?
力全然入んないんでしょ？\nおっぱい好きだもんねー❤こんな爆乳押し付けられちゃったら、\nおっぱいで頭いっぱい❤攻撃とか防御とか考えられないよねー❤,What's wrong? Can't put any strength into your body? You really are a boob-lover; after all~❤ The instant huge tits like these get pressed against you; your head's stuffed with nothing but breasts.❤ You can't think about fighting back at all; can you?❤
ほらほら、ぱふぱふ❤ぱふぱふ❤\n頭を何度もおっぱいで潰してあげてぇ、甘い匂いで包んであげる❤,Here I go! Puff-puff~❤ Puff-puff~❤ I'll crush your head with my chest over and over again; drowning you in my sweet scent!❤
サキュバスに勝てない体になれるようにぃ、\nおっぱいでいっぱい教育してあげる❤\nぱふぱふ❤ぱふぱふ❤ぱふぱふ❤ぱふぱふ❤,I'll use my tits to teach you your lesson and make sure you can never resist succubi again!❤ Puff-puff~❤ Puff-puff~❤ Puff-puff~❤ Puff-puff~❤
サキュバスになって前より二回りぐらい大きくなったからさぁ、\n頭挟んだら首のうしろまで包めちゃうんですけど❤\nきゃははおっぱいに飲み込まれて、しあわせそー❤,Since I became a succubus; my tits grew at least two whole sizes bigger than before. Now when I squeeze your head; I can wrap them around all the way to the back of your neck!❤ Kyahaha; you look so happy getting swallowed by my breasts~❤
ぷぷっ、アンタの仲間たち、おっぱいに見惚れて、全員棒立ちだね❤\nマスターが攻められてるのに、わたしが歩けば揺れるおっぱいに釘付け\n❤お口ぽかーんって開けてて超まぬけなんですけど❤,*Giggle* Look at your companions. They're all mesmerized by my tits; just standing there; frozen.❤ Even though their master is getting attacked; they're eyes are glued to the way my chest bounces every time I move~❤ They've gone all slack-jawed. How totally stupid!❤
マスターくんもさぁ、\nさっきからわたしのおっぱい見てるよねぇ❤\nサキュバスになって超でかくなったこのおっぱい❤やっぱ気になる？,Master; you've been staring at my chest this whole time too; haven't you?❤ They just got so super huge after I became a succubus.❤ Did they catch your eye?
チンポギンギンだし、挟んでくれ～って言ってるようなもんだよね。\nえい❤むにゅー❤,Your cock is rock hard; practically begging to be squeezed. Hyup!❤ Squish~❤
きゃは、挟んだだけで腰が抜けそうになってるじゃん❤\nいいよ～❤叩きつけるみたいにパイズリして、\n速攻とろけさせてあげる❤わたしのおっぱいで負けなよ、雑魚マスター❤,Kyaha; you're hips are about to give out just from getting caught; aren't they?❤ Alright~❤ I'll give you a real pounding titfuck and make you melt in no time!❤ Lose to my chest; you weakling master~❤
ああん、爆乳おもすぎ～❤\nこの重たーいおっぱい、チンポの上に叩きつけたげるよ❤\nうりゃ～❤ずしーん❤,Aahn; my massive tits are so heavy~❤ I'll slam these weighty things right down on top of your cock!❤ Here I go!❤ Thud~❤
あは、押し付けられた途端に、あへぇって声上げて、\n地面にへたりこんじゃったね❤あんまり気持ちよすぎて、\nチンポびっくりしちゃったのかな～❤きゃはは雑魚チンポ～❤,Aha; the moment I pressed down; you made a sad little moan and collapsed to the ground!❤ It felt so incredibly good that your cock went into shock; huh?❤ Kyahaha; weakling little cock~❤
動けなくなって寝転んでるならぁ、後はパイズリし放題❤\nだっぷんだっぷんおっぱい動かしてぇ、\nアンタのエナジー根こそぎ奪い取ってあげる❤,If you're just gonna lie there; then it's endless-titfuck time!❤ I'll move my breasts with wet slapping sounds and steal every bit of your energy~❤
きゃは、アタシのおっぱいでイカせてほしいんだ❤\n自分から頼み込むとか、このヘンタイ❤,Kyaha; you want me to make you cum with my breasts?❤ Begging for it yourself... What a pervert!❤
プライドも仲間もすてておっぱいに降伏しちゃって恥ずかしくないの？\nぷっ、そんなことよりチンポ気持ちよくなるほうが大事か❤\nザコってホント終わってるね❤,Abandoning your pride and companions to surrender to tits... Aren't you embarrassed? *Snort* I guess your cock feeling good is more important than any of that.❤ Weaklings like you really are hopeless; aren't they?❤
ほら、エナジー、さっさとよこしな？\nこの胸をたっぷり使って、速攻で搾り取ってやるよ❤,Come on then. Hurry up and give me your energy! I'll use these tits to squeeze you dry in no time~❤
はい、瞬殺❤弱っちいチンポ、\nアタシのおっぱいに全然耐えられなかったね❤くすくす❤,There; instant victory!❤ Your pathetic cock couldn't withstand my breasts at all; huh?❤ *Giggle*❤
サキュバスになってデカくなったこの爆乳、\n最高に気持ちよかったでしょ？\nうわぁ、すっごくみっともない顔で死んでる❤,These massive tits felt even better now that becoming a succubus made them grow so much; huh? Oh man; you died with a totally pathetic expression on your face!❤
くす、脚に何か熱いのを感じるんだけど❤\nぱふぱふってされただけでこんなに射精しちゃったんだ。\nザーコ❤,*Giggle* I feel something hot dripping down my leg.❤ Did you seriously cum this much from just a Puff-Puff? Weakling~❤
あううっ…❤我慢できない…❤,Ahhh...❤ I-I can't resist...❤
きゃは❤なになに～❤\nエロいポーズでおっぱい見せられて、\n我慢できなくなったわけ？,Kyaha~❤ What's the matter?❤ Couldn't hold back after seeing my tits in a sexy pose?
ちょっとおっぱい揺らして誘惑されただけなのに、ちょっろ❤\n男ってチンポでものを考えてるから、ほんと弱っちいよね❤,Just a little breast bouncing and a bit of seduction; and you're totally hooked~❤ Men just think with their cocks; so they're all really pathetic; huh?❤
きゃは❤なになに～❤\nわたしのデカすぎるおっぱい見てたら、\n我慢できなくなったわけ？,Kyaha~❤ What's the matter?❤ Couldn't hold back after staring at my oversized tits?
そんなに手を早く動かしてぐちゅぐちゅ扱いちゃってさー❤\nおっぱいをおかずにシコシコ❤今がどういう状況か分かってる？\nアンタたちサキュバスに食べられようとしてるんだよ？,You're jerking yourself so fast it's making these weird; wet noises~❤ Staring at my breasts while stroking your cock like that...❤ Do you even realize the situation you're in? You know you're about to be devoured by a succubus; right?
それなのにそんなに興奮するとか、バッカじゃないの？\nきゃはは❤脳みそ空っぽすぎでしょ❤,And yet you're still getting this excited. Are you stupid?❤ Kyahaha~❤ Your brain is way too empty; dontcha think?❤
ううっ・・・❤くそぉ・・・❤,Ugh...❤ Damn it...❤
ねえねえ、このおっぱいがそんなに好き？\n大きいよね～、柔らかそうだよね～❤\n実際、触ったら超柔らかいんだよ❤,Hey hey; do you really like my tits that much? They're so big; aren't they? And they look soft; huh?❤ Actually; if you touch them; you'd see just how super soft they actually are~❤
ほらぁ、あざとい感じにゆさゆさゆさって揺らしてあげる♪\nおっぱい揺れるの見て、もっとバカみたいに扱いていいよ～❤,Here; I'll bounce them for you! Bouncy bouncy bounce~♪ Go on. Just watch my tits jiggle and stroke yourself even dumber~❤
あうううっ、えろすぎる・・・❤\nあっ、あっ、ああっ❤❤,Ahhh; it's too sexy...❤ Ah; ah; ahhh!❤❤
きゃはは❤おちんちん扱くの早すぎでしょ❤\nおっぱい揺れてるのに合わせて扱いて、気持ちいい？\nへんたーい❤,Kyahaha~❤ You're stroking your cock way too fast!❤ You're keeping rhythm with my bouncing tits! Does it feel good? Pervert~❤
サキュバスのおっぱいだからぁ、\n揺れるたびにふわっていい匂いがするよねー❤\nおちんちんシコシコしながら嗅いだら、速攻で脳みそ天国行き❤,Since these are succubus breasts now; they give off an intoxicatingly sweet scent every time they bounce~❤ If you sniff them while stroking your cock; your mind'll instantly go straight to heaven~❤
自分の命とかよりもおちんちんシコシコする方が大事❤\nエロいおっぱい揺らされたら、それで脳みそ空っぽ❤\n知能がゼロになって死ぬまでシコシコ❤シコシコ❤,Stroking your cock is more important to you than your own life now.❤ Once these sexy breasts start bouncing; your brain goes totally blank~❤ Your intelligence drops all the way to zero and you'll just stroke yourself to death!❤ Stroke stroke~❤
あはん、ほらもっとおっぱいの匂い嗅いでいいよ❤\n口からよだれを垂らしてるそのアホ面、\nもっともっと間抜けな顔にしなよ❤バーカ❤,Ahahn; that's it. Feel free to get an even better whiff of my tits~❤ I'll make that stupid drooling face of yours even dumber!❤ Idiot~❤
あうう、あううっ❤気持ちいいっ、ああっ❤❤,Aghh; ahhhh!❤ It feels so good! Ahhh!!❤❤
くす❤間抜けだバカだって言われているのに、うれしそうな顔❤\nサキュバスフェロモンで頭おかしくなってるのかな～。\nそれとも元からマゾなのかなー❤きもーい❤,*Giggle*❤ I'm calling you things like "idiot" and "dumb"; but you still look so happy~❤ Are you going crazy from my succubus pheromones? Or were you always a masochist?❤ Gross~❤
そんなに興奮してシコシコしてたら、\nあっという間にアンタの命が終わっちゃうよ？\nこのエローいおっぱいに向けて、どびゅって命を出して死んじゃうよ？,If you stay this excited and keep stroking yourself like that; you'll die. You know that; right? You'll shoot out your very life essence toward these sexy tits and totally drop dead!
あはは❤死ぬかもって思っても、しこしこやめられないねー❤\nこのおっぱいに精液かけようと、必死になってしこしこしこしこ❤,Ahaha~❤ Even knowing that; you can't stop stroking; can you?❤ You desperately want to cover my chest with your cum; so you just stroke stroke stroke~❤
ほらバーカ❤\n思い切りおっぱい揺らしてあげるから、\nさっさとイってエナジー全部おっぱいに食べられろ❤,Then do it; idiot!❤ I'll bounce my tits as hard as I can; so hurry up and cum; and let them devour all your energy~❤
この谷間にぜんぶ投げ出しちゃえ❤マーゾ❤,Give everything you have to my cleavage~❤ You masochist!❤
はひぃっ・・・❤,Hahhhh...❤
きゃは、見てよこの量❤\nわたしのおっぱいがどろどろ～❤\nほら、これをおっぱいで挟んでぐちゅぐちゅって潰してあげる❤,Kyaha; look at this load!❤ You got my tits all sticky~❤ Watch; I'll squeeze you jizz between my breasts and crush it all up~❤
って、おっぱいで命をもぐもぐされて、興奮してるの？\nチンポビクビクさせちゃっててきもーい❤\n死にかけなのにこんなの見て興奮するとか、頭悪すぎでしょ❤,Wait; are you getting excited watching your life essence get devoured by my tits? Your cock is twitching! Totally gross~❤ Even on the verge of death you're getting aroused just watching this. You're way too stupid!❤
ううっ…❤我慢できない…❤,Ugh...❤ I can't hold back...❤
あはは、アンタもオナニーしちゃうんだ❤\nわたしのおっぱい凶悪すぎじゃない？\nどんどん男の子が勝手に負けていってウケるんだけど❤,Ahaha; you're totally masturbating; too~❤ Are my tits really that huge? Boys keep losing on their own to them. It's totally hilarious!❤
分かってるのかなー❤闘技場のお遊びバトルとは違うんだよ？\n負けたらそのまま吸い殺されちゃう、こわーいサキュバスとのバトル❤\nそれなのに、チンポをシコシコ❤シコシコ❤,You get where you're at; right?❤ This isn't some playful little arena match. This is a battle with a terrifying succubus; ready to drain you to death if you lose~❤ And you're still just stroking your cock!❤ Stroke stroke~❤
あー、そっかおっぱい見てたら頭バカになって、\n負けたらどうなるかとか、もう考えられないんだ❤\nおっぱいのことで頭がいっぱいなんでしょ？ほら・・・❤,Ah; I get it. Watching my chest made your brain go stupid; so now you can't even think about what happens if you lose anymore~❤ Your mind is totally filled with thoughts of tits; isn't it? Then here...❤
むぎゅうっておっぱい寄せて、アンタの顔に近づけてー・・・❤,I'll press my breasts together tight and bring them close to your face...❤
おっぱいゆさゆさゆさ～❤あはーん❤\nサキュバスになって大きくなったアタシのおっぱい❤\nたっぷり見て悩殺されろ❤ザーコ❤,And make them bounce bounce bounce!❤ Ahan~❤ They grew so big when I became a succubus.❤ Stare all you want and be charmed to death~❤ Weakling!❤
あうううっ、すごく揺れてぇ・・・❤\nあうっ、ああっ、いい匂いでっ❤ああっ❤❤,Agh; they're bouncing so much...❤ Ah; ahh; they smell so good...❤ Ahhh!❤❤
きゃはは❤おちんちん扱くのはやぁい❤\n男ってほんとバカばっかりだよね❤脂肪のかたまりがそんなに大事？\n死んでもいいからおっぱいに負けたいとか、アホすぎでしょ❤,Kyahaha~❤ You're stroking your cock so fast!❤ Men really are all idiots; aren't they?❤ Are these sexy lumps of fat really that important? Wanting to lose to tits; even if it means death... You're way too stupid~❤
自分の命とかよりもおちんちんシコシコする方が大事❤\nエロいおっぱい揺らされたら、それで脳みそ空っぽ❤\n知能がゼロになって死ぬまでシコっちゃう❤,Stroking your cock is more important to you than your own life now.❤ Once these sexy breasts start bouncing; your brain goes totally blank~❤ Your intelligence drops all the way to zero and you'll just stroke yourself to death!❤
今だっておっぱいが揺れるのに合わせて、しこしこ、しこしこ、\n口からよだれを垂らしながら扱いてる❤\nきもすぎなんだけどその顔❤きゃははは❤,Even now; you're stroking in rhythm with my bouncing tits. Stroke stroke~❤ Oh my god; you're even drooling a little!❤ That face is way too gross!❤ Kyahahaha~❤
くすくす❤間抜け顔をバカにされたら、もっと扱くのが早くなった❤\nおっぱいに弱いうえにマゾなんだ～❤\nバカにされて喜んじゃうの？さらにきもーい❤,*Giggle*❤ When I made fun of your stupid face; you started stroking even faster~❤ You're not just weak to tits—you're a total masochist; too!❤ Do you like being laughed at? You just keep getting grosser~❤
ほらぁ、そんなに興奮してシコシコしてたら、\nあっという間にアンタの命が終わっちゃうよ？\nこのエローいおっぱいに向けて、どびゅって命を出して死んじゃうよ？,Careful. If you stay this excited and keep stroking yourself like that; you'll die. You know that; right? You'll shoot out your very life essence toward these sexy tits and drop dead.
あはは❤死ぬかもって思っても、しこしこやめられない❤\nおちんちん気持ちいいもんね～❤\nこのおっぱいに精液かけたいもんね～❤,Ahaha~❤ Even though you might die; you can't stop stroking!❤ Your cock just feels so good; doesn't it?❤ You want to cover these tits with your cum; don't you?❤
ほらバーカ❤\n思い切りおっぱい揺らしてあげるから、\nさっさとイってエナジー全部おっぱいに食べられちゃえ❤,Then do it; idiot!❤ I'll bounce my tits as hard as I can; so hurry up and cum; and let them devour all your energy~❤
きゃは、見てよこの量❤\nアタシのおっぱいがどろどろ～❤みんな出しすぎでしょ❤\nそんなにおっぱいで死にたかったの？マーゾ❤,Kyaha; look at this load!❤ You got my tits all sticky~❤ Everyone's shooting out way too much.❤ Did you want to die to my breasts that badly? Masochist~❤
それじゃアンタの精液も\nおっぱいで挟んでぐちゅぐちゅに潰してあげる❤,Then I'll squeeze your cum between my breasts and crush it all up; too~❤
あはは、アンタもチンポビクビクさせちゃうんだ❤\nおっぱいで命を食べられて、よかったねー❤きもーい❤,Ahaha; your cock's totally twitching; just like the last guy!❤ You're actually happy your life got devoured by my tits; aren't you?❤ Gross~❤
ちぇ、やるじゃん。この爆乳相手にここまで戦えるなんてびっくり。\nアンタ我慢強いんだねー。,Tsk; not bad. I'm surprised you can fight this well against tits this huge. You're pretty tough; aren't you?
ていっても、アタシのおっぱいで攻められて、\nもうだいぶおっぱいの虜っしょ？\nなら、アタシの勝ち❤えいっ❤,But still; after being attacked by my breasts; you're pretty much captivated by them; right? Then I win~❤ Take this!❤
服を引っ張って谷間を見せつけてあげる❤\nアタシの超深ーい谷間に見惚れて、頭真っ白になりな？,I'll pull my shirt down and show off my cleavage~❤ Just stare at my super deep cleavage; let it totally mesmerize you; and let your mind go blank; okay?
ぷぷっ、鼻の下延ばしちゃって間抜け面だね❤\nアンタの頭よりでかい爆乳の谷間だもん❤\nヤバいぐらいエロくて何も考えられなくなるでしょ？,Pfft; you got that dumb; spaced-out look on your face~❤ My my massive cleavage is even bigger than your head!❤ It's so dangerously sexy you can't think of anything else; right?
そのままガン見してなよ❤\n勝ちかけの勝負、おっぱいに見惚れて捨てちゃうの気持ちいいよ？\nきゃはは❤,That's it; keep staring. Just like that~❤ Throwing away a battle you were so close to winning to get mesmerized by tits feels good; doesn't it? Kyahaha~❤
理性を振り絞って攻撃した,Summon your will and attack with full force
深い谷間から目が離せなかった,'So big... and deep...'
ぷっ❤完全にクギ付け❤\n1ミリも目をそらせないではぁはぁしちゃってさ❤\nバカ面すぎでしょ❤,Pfft~❤ You're totally transfixed!❤ You can't look away even one little bit; and you're actually panting!❤ What a stupid face~❤
それじゃさっそく、アンタの脳みそおかしくしてあげる❤\nわたしの声を聞きながら、おっぱいガン見しな❤\nおっぱい催眠かけてやるよ❤,Then let's get started. I'll make your brain go crazy!❤ Listen to my voice while staring at my breasts.❤ I'll hypnotize you with my tits~❤
洗脳の乳揺れ,Brainwashing Breast Bounce
おっぱいの揺れを見てると、頭ボーっとしてくるよね❤\nそれはアンタの頭がおっぱいに埋められていってる証拠❤\n考える力をおっぱいに奪われていっているの❤,Watching my breasts bounce makes your head feel fuzzy; right?❤ That means your head is being filled by my breasts!❤ Your ability to think is being stolen by my tits~❤
おっぱいが一回揺れるたびに、アンタの脳はどんどんバカになる❤\n理性だけじゃなくて思考能力も落ちていって、\n簡単な計算もできなくなる❤,Every time my breasts bounce; your brain gets stupider and stupider.❤ Not just your willpower; but your ability to think drops too; until you can't even do simple math anymore~❤
頭が悪くなると、何も自分で判断できなくなっちゃうんだよ❤\n自分で考えられないから、人の言いなりになっちゃうの❤,When that happens; you can't make any decisions on your own anymore!❤ Since you can't think for yourself; you become obedient to others~❤
アンタの頭の中を埋めているおっぱいに、思考を支配されちゃう❤\n言いなりにならないようにしないといけないけど、\n頭空っぽだから抵抗できない❤,The breasts filling your head will dominate your thoughts.❤ You need to avoid becoming obedient; but your head is just so empty you can't resist~❤
あう、あうう・・・❤おっぱい・・・❤ああっ・・・❤,Ah; ahhh...❤ Breasts...❤ Ahhh...❤
あは、いい感じに催眠がかかってきた❤\n目がとろーんってとろけて、口もあんぐり開いて、\nぷぷっ、メロメロなのが分かりやすすぎ❤,Aha; the hypnosis is working perfectly!❤ Your eyes are all droopy; and your mouth is totally hanging open. Pfft; you're so obviously head-over-heels for me~❤
おっぱいを揺らされると気持ちいいよね❤\nおっぱいを揺らされるだけで何も考えられない❤\n支配されるのが気持ちよくて、なんでも言うことを聞きたくなる❤,Watching my breasts bounce feels good; doesn't it?❤ Just seeing them move like this makes you unable to think of anything.❤ Being dominated feels so good you'll do whatever I say~❤
ほら、とどめだよ❤\nわたしが傷ついた分をドレインしながら、\nおっぱいで脳みそぶっ壊してあげる❤,And now; for the finishing blow!❤ I'll drain you for all the damage I took and totally destroy your brain with my tits!❤
わたしのところに来ておっぱいに顔をうずめな❤\nあは、言う通りにできてえらいじゃん❤\nはい、ぎゅー❤,Come to me; and bury your face in my chest.❤ Aha; you did just as you were told. Good boy~❤ And now... Squeeze~❤
あはは、これでアンタはわたしのしもべ❤\n顔におっぱい押し付けただけで\nどぴゅどぴゅ射精しちゃってさ、ザーコ❤,Ahaha; now you're my servant forever~❤ Just pressing my breasts against your face made you spurt everywhere! Weakling~❤
あはは、これでアンタはわたしのしもべ❤\nおっぱい揺らすだけで何でも言うこと聞いちゃう、\nバカなおっぱい奴隷の完成♪,Ahaha; now you're my servant forever~❤ A stupid titty-slave who'll obey anything just by watching breasts bounce. Brainwashing: complete~♪
ふらふらになってるアンタなんてたいして役に立たないだろうけど、\nせめて一太刀仲間に攻撃してね？\n分かった？ほら、おっぱいゆさゆさ～❤,With how wobbly you are you probably won't be too helpful; but try to get at least one good hit in; okay? Got it? Go on; titty bounce bounce~❤
はひぃっ、がんばりますっ❤おっぱい、おっぱいぃ・・・❤,Hahhh... I'll do my best...❤ Boobs... Boobs...❤
きゃはは、脳みそおっぱいに支配されてあわれだねー❤\n男がサキュバスのおっぱいに勝てるわけないって分かった？\nザーコ❤,Kyahaha; actually getting your brain dominated by breasts... Totally pathetic~❤ Did you finally realize that no man could ever win against a succubus's breasts? Weakling!❤
あは、そんなふらふらの攻撃じゃ当たらないよ❤\nアンタ、おっぱいが弱点だもんね❤\n強がってるけど爆乳見せつけられて理性が限界なんでしょ？,Aha; such shaky attacks will never hit me!❤ You're totally weak to breasts; huh?❤ You might be acting tough; but me showing off my dynamite tits has your reason at its limit; right?
