default
爆乳バニー,Bombshell-Bust Bunny
あなたにもやってあげる❤\n顔の近くでやってあげたら、きっとすぐにイっちゃうでしょうね❤,I'll do it for you; too~❤ If I do it close to your face; I'm sure you'll cum in no time~❤
ほら、目の前におっぱい近づけて…❤,Look. I'll bring my breasts close to your face...❤
このほとんど布面積がない服を\nゆっくり持ち上げるの…❤\nあんっ❤おっぱいこぼれちゃう❤,…And slowly lift my super revealing outfit...❤ Ahh~❤ My breasts are spilling out~❤
あはぁん❤\n乳首見えちゃったらごめんなさぁい❤\nおっぱい、だぷ～ん❤,Ahah~❤ Sorry if you see my nipples~❤ And... Let them drop~❤
あひぃっ・・・❤おっぱいぃ・・・❤❤❤,Ahhh...❤ Your boobs...❤❤❤
くすくす❤おっぱい落とすのに合わせて射精しちゃった❤\n谷間まで飛ばすなんて、\n興奮しすぎよ❤,Giggle~❤ You ended up cumming right when my boobs dropped~❤ You were so excited you shot all the way to my cleavage~❤
わたしのおっぱい、ばるんばるんって跳ねてすごかったでしょ？\nあーあ、もっと頑張ればパイズリでもぱふぱふでも、\nたーっぷりサービスしてあげたのに。,My breasts were bouncing so much; weren't they? Ahh; if you'd tried harder; I could've given you plenty of service. Maybe a paizuri; or a puff-puff.
このおもたぁいおっぱいで挟まれたらきっと天国だったわよ？\n理性が弱くて早漏だと損ね❤ふふ❤,Being squeezed between these heavy breasts sounds like heaven; right? It's a shame you're so weak-willed and premature. Giggle~❤
あぁん❤上級モンスターのわたしを追い詰めるなんて、\nあなたとっても強いのね❤,Ahh~❤ To think you could corner an advanced monster like me. You're really strong~❤
ねえ、そんなつよーいあなたに特別サービス❤\nVIPルームでしかやっていない、パイズリご奉仕してあげる❤,Hey; how about a special service for someone as strong as you?❤ I'll give you a paizuri I usually save for the VIP room~❤
わたしの爆乳おっぱいでパイズリされたら、\nみーんなすぐ腰砕けになっちゃうの❤,A paizuri from my huge breasts will have your knees weak in no time~❤
この大きさでチンポのみ込まれたら、\n気持ちいいのも当然よね。\nあなたのチンポもきっとぜんぶ埋もれちゃうわ❤,With boobs as big as mine; I'm sure your dick will feel amazing. After all; it'd be completely buried~❤
先端まで完全にくるまれて、\nむにゅうって幸せな感触が襲ってきて、\nそのままズリズリ❤ズリズリ❤,You'll be wrapped to the tip in pure; overwhelming bliss while and I keep pumping~❤ And pumping~❤
くす❤想像しちゃった？わたしのパイズリテクで、\n谷間の中がどろどろになっちゃうまで、\nあなたのこと気持ちよくしてあげる❤,Giggle~❤ You imagined it; right? I'll use my special paizuri technique make you feel so good until you cover my breasts in your cum~❤
ううっ、そんなもの・・・❤,Ohh; just thinking about it...❤
あん❤ほんとにいいの？\nこの大きなおっぱい❤\n最高に気持ちいいわよ❤,Ah~❤ Don't you want that? These big breasts...❤ They'll make you feel absolutely amazing~❤
ほら見てぇん❤\n両手でぎゅって押し上げて、ずりずりずり❤\n,Look; look~❤ I'll squeeze them with both hands and move them up and down~❤
上下に往復するだけなのにすごい迫力でしょ❤\nくすくす❤目が完全におっぱい追っかけちゃってる❤,Even though I'm just moving them up and down; it's so intense; isn't it? Giggle~❤ You're eyes are totally glued to my breasts~❤
ほらぁん、そのまま見とれてなさい❤\nゆっくりおっぱいをおろしてチンポを谷間の中に入れてあげる❤\n天国をたっぷり味合わせてあげるねー❤,It's okay; just keep staring~❤ I'll slowly lower my breasts and slide your cock between them❤ I'll be sure to make you taste heaven~❤
理性を振り絞って攻撃した,I muster all the reason I have and attack
身動きできなくなってしまった,(They look so soft... I... I can't move)
うそっ、その状態から攻撃できるなんて…。,No way. How can you attack in that state?
あ、ああ・・・❤えろくて・・・❤❤ああ・・・❤,Ah; ah...❤ It's so sexy...❤❤ Ah...❤
ふふ、いい子ね❤\nいいえ、敵の誘惑に負けちゃうんだもの。悪い子かしら❤,Hehe; good boy~❤ Wait; if you can't resist the enemy's temptations… I guess you'd be a bad boy~❤
ではでは、VIPルームサービスのお時間で～す❤\n当カジノ最高のご奉仕をお楽しみくださぁい❤\nあはぁん❤,Well then; it's time for VIP room treatment~❤ Please enjoy the best service our casino has to offer~❤ Ahh~❤
はひぃっ❤すごいっ、すいついてきてぇ・・・❤❤❤,Ahhh...❤ Amazing... Don't stop...❤❤❤
うふふ❤わたしのおっぱい、肌触りが最高でしょう？,Giggle~❤ Aren't my breasts just the softest?
絹みたいにすべすべの肌が、\nしっとりチンポを包み込んで、\nそのままたぷたぷ❤ずりずり❤チンポとろけさせちゃう❤,My silky smooth skin wraps around your cock; making it drip and drool while I keep pumping~❤ And pumping~❤ Your cock just melts with pleasure~❤
そのうえパイズリテクも抜群❤\nほら、チンポがびくんって突き出たのにぴったり合わせて、\n上にむぎゅうって持ち上げてぇ❤,On top of that; my paizuri skills are top notch~❤ Watch how I perfectly match the way you thrust your cock; squeezing tightly and lifting up~❤
あっ❤ああっ❤❤,Ah!❤ Ahh!❤❤
腰が落ちるのに合わせて、おっぱいも上からだっぱん❤急降下❤\nチンポをずりゅうって、しごいてあげちゃう❤,As your hips drop; I let my breasts bounce down...❤ Dropping from above~❤ I'll stroke down on your cock and give it a squeeze~❤
はぎぃっ❤ああっ❤だめ、これ、やばいぃっ❤❤❤,Hah...❤ Ahh...❤ No; I'm in trouble...❤❤❤
くすくす❤そうでしょ？\n腰が抜けちゃいそうなぐらい気持ちいいわよね❤,Giggle~❤ Right? It feels so good it makes your legs want to give out~❤
あなたの腰振りを完全に把握して、\n今一番しごいてほしいところもぴったり見抜いて、\nこのサイズの爆乳おっぱいがずりずりしちゃうんですもの❤,I understand your hip movements completely; and I can perfectly pinpoint the exact spot you want me to work on the most; letting these large breasts just slide right in~❤
男が抗えるはずないわ。\nほらほらほらぁ❤,No man could  possibly resist this pleasure. Come on; come on; come on~❤
あっ、ああっ❤❤もう出るっ❤きもちいいっ❤❤,Ah; ahh~❤❤ I'm about to cum!❤ It feels so good!❤❤
あはん❤わたしを追い詰めたくせに、\nパイズリには速攻で屈しちゃうのね❤,Aha~❤ You had me cornered; but instead you threw your win away for my paizuri~❤
心のバリアを解いて、\nバニーガールの全力パイズリ受けてどうだった？\n脳みそどろどろになっちゃうぐらい気持ちよかった？,How was it; having your mental barriers collapse and receiving a full-force paizuri from a bunny girl? Did it feel so good your brain turned to mush?
ほら、たっぷり声をあげながら射精しなさい❤\n周りの仲間によく聞こえるように、\nたくさん喘いでおっぱいに出しちゃいなさい❤,Come on; moan as loud as you can and cum~❤ Let everyone around hear you. Moan a lot and cum into my breasts~❤
ぱちゅんぱちゅんって音がなるように激しくしてあげる❤\nわたしのおっぱいに負けちゃえ❤\n強いマスターくん❤,I'll go so hard you can hear when my breasts hit your lap~❤ So give into my breasts~❤ Mister Big Strong Master~❤
ぱちゅんぱちゅんって音がなるように激しくしてあげる❤\nわたしのおっぱいに負けちゃえ❤\n強いモンスターくん❤,I'll go so hard you can hear when my breasts hit your lap~❤ So give into my breasts~❤ Mister Big Strong Monster~❤
あぎぃっ❤❤あへぇっ、あっ❤ああっ❤❤でるぅっ❤❤,Agh!❤❤ Ah; ahh!❤ Ohh!❤❤ I-I'm coming!❤❤
はへぇっ・・❤❤,Hah...❤❤
くす❤あっという間におっぱいで陥落ね❤\n強い強いマスターくんが、\nアヘアへのとろけがおになっちゃった❤,Giggle~❤ You lost to my breasts so quickly~❤ I turned he big; strong master into a pleasured mess~❤
ちゃんと強い意志を持たないとダメよ？\nま、Ｃランクの男マスターたちもみんなこのおっぱいに負けちゃったけど❤\nくすくす❤,You need to have a really strong will; you know? Though; even the C-rank male masters lose to my breasts.❤ Giggle~❤
くす❤あっという間におっぱいで陥落ね❤\n強い強いモンスターくんが、\nアヘアへのとろけがおになっちゃった❤,Giggle~❤ You lost to my breasts so quickly~❤ I turned he big; strong monster into a pleasured mess~❤
今の声を聞いてたら、他の人も興味が出ちゃうでしょう？\nって、うふふ❤みんな前かがみになっちゃってる❤\nかわいい反応するのね❤,If they heard your voice right now; don't you think your allies would be interested in this; too? Giggle~❤ Everyone is leaning forward to listen~❤ So cute~❤
あぁん❤上級モンスターのわたしを追い詰めるなんて、\nあなたもとっても強いのね❤,Ahh~❤ To think you could corner an advanced monster like me. You're really strong~❤
