default
カクテルフェアリー・ライム,Cocktail Fairy - Lime
んべー❤ほら、これがあなたが負けた舌よ❤\nこんなちっちゃい舌に負けてなっさけない❤\nくすくす❤,Ahhh~❤ Look; here's the tongue that defeated you~❤ How pathetic; losing to such a tiny tongue.❤ Giggle~❤
あん❤どぴゅどぴゅってすごい勢い❤\nわたしのおっぱい、そんなによかったんだ。くすくす❤,Ahn~❤ This is a lot of work.❤ I'm glad you like my boobs so much. Giggle~❤
ちいさいけれど、おっぱいの弾力は普通の女の子以上だったでしょ？\nんふふ、エナジーおいしい❤,I may be small; but my breasts are softer than a normal girl's; aren't they? Mfufu; your mana tastes so good.❤
はう、強いわね。\nわたしじゃ相手にならないかも…。,Hah; you're strong. I might not be a match for you...
こうなったらえい・・！,If it comes to this... Ha!
ふふ、一気にあなたのチンポを捕まえたわ。\nこうやってぎゅって抱き着いてたら、\n簡単には攻撃できないでしょ？,Fufu; I've latched onto your dick. You can't easily attack me when I hold you like this; can you?
下手に攻撃したら自分のチンポに当たっちゃうわよ？\nそれでも攻撃する？金的ってめちゃくちゃ痛いんでしょ？\nくすくす❤,If you're not careful; you'll end up attacking your own dick. Will you still attack?  You'll end up in quite a bit of pain if you miss; right? Giggle~❤
ねえ、そんなリスクを冒す必要ないわ。\n危ない目に会うよりわたしにチンポをスリスリされて、\n気持ちよくなりましょう？,Hey; you don't have to take that risk. Why don't you just let me slurp your dick and make you feel good instead?
ほら、すり、すり♪\nふとももとおっぱいをチンポにこすりつけられて、\n腰が抜けそうなんじゃないかしら❤,Look; rub; rub; rub.♪  I can rub my thighs and tits against your cock at the same time. It looks like you're losing the will to resist.❤
そのまま力を抜いて、わたしのサービスを楽しんで❤\n気持ちいいのに身を任せましょう❤うふふ❤,Relax and enjoy my service.❤ You should just let yourself feel good~❤ Ufufu.❤
や、ちょっと、そんな丁寧にはがさないでよ。\nあ、空中に投げてから斬るの？\nきゃうううっ・・・・。,Hey; wait; don't just carefully peel me off of your dick! You're gonna throw me in the air and attack!? Ah! Ouch!!
うぐ、ううっ・・・❤,U-ugh...❤
ふふ、そうよね、手が出せないわよね❤\nいいじゃない。こんな風にチンポを人質に取られたら、\nみんな仕方ないって思ってくれるわ。,Fufu; I know; I know. You can't risk it; can you?❤ It's okay. Once I hold your dick hostage like this; you don't really have a choice anymore.
あなたは危ないから攻撃をやめただけ、\nチンポすりすりされて、力が抜けたからじゃない…❤\nね、そうでしょ？くすくす❤,You only stopped attacking me because your weakest part was in danger. Of course; it had ~nothing~ to do with my body massaging your dick until your strength drained away... right?❤ That's not what happened; is it sweetie? Giggle~❤
あん❤チンポびくんってなって、\nこのままじゃ、振り落とされちゃいそう❤,Ahn.❤ You're so excited! If your dick keeps twitching like that; I might be thrown right off!❤
いくらチンポが揺れても落ちないように、\nぎゅて抱きしめないとね❤\nふとももをなまめかしく絡めて…❤すりすりすり…❤,I have to hold you tight so I don't fall off no matter how much your dick shakes.❤ I'll just wrap it up with my thighs...❤ Let's get started.❤
うふふ❤どんどん蕩け顔になっちゃうわね❤\nわたしの肌でなでられて、気持ちいい？,Ufufu.❤ You're getting more and more lost in pleasure; aren't you?❤ Does it feel good to be stroked by my skin?
わたしの肌、ワイン風呂に入ったあとみたいに、\nいつもすべすべなの❤,My skin is always so smooth; it's like I've just returned from the spa.❤
そんな美肌をすりすり擦られて\nチンポぞくぞくしちゃうでしょ？\nくす❤その顔、さっきまでわたしを追い詰めてたとは思えないわね❤,Rubbing against such smooth skin must make your cock tingle with excitement; right? Heh.❤ That pleasure-drunk expression makes you look so dumb... I can't believe you had me cornered a moment ago.❤
もっと間抜けな顔にしてあげる。\nおっぱいでカリの下をずりずり♪\nわたしの巨乳で極楽を味わいなさい❤,I'll make you look even dumber. Let me slide my soft breasts under your cockhead~❤ Enjoy a taste of heaven with my luscious tits.❤
あぐっ…❤ううっ、もうダメっ❤❤こんな小さい相手にぃ…❤❤,Aggghh...❤Ughh; I can't resist...❤ Against such a small opponent...❤
くすくす❤\nそうね❤チンポより小さい女の子に負けちゃうわね❤,Giggle~❤ That's right~❤ You're losing to a girl even smaller than your dick; huh?❤
あとちょっとで勝てたのに、\nチンポを人質に取られて、快楽でふにゃふにゃ❤\n大事なエナジーを搾り取られちゃう❤,You were so close to winning; but now your cock is held hostage.❤ I've used pleasure to turn you into a trembling mess and now I'm draining your precious energy.❤
精液が上ってくるのを体で感じるわ❤\nわたしのふともも、おなか、おっぱいって順に押しあげてくる❤\nほら、もう出る❤出ちゃう❤,I can feel your cum rising up through your dick.❤ It's pushing against my thighs. Now my tummy. And now it's rising past my tits.❤ See? It's coming out.❤ Cum for me.❤
我慢なんてしないでイきなさい❤\nふとももすりすりも、巨乳のパイズリも、\nイクまで続けてあげる。ほらほらほら…❤,Don't hold back; just cum.❤ I'll keep rubbing my thighs and squeezing your cock with my big; soft breasts until you climax. Faster; harder; come on...❤
はひぃっ・・・❤❤❤,Hee-hee...❤
きゃは❤見て？\nどろどろ～❤\nたくさんエナジー出しちゃったわね♪,Kyaha~❤ Can you see? It's coming out so sloppily~❤ You're spilling out all of this mana for me.♪
あなたは悪くないわ。チンポ人質に取られたから仕方ない、仕方ない。\nぷぷっ、そんなわけないわよね。\n頑張れば振り払えたでしょうに♪,It's not your fault. Your dick was taken hostage; so of course you couldn't resist... Fufu; that's not true though; is it? You could have shaken me off; if you'd reeeally tried~♪
マスターくんは快楽に負けたの。\nちっちゃい体のわたしに、気持ちよくされて、\n勝てる勝負を捨てちゃったのよ❤おバカさん❤,Master-kun; you lost to pleasure. You got pleasured by my little body and threw away a fight you could have won.❤ Silly boy.❤
もらったエナジーのおかげで体力も回復したわ。\nくすくす❤男ってほんとちょろい❤,Thanks to the energy I got; I'm back to full strength. Giggle~❤ Men are really so easy.❤
はう、この人も強いわね。\nまったく、強い相手ばっかりで嫌になっちゃう。,Oh no; this person is strong too; isn't he? Seriously; I'm so sick of facing all these strong opponents.
ってあん、わたしの飛びつきを避けないでよ。\nえ？同じ手は食わないって？\nそんなぁ。,Ahhh geez; don't dodge when I try to jump on you. Huh? You won't fall for the same trick twice? That's so unfair...
わたしの体、気持ちいいのよ？\nチンポにふともも押し付けられて、\nこの巨乳で先っぽをずりずりいじめられて、,But you know; my body feels so good. I could press my thighs against your cock while my round tits tease your tip.
抵抗されなければ、\n３分も経たないで射精させちゃうんだから❤\n・・・って、あら？,If you stop resisting; I'll make you cum in under 3 minutes.❤ ...Oh? What's this?
ふふふ❤今の話を聞いて、\nチンポびくびくさせちゃってるわね❤\nねえ、やっぱりわたしに抱き着いてほしいんじゃない？,Fufufu.❤ Even though we're just chatting right now; it looks like your penis is getting pretty twitchy.❤ Hey; doesn't that mean you want me to cling onto you after all?
その大きくなったチンポに、\n妖精のご奉仕を受けたいんでしょ？\nあはん❤素直になった方がいいわ❤,You want that swollen cock of yours to be serviced by a fairy; don’t you? Aha~❤ You’d better be honest about your desires.❤
ね？わたしに抱き着かせて…❤\nそのまま力を抜いて、わたしのサービスを楽しみましょう❤\nどびゅーってするまで快楽に身を任せるの❤くすくす❤,See? Let me hold you tight...❤ Just relax and enjoy my services.❤ Let yourself be pleasured until you explode.❤ Giggle~❤
冷静にフェアリーを攻撃した,Keep a clear head and attack the fairy
されるがままになってしまった,Well... Maybe just for a little while...
きゃん！\nううっ、何度もうまくはいかなかったわ…。,Kyaa! Uuu; it didn't go well this time...
ふふ、そうよね、手が出せないわよね❤\nチンポ気持ちよくなりたいものね❤,Fufu; I know. You can't handle it; can you?❤ I know you want to feel good; so just enjoy it.❤
さっきの子がやられた時みたいに、\n全身を使ったご奉仕をしてあげる❤\nほら・・・❤,Just like I did to your ally before; I'm going to pleasure you with my whole body.❤ I'll show you how good it felt...❤
あは❤抱き着かれただけで\nもう反応してる❤\nビクンビクンって揺れて、わたし振り落とされちゃいそう❤,Aha~ Just hugging you is making you react already.❤ It's jerking so much; I might fall off~❤
わたしの肌、\n指で触れるだけでうっとりしちゃうぐらい、すべすべなの❤,My skin is so smooth that even touching touching me with your fingers will leave you entranced.❤
そんな美肌ですりすり擦られると\nチンポぞくぞくしちゃうでしょ？\nくす❤その顔、さっきまでわたしを追い詰めてたとは思えないわね❤,When my soft; smooth skin rubs against your cock; it sends shivers down your spine; doesn't it? Hmm~❤ What a stupid expression you have. I can't believe you almost defeated me just a moment ago.❤
くすくす❤\nそうね❤あなたもチンポより小さい女の子に負けちゃうわね❤,Giggle~❤ Look at yourself.❤ Even a girl smaller than your cock can bring you to defeat.❤
男なんてみんなそう❤\n頑張って戦ってても、ちょっと誘惑してあげれば、\nこんな小さいモンスターにも屈服しちゃう。,All you guys are the same.❤ No matter how strong you seem; just a little bit of temptation and you're submitting to such a tiny monster.
とどめをさしたら、どぴゅってさせてもらえないものね❤\n射精したくてうずいているチンポ、\nこの体で解放してほしいものね❤,When I deliver the final blow; you won't be able to stop yourself from spilling your load; will you?❤ This cock of yours is aching to cum. You want my body to grant you release; don't you?❤
あん❤精液が上ってくるのを体で感じるわ❤\nわたしのふともも、おなか、おっぱいって順に押しあげてくる❤\nほら、もう出る❤出ちゃう❤,Ahn~❤ I can feel your sperm beginning to rise against my body~❤ It's pulsing up between my legs; stomach; and now between my breasts~❤ Look; it means you're already about to cum~❤ You're gonna spurt!~❤
あなたは悪くないわ。チンポ人質に取られたから仕方ない、仕方ない。\nぷぷっ、そんなわけないわよね。\n頑張れば振り払えたでしょうに。,It's not your fault. Your cock was taken hostage so it couldn't be helped; surely. Fufu; as if that's true. In reality; if you had tried harder; you could have shaken me off.
あっ、ああっ・・・。,Ah. Ahh..
あらら…❤武器を捨ててオナニー始めちゃうんだ。\nわたしの体をなめまわすように見て、\nおちんちんシコシコしてる～❤,Oh! Oh; my...❤ You're throwing away your weapon and starting to masturbate. You're staring at my body so intently. It must be a perfect view for you to suddenly start jerking off like that~❤
わたし、あなたの手の平ぐらいしかない大きさなんだけど。\nそんな体で興奮したの？\nくすくす❤へんたいだわ❤,I’m only about the size of your hand. Are you that turned on by such a small body? Giggle~❤ You’re a real pervert; aren’t you?❤
あううっ・・・❤,Ahhhh...❤
へんたいって言われて喜んでる。\nマゾっ気もあるなんて、\nますますへんたい❤,I can tell you got more excited when I called you a pervert. Are you a masochist; too? That would make you even more of a pervert; wouldn't it?❤
ほっといても勝てそうだけど、\nそうね、サービスしてあげる❤,Wow; even if I stopped now; you'd still lose all on your own. But... Fine; I'll give you a little service.❤
ほら、あなたの耳元に飛んで行って、\nエロくささやいてあげるね❤,Hmhm; I'll fly close to your ear and whisper something naughty for you.❤
マゾ…❤へんたい…❤\n闘技場の戦い中にオナニーはじめちゃうダメ人間❤,Masochist...❤ Pervert...❤ You're just a no good monster who starts masturbating while fighting in the arena.❤
はひぃっ・・・❤,He hii...❤
耳元でバカにされてうれしいのよね❤\n見下されたこと言われるたびに、\nぞくぞく～って背中から気持ちいいのが上がってきて…。,You like being mocked right in your ear; don’t you?❤ Every time you're belittled; a shiver of pleasure just runs up your spine...
へんたい…❤って言われたら頭の中まで\nマゾの気持ちよさでいっぱいになっちゃう。,Pervert~❤ Every time I say that; your head fills with the pleasure of being a masochist.
くすくす❤今も体がびくんってなった。\nわたしにささやかれているだけなのに…❤,Giggle~❤ Even now; your body keeps twitching just from hearing my whispers...❤
ほら、もっと言ってあげる。マゾ…❤へんたい…❤\nシコシコ気持ちよくて、敵に負けちゃう雑魚チンポ❤\n手をたくさん上下に動かして、シコシコ❤シコシコ❤猿みたい❤,It makes me want to tease you even more.❤ Masochist~❤ Pervert~❤ Jerking off to small-fry enemies with that pathetic dick of yours.❤ Moving your hand up and down so much; just mindlessly masturbating.❤
チンポ気持ちよくなって負け汁出しちゃう❤\n妖精の女の子に負けちゃう…❤\nあーん、がまん出来ない❤チンポジンジンしてどぴゅっちゃう❤,Your cock feels so good that you're already leaking precum.❤ You can't even resist a small fairy girl...❤ Ahhh; you can't hold back anymore~❤ You're about to cum~❤
ほら、イケ…❤\nわたしに負けて、何もない目の前に射精しちゃえ…❤\nしこしこしこ❤びゅっ、びゅっ、びゅっー❤,Hora; come on~❤ Lose to me and just cum all over the ground in front of you...❤ Just pump and pump.❤ Shoot it out~❤
はぅぅっ…❤,Hahhhh...❤
あはは、すごい勢いね。\n地面に向けてどびゅどびゅ射精。むだうち射精ごくろうさま❤,Ahaha; you're really going at it; splurting wildly all over the ground like that. Good job wasting your precious cum; you horny boy.❤
そこに出されちゃうと体力は回復できないけれど、\nふふ、マゾをからかうのは楽しいから別にいいわ。\nばーか❤,Since you're cumming there; I can't even use it to regain my stamina. Fufu; but teasing a masochist like you is really fun; so it's all good. Idiot~❤
あらら…❤あなたもオナニー始めちゃうんだ。\n夢中になっておちんちんをシコシコ❤シコシコ❤\n敵の前で一生懸命手を動かしてる。,Oh my...❤ You couldn't resist masturbating too; huh? You're rubbing your dick so vigorously...❤ Stroke after stroke...❤ Your hand moving desperately even in front of the enemy.
さっき仲間がやられるのを見てたわよね。\n耳のところで妖精に何かささやかれて、それでぼーっとなって、\nあっという間に地面へむだうち❤あなたもそんな風になりたいの？,You saw your comrade getting taken down earlier; right? A fairy was whispering sweet nothings in their ear; and they became dazed and sprawled on the ground in no time.❤ Do you want to experience that for yourself?
う、ううっ・・・❤お願いっ…❤,Please...❤
あは、自分から頼み込んじゃうなんてダメな人❤\n手の平ぐらいしかない女の子に\n「バカにしてください」って頼んでるんだよ？きもーい❤,Aha; begging like that... What a hopeless person you are.❤ You're asking a girl who's only the size of your palm "mock me; please" hmm? So gross~❤
試合を放り出してもマゾオナニーしたかったんだよね。\nほら、さっきと同じようにあなたの耳元に飛んで行って、\nエロくささやいてあげる。,You want to jerk off like a masochist even at the cost of the match; don't you? Look; I'll fly to your ear just like before and whisper sexy; mean words to you.
マゾ…❤へんたい…❤\n仲間がいなくなってピンチなのに、\n闘技場の戦い中にオナニーはじめちゃうダメ人間❤,Masochist...❤ Pervert...❤ Even when your comrades have left you and you're in a pinch; you go and start masturbating in the middle of an arena fight; you hopeless pervert.❤
へんたい…❤って言われたら\n頭の中までマゾの気持ちよさでいっぱいになっちゃう❤,Pervert...❤ Your head is filling up with masochistic pleasure.❤
くすくす❤今も体がびくんってなった。\nわたしにささやかれているだけなのに…❤\nチンポも理性もよわーい❤,Giggle~❤ Your body just twitched again. Even though I’m just whispering to you...❤ Your cock and your willpower are so weak.❤
バカにされてるんだから、ほら怒らなきゃ。\nチンポびくびくさせてもわたし怖くないよ～。\n怖い顔してにらんでみせろ～❤,You're being made fun of; so come on; get angry. I'll never stop if all you do is shiver like that. Show me your scary face and glare at me~❤
きゃは、にらむどころか蕩け顔だねー❤\n耳から言葉が入るたびに、どんどん気持ちよくなっちゃう…❤\nやめなきゃダメなのに、シコシコ❤シコシコ❤止まらない…❤,Kyaha! You can't even manage a glare. Your expression is just melting with pleasure~❤ Every time my words reach your ears; you feel even better...❤ You know you need to stop; but you can't help it.❤ Stroke for me.❤ My whispers are irresistible...❤
マスターなのに敵モンスターに煽られてシコシコしちゃうザコ❤\nチンポ気持ちよくなってすぐに負け汁出しちゃう❤\n妖精の女の子に言葉だけで負けちゃう…❤,Despite being a master; you're just a weakling who masturbates when taunted by enemy monsters.❤ Your pathetic cock feels so good that you immediately release your loser juices~❤ You even lose to a fairy girl with just words alone...❤
仲間を裏切ってシコシコおねだり❤\nあん、あん、気持ちいい❤\nちっちゃい妖精の女の子に負けちゃう…❤言葉だけでイかされちゃう❤,Betraying your comrades to jerk yourself off like this.❤ Ahn~ Ooh; it must feel so good!❤ You can't stop yourself; you're about to lose to a tiny fairy girl...❤ I'm not even touching you; you know. You'll cum from just my words alone.❤
ほら、イケ…❤\nわたしに負けて、何もない地面に射精しちゃえ…❤\nしこしこしこ❤びゅっ、びゅっ、びゅっー❤,Hora; cum for me...❤ Surrender yourself and spill your seed onto the bare ground...❤ Pump; pump; pump...❤ Spurt; spurt; spurt!❤
あはは、すごい勢いね。\n地面に向けてどびゅどびゅ射精。\nむだうち射精ごくろうさま❤,Ahaha; what a forceful burst. You're spurting messily all over the ground. Congratulations on your wasteful ejaculation.❤
うわっ・・・。なんだ、体が急に・・・・。,Woah; what the hell? My body is suddenly...
うふふ、マスターの魔法でずいぶん小さくされちゃったわね。\nいまならわたしの方がずっと大きいわ。,Ufufu; it seems like my master's spell has shrunk you quite a lot. I'm so much bigger now; aren't I?
ほら、あなたをつまみ上げて…❤,Here; I'll pick you up...❤
わたしの谷間で気持ちよくイかせてあげる❤,I'll make you feel so good with my breasts; you'll helplessly cum all over them~❤
射精しちゃうの？くすくす❤\nおっぱいにたくさん出しちゃいなさい❤,Are you going to ejaculate? Giggle~❤ Come on then; shoot your load all over my tits.❤
きゃ、逃げられちゃった。\n小さいのに頑張って偉いわね。ふふふ。,Kyah; you escaped!  You're doing a great job for such a little guy. I'm so proud of you; fufufu.
もう魔法の効果は切れちゃったみたいだし、全身パイズリも終わりかぁ。せっかくならイくまで楽しめばよかったのに。もったいない❤,I guess the magic has worn off; and the full-body titillation is over. Too bad you didn't enjoy it to the end... Such a waste.
もう逃げるのは終わり？全然抵抗してないじゃない❤,Are you done running away? You're not resisting at all.❤
大きすぎるおっぱいで何も考えられなくなったみたいね。\nだらーんとしてパイズリされるがまま❤,It seems you're dazed by my enormous boobs. You're just letting me titfuck you now; huh?❤
くすくす❤無抵抗でいいのかしら。あっという間に負けちゃうわよ。,Giggle~❤ Is it really okay to not resist? You'll end up losing in no time.
おっぱいに溺れるのは気持ちいい❤おっぱいに負けるのは幸せ❤\nほらほらほら♪,It feels good to drown in tits; doesn't it?❤ Succumbing to my big boobs must be pure bliss.❤ Sink deeper.♪
パイズリでふにゃふにゃになっちゃったわね。\n逃げる気がないみたいだけど、試合に負けてもいいのかしら。,Looks like you're body's gone all limp from my titjob; hasn't it? You don't seem to want to escape; but I wonder... Are you really okay losing this match?
パイズリでふにゃふにゃになっちゃったわね。\nマスターの命令聞かなくていいの？ふふふ❤,My tits seem to have you dazed. Does this mean you can ignore your master's orders now? Fufufu.❤
胸にカクテルが少しついているから、酔っぱらちゃうかもね❤,There's a bit of cocktail on my chest; so you might get a little drunk.❤
抵抗しても無駄♪ほら、体全部をずりずりずり♪,Resistance is futile.♪ Look; I'm covering your whole body with my breasts.♪
もう逃げられないわ。\nわたしに負けておっぱいで射精しちゃえばいいのよ。,There's no escaping me anymore. Just give in to my boobs and cum all over.
おっぱい気持ちよすぎて何も考えられないでしょ？くすくす❤,My tits feel so good you can't think about anything else; right? Giggle~❤
あは、サイズ差が逆転した気分はどう？\nわたしの特大おっぱいでかわいがってあげる❤,Aha; how does it feel to have the size difference reversed? I'll service you with my oversized chest.❤
おっぱいに全身埋もれて幸せよね❤,You must love being completely buried in my breasts; hmm?❤
谷間の深ーいところに、おぼれちゃっていいわよ。,You can drown in the deepest part of my cleavage for as long as you want.
くすくす❤豆つぶみたいね❤,Giggle~❤ Your little thing is so tiny.❤
逃げなくていいわよ。射精するまでパイズリ楽しみなさい❤,No need to run away. Enjoy this paizuri until you ejaculate.❤
やわらかいでしょ？もっと気持ちよくしてあげる。,Soft; aren't they? I'll make you feel even better.
カクテルが少しついているから、酔っぱらちゃうかもね❤,A few cocktails are included; so you might end up drunk.❤
マスターくんの負け❤\n妖精のささやきで気持ちよくなれてよかったわね。うふふ❤,You lose; Master-kun.❤ I'm glad you were able to feel good from a fairy's whispers. Ufufu.❤
あん、口の中にこんなに出して…❤\nうふふ、わたしのフェラ気持ちよかった？,Mmm; you came this much inside my mouth...❤ Ufufu; was my blowjob that good?
あん❤わたしのパイズリで出しちゃうんだ。\nこんな小さい体に負けて、よわいチンポ❤くすくす❤,Ahn~❤ You're cumming from my paizuri. Your weak little dick can't handle being squeezed by my small body.❤ Giggle~❤
ミレーヌさんが使う小さなフェアリーモンスターに敗れた僕は、闘技場の地面に膝をついてうずくまっていた。,Defeated by Mylene's small fairy monster; I collapsed to my knees on the arena floor.
決着ー！！勝者はミレーヌ選手！,It's settled! The winner is Mylene!
妖精モンスターに翻弄され、\n期待のルーキーはあえなく撃沈！\nDランクマスターたち相手に、連勝は難しかったか！,The promising rookie was mercilessly toyed with and swiftly sunk by the fairy monster! It looks like his winning streak was just too difficult to maintain against D-rank masters!
くすくす❤気持ちよかったねー。\nおちんちんまだイライラしてる？\nわたしがもう一回抜いてあげようか？,Giggle~❤ Feels good; huh? Is your cock still twitching? Want me to make you cum again?
ねー、マスター。いいでしょー❤\nこの子エナジーおいしいから、もっと吸いたいの。,Hey; Master. His mana is so delicious; I want to suck more of it. It should be fine; right?❤
そうね。あんまりいじめちゃかわいそうな気もするけれど…。\nわたしも魔力に余裕があるほうじゃないし、\nエナジー、もらっておこうかしら。,I suppose so. I do feel a little bad about teasing him too much... But I'm not exactly overflowing with magical power either; so I think I'll help myself to some of his energy.
{%%10035}を召喚。,Summon {%%10035}.
{%%10036}を召喚。,Summon {%%10036}.
うふふ。三匹がかりで気持ちよくしてあげなさい。,Ufufu. I'll have all three of you make him feel good.
おっけー❤\nそれじゃ、搾り取ってあげるねー❤,Okay!❤ I'll squeeze him dry; then.❤
うあ、からみつかれて、あっ、だめそこはっ❤\n敏感だからっ❤はひぃっ❤,Oh; being wrapped up like this; ah; no not there...❤ It's too sensitive!❤ Hahii~!❤
あは、わたしたちにあちこちからチンポ責められて\nびっくりしちゃった？,Aha; are you surprised being teased and tormented from all sides by us?
わたしはおっぱいで、カリの出っぱったところ、\nずりずりってしてあげる❤,With my breasts; I'll stroke and grind against the protruding head of your cock.❤
ほらぁ、やわらかくて気持ちいいでしょ？\nずり♪ずり♪ずり♪,Horaa~ isn't it soft and comfortable? Stroke~♪ Stroke~♪ Stroke~♪
あっ、あっ、きもちいいっ…❤きもちよくてっ❤,Ah; oh; that feels so good...❤  It's so amazing.❤
あん、あんまりビクビクしないでよ。\n振り払われちゃうでしょ。,Hey; don't squirm so much. You'll end up shaking me off.
ま、それだけ気持ちいいんだろうけど❤\nくすくす❤,Well; I guess it just feels that good.❤ Giggle~❤
ほら、わたしは先端をぱふぱふしてあげるわ❤\nここをぱふぱふされたことなんてないでしょ？,Look; I'll give the tip a soft rub with my breasts.❤ You've never had it caressed quite like this before; have you?
むぎゅうっておっぱい押し付けて、\nぱふ❤ぱふ❤ぱふ❤,With a firm press of my breasts against you... Squish~❤ Squish~❤ Squish~❤
