default
ガンナーハーピー,Harpy Gunslinger
そんなんじゃ、アタシのマスターからの花丸はもらえねえな。\n雑魚❤,At this rate; you won't be getting a gold star from my master. What a weakling~❤
相手の胸にメロメロになって、勝手に負けてるようじゃ、\nおまえのマスターはいい点もらねえぜ？\n雑魚❤,If you're getting smitten for your opponent's tits and losing on your own; your master won't be getting good marks here; will he? Weakling~❤
おいおいどうした？\n胸に挟まれて逃げられなくなってんじゃねえか。,Awh what's the matter? You stuck between my tits with no way out?
もう試合は終わりにするのか？\nそれならほら、アタシの胸でさっさと出しちまえよ。\nオラオラオラ❤,Wanna just end the match already? Then here; hurry up and cum on my tits. That's it; come on; come on!❤
はっ、もう射精するのか❤\n最後に思いっきり上からたたきつけてやるよ❤\nイケ❤おっぱいに負けちまえ❤,Hah; you gonna cum already?❤ Then I'll slam my tits one last time to finish you off!❤ Let it out~❤ Surrender to my tits!❤
おっと、あんなにふぬけてたのに、\n脱出できるとはな。\n意外と頑張るじゃねえか。,Oops. With how pathetic you were looking I didn't think you'd have it in ya to escape. You've got more fight than I thought.
だけどその顔、アタシの胸ですっかりメロメロなんだろ？\nさっさと諦めて降参しちまったらどうだ❤,But judging by that face you're making; you're completely smitten with my tits; aintcha? So why not just give up and surrender already?❤
アタシのおっぱいが気持ちよくてたまらないんだろ？出しちまえよ❤,Guess my tits feel so good you can't stand it; huh? Just shoot it out already!❤
腰がふるえてんぞ？ハハ、弱えなぁ❤,Are your legs starting to tremble? Haha; so weak~❤
逃げ出す気あんのか？びくびくしてるだけじゃねえか❤,Thinking of running away? Why're ya just standing there; shaking in your boots?❤
腰が溶けそうだって？はは、さっさと負けちまえ❤,Your hips feel like they're melting; don't they? Haha; just hurry up and lose already~❤
アタシのおっぱい柔らけえだろ？お前の雑魚チンポで耐えられんのか？,My tits are so soft; dontcha think? Can your weak lil' dick handle this?
音がなるぐらい激しく動かしてやるよ❤,I'll slap them against ya so hard you can hear it!❤
口からよだれだして、気持ちよさそうにしやがって❤だらしねえな❤,You look so happy you're drooling!❤ You're a total mess~❤
男なんてどうせおっぱいにゃ勝てないんだよ❤,Looks like no man could ever beat my tits!❤
もうイキそうなんだろ？我慢するだけ無駄無駄❤,You're about to cum; aintcha? Trying to hold back is useless!❤
先っぽをこすってやれば、たまらねえだろ？,Feels amazing when I rub the tip; don't it?
抵抗しねえのか？うっとりした目でこっちを見やがって❤,Aintcha gonna resist? You're just staring at me with those hazy eyes~❤
暴れもしないでされるがままか❤雑魚マスターにはアタシのパイズリは気持ちよすぎたかもな❤,You planning to just lie there and take it; sugar?❤ Maybe my titjob was too much for a weak lil' master like you~❤
もう勝負のことなんてどうでもいいんだろ？おっぱいフェチのマスター❤,You don't care about the match anymore; do ya? You're such a tit-lover~❤
アタシの胸でご主人様のことなんて忘れさせてやるよ❤,My tits'll make you forget all about your master~❤
もう勝負のことなんてどうでもいいんだろ？おっぱいフェチの雑魚モンスター❤,You don't care about the match anymore; do ya? You weak lil' tit-loving monster~❤
あぅぅ……❤,Ahhh...❤
おいおい、まさか自分から扱いちまうのか？,Woah; hey; are you seriously stroking yourself right now?
Aランクマスターに実力を見てもらう大事な機会だってのに、\n情けねえな❤,This is your chance to show your skills to an A-rank master; and you're stroking yourself? Pathetic~❤
あんたの主人が\nAランクマスターに実力を見てもらう大事な機会だってのに、\n情けねえな❤,This is your master's chance to show his skills to an A-rank master; and you're stroking yourself? Pathetic~❤
どうせこの胸に見とれて頭の中空っぽになっちまったんだろ？\nてめえの顔の前で揺らしてやるよ❤\nおら、おら❤,You probably went all empty-headed just staring at these tits; didn't ya? Why don't I give them a shake?❤ Here ya go; take a look~❤
あうぅう、すごいっ…❤❤,Ahh; amazing...❤❤
ははっ、馬鹿みてえに扱いてやがる❤\nそんなに乱暴にやって痛くねえのか？,Haha; you're just jerking off like an idiot~❤ Doesn't it hurt gripping it that rough?
ああ、興奮しすぎて我慢汁が出てるから痛くねえか。\nぐちゅぐちゅ、ぐちゅぐちゅ、すげー音だもんな❤,Ah; because you're so excited and leaking precum; it doesn't hurt; right? Squish; squish. I can hear how slick your dick is from here~❤
図書室でそんな音させてたら、周りの生徒も見に来ちまうぜ？\nでも胸を揺らされたらやめられないんだろ？\nおらおら❤ゆさゆさゆさってな♪,If you keep making sounds like that in the library; the other students might come looking; you know? But you can't stop yourself when you see my tits bouncing; can ya? Come on; keep stroking~❤ Bounce; bounce; bounce~♪
あぐうっ、だめ、もうっ…❤,Agh; no... I... I can't take anymore...❤
早えーな。おっぱいに弱すぎだろ❤,That was fast. You're way too weak to tits~❤
ほら、とどめだ。一回持ち上げて、\nだぷんって上から落としてやる❤,Here; this oughta finish you off. I'll lift them up; then drop them down for ya~❤
みっともなくうめきながら出していいぜ。\nアタシのおっぱいに負けろ❤\nこの変態❤,Go on; let out all the pathetic moans you want and cum for me! Lose to my tits!❤ You pervert~❤
あは、すげー濃いな❤\nアタシのおっぱいをオカズにして扱くの、\nそんなに気持ちよかったか？,Aha; your cum's so thick~❤ Did jerking off to my tits feel good?
見られながらオナニーして興奮するなんて、\nマゾって変なやつらだよな。\n敵を回復させてまでそんなことしたいのかよ。まったく。,Getting so excited just cause someone watched you masturbate... Masochists are real sickos. Are you really that desperate to get off; even if it heals your enemy? Seriously?
おいおい、今度はお前がオナニーか？,Woah; hey. Now you're the one masturbating?
Aランクマスターに実力を見てもらう大事な機会だってのに、\n本人までシコって自滅かよ。\n情けねえな❤,This is your chance to show your skills to an A-rank master; and you're gonna stroke outta the match; too? How pathetic~❤
あんたらの主人の大事な機会だってのに、\nあいつもこいつもオナニー、オナニー。\nバカじゃねえのか❤,This is your chance to show your skills to an A-rank master; and you're throwin' it all away by stroking yourself; too? How pathetic~❤
ははっ、馬鹿みてえに扱いてやがる❤\nお前らおっぱい好きすぎだろ。,Haha; jerking off like idiots~❤ You guys are way too obsessed with tits.
こんな脂肪の塊のなにがそんなにいいんだか。\n人前で間抜け面さらして、\nバカ見てえにシコって恥ずかしくないのか？,What's so good about these lumps'a fat; huh? Don't you got any shame stroking yourself like that and making such a stupid face in public?
さっきのやつが声上げながらシコってたから、\nほら、周りに女の生徒が見にきてるぜ。\nあんたのことくすくす笑ってんな。バーカ❤,Look; you're stroking and moaning so much some of the female students are gathering around to watch. They're giggling at you. You idiot~❤
はっ、笑われてんのにシコるのやめられねえとか、\nプライドとかねえーのかよ❤,Hah; you can't stop jerking off even while being laughed at. Ain't you got any pride?❤
そんなにわたしのおっぱいがいいか？\nほら、下から両手で持ち上げて、\nゆさゆさって揺らしてやるよ。,Do ya really like my tits that much? Here; I'll lift them both up from the bottom and shake them for ya.
パイズリでもなんでも妄想してイっちまいな❤\n雑魚マゾ男❤,Just imagine my tits wrapped around your dick or whatever and just hurry up cum already!❤ You weak lil' masochist~❤
あは、すげー濃いな❤\nお前らみんなおっぱい揺らしてたら\n勝手に負けてくんだな。弱えー。,Aha; your cum's so thick~❤ All I gotta do is shake my tits and y'all just lose on your own; one after another. So weak.
無敗のルーキーって聞いてたから期待してたのに、\n手下ともども自滅とか。\n情けねーな、まったく。このマーゾ❤,When I heard you were an undefeated rookie I was expecting more outta you; but you and your underlings just take yourselves out. Pathetic. Seriously. You masochist~❤
無敗のルーキーって聞いてたから期待してたのに、\nその辺の男子生徒より手ごたえがねえぜ？\nもっと本気でかかってこいよ。,When I heard you were an undefeated rookie I was expecting more outta you; but you're less of a challenge than the average male student! You hafta come at me more seriously than that.
へ、やるじゃねえか。\nなら、これはどうだ？,Heh; not bad. Then how about this?
アタシの服の結び目を見な。\nこれを今からゆっくりほどいてやるよ。,See this knot in my top? I'm gonna slowly untie it for ya.
戦ってる最中もチラチラ見てたよな❤\n男がおっぱいに弱いってことはよーくわかってるんだぜ。\nシャツの端を引っ張れば・・・。ふふふ❤,You were already sneaking peeks during the fight; werentcha?❤ I know all too well how weak men are to tits. If I just tug on my shirt like this... Fufu~❤
あと５秒もすれば、胸がぽろってこぼれるかもな❤\nアタシの生乳、見たいだろ？\nほらよ、引くぜ・・・❤,Give it another five seconds; and my breasts might just spill out~❤ Dontcha wanna see my bare tits? Here I go...❤
誘惑を振り払って攻撃した,Shake off the temptation and attack
視線が釘付けになってしまった,'Her shirt's getting so loose...'
うわっ！\nくそぉ・・・、こんな手には引っかからねーか。,Whoa! Darnit... Guess you won't fall for tricks like that.
はっ、バカみてえに釘付けじゃねえか。\nそんな隙だらけになって、この間抜け❤\nおらっ！,Hah; your eyes are glued to my chest. You're full of openings; you idiot!❤ Take this!
全力で飛び掛かられて避けられなかっただろ？\nアタシの胸に見とれて、\n形勢逆転だな❤,You couldn't dodge when I lunged at you with full force; couldja? You let yourself get entranced by my tits and now the tables have turned~❤
油断して隙だらけのこのチンポ、\n一瞬で天国に送ってやるよ❤,I'll send this careless; defenseless cock of yours to heaven before ya know it~❤
あう、ああっ、やわらかくてぇ…❤すごいっ、きもちいいっ❤❤,Aah; aaah; so soft...❤ I-It feels so good!❤❤
はは❤そうだろうよ。\n心のバリアが解けてる状態でパイズリされたら、\n男なんてすぐ骨抜きだぜ。,Haha~❤ Course it does. Any man who gets one of my titjobs while his mental barriers are down becomes putty in my hands.
あ？生おっぱいは見せてくれないのかって？\nそんなもん見せてやるわけないだろ。\nただのハッタリだよ、ハッタリ❤,Huh? You want to see my bare tits? As if I'd show you something like that. It's called a 'bluff'; sweetheart~❤
あんたみてえなおっぱいマゾに、アタシの生乳は贅沢だろ？\nおらおらおら❤\n腰に叩きつけるみたいに激しくパイズリしてやれば・・・。,For a tit-masochist like you; my bare chest would be way more than you deserve; dontcha think? Come on; come on; come on~❤ If I give you a rough titjob; slamming against your waist like this...
あぐあっ❤❤あひぃっ、やばい、これぇ❤❤❤,Aghh!❤❤ Ah; ah; this is bad!❤❤❤
ほら、もう射精寸前だろ？\nさっきまでアタシを追い詰めてたくせに、情けねえな❤,Well looky here. You had me cornered me just a moment ago; but now you're about to cum; aintcha? How pathetic~❤
こんだけ気持ちよければ、我慢なんてできねえよなぁ❤\nわたしの弾力たっぷりのおっぱいで、\nぱんぱんぱんって嬲られて、おら、果てちまえ❤,With this much pleasure; there's no way you can resist; is there?❤ Not with my bouncy tits torturing you as they slam against your waist! Come on; cum!❤
谷間に搾り取られて逆転負けしな❤\nおっぱいマゾ男❤,Let yourself be milked by my cleavage and lose already!❤ You tit-masochist!❤
あひぃっ・・❤❤,Ahhh...❤❤
はは、すげー出たな❤\n見ろよ、谷間がどろっどろだぜ？,Haha; you came so much!❤ Look; see how sticky you got my cleavage?
あ？まだ生乳が見てえのか？\nエナジー搾られてるのにどんだけおっぱい好きなんだよ。\nそんな目で見ても見せねえからな。この変態❤,Huh? You still want to see my bare tits? You're being drained right now; and that's seriously all you can think about? Don't look at me like that. No way am I showing them to you. You pervert~❤
あと５秒もすれば、胸がぽろってこぼれるかもな。\nアタシの生乳、見たいだろ？\nほらよ・・・❤, In about five seconds; my chest might just spill out. Want to see my bare tits? Watch closely now...❤
あぐあっ❤❤あぎぃっ❤❤ああっ❤,Aghh!❤❤ Ah; ahi-❤❤ Aaahh!❤
こんだけ気持ちよければ、我慢なんてできねえよなぁ❤\nわたしの張りバツグンのおっぱいで、\nぱんぱんぱんって嬲られて、おら、果てちまえ❤,With this much pleasure; there's no way you can resist; is there?❤ My super-perky breasts are just pounding away at ya! Come on; cum already~❤
は、カッコ悪い負け方だな❤\胸に夢中でシコシコオナニー。\n周りの女生徒達もくすくす笑ってるぜ。,Ha; masturbating obsessively over my tits... What an uncool way to lose!❤ The female students around us are giggling.
勝てる勝負を胸に見惚れたせいで負けるとか、\nバカみてぇだな❤\nそんなに乳首見たかったか？くすくす❤,Losing a match you could have won because you were dumb-struck by a pair of tits... What an idiot!❤ Did you really want to see my nipples that badly? *Giggle*❤
あはは❤もう出したのか❤\nあたしのおっぱい最高に気持ちよかっただろ？\nズられて腰砕けになっちまったな。,Ahaha!❤ You came already?❤ Did my tits seriously feel that good? Looks like your legs have completely given out.
