default
煙猫,Cheshire
この胸で挟んでやれば、すっごく気持ちよくなれるにゃ❤\nお前の精気、全部吸い出してやるから、覚悟するにゃ❤,Nyow; I'm gonna catch you in my chest and make you feel supurr good; nya~❤ Get ready; 'claws I'm gonna suck out all your energy!❤
煙には人を中毒にさせるものが色々あるのにゃ❤\n肺から吸った空気は血に溶けてすぐに脳に回るから、\n当たり前といえば当たり前なのにゃ。,My smoke has a bunch of stuff humans can get addicted to; you knyow.❤ It makes sense if you think about it; 'claws the stuff you breathe in gets absorbed into your blood and goes straight to your brain; nya.
ほら、お前にはわたしの谷間のフェロモンを、\n濃厚な煙にして吸わせてやるのにゃ❤,Here; I'll turn the pheromones from my cleavage into a nice; thick smoke fur you to breath in; nya?❤
おっぱいにおぼれて、わたしの煙で中毒になるといいにゃ❤\n依存性たっぷりの猫フェロモン存分に吸い込んでにゃあ❤\nむにゅむにゅむにゅ～♪,I bet drowning in my breasts and getting addicted to my smoke would feel supurr good; nya~❤ Go on; breathe in all the addictive cat pheromones.❤ Pawff; pawff; pawff~♪
むっちりしたふとももは好きかにゃ？\nわたしのあったかい体でお前のこと包み込んでやるのにゃ❤,Do you like my plump thighs; nya? Thought so! Then I'll be nyice and wrap you up in my warm body; nya~❤
ほれほれ～❤気持ちいいかにゃ～❤\nにゅふふ、暴れても無駄にゃ。まとわりついた煙は、\n簡単には振り払えないのにゃ❤,There; gotcha~❤ Doesn't that feel good; nya?❤ Nyufufu; there's no point in struggling. With my smoke coiled around you like this; you won't be able to shake me off that easily; nya!❤
ふとももだけ実体化してるから、そこを触ればいいのにゃ❤\nこのむっちりした感触を手で味わって、\nちゃんと抵抗できればだけどにゃあ❤,Since only my thighs are solid; maybe you should try touching there; nya.❤ Let your hands experience the plump softness; and just try to resist; nya~❤
わたしの体におぼれさせてやるのにゃ❤\n抱き着いてふともも攻撃なのにゃ❤,First I'll drown you in my body; nya.❤ I'll cling to you and make you submit to the attack of my thighs; nya~❤
にゅふふ❤こんだけ密着されたら、お前も攻撃できないだろ？\nでもわたしは、お前のチンポを気持ちよくできるのにゃ❤\nふとももに押し付けて、ぱんぱんぱん❤,Nyufufu~❤ You can't attack me when we're this close; canyu? But I can still make your dick feel good; nya~❤ I'll squeeze you tight between my thighs and slap them against yours~❤
にゃはん❤すごく固くなってるのにゃ❤\n勃起したチンポ、わたしのふとももで挟まれてたまらないかにゃあ？\nさっさと精気を吐き出すにゃ❤快楽に負けるにゃあ❤,Nyann~❤ Your dick's getting so hard; nya~❤ Your stiff cock can't stand being between my thighs; can it? Hurry up and spill out your manya.❤ Surrender to the pleasure; nya~❤;
わたしの姿が見えているかにゃ？\n空気に溶け、おぼろげになったわたしのことを\n簡単には捉えれないはずだにゃあ♪,Are you looking fur my body; nya? I can fade into the air; so it won't be easy to catch me; nya~
ほら、いまも抱き着かれるまで反応できなかったにゃ❤\nこんなに密着されたら、逃げることも反撃もできない…❤\nわたしのやりたい放題だにゃ～❤,Watch; even when I wrap around your body; there's nyathing you can do.❤ When I'm this close you can't escape; can't fight back...❤ I can do whatever I want; nya~❤;
にゃはは❤それで抵抗しているつもりかにゃ❤\nお前、わたしのお尻とかおっぱいとか触っているにゃ❤\nそれは見えないからかにゃ？それともわざとかにゃあ❤このスケベ❤,Nyahaha~❤ Are you trying to resist; nya?❤ You keep touching my butt and boobs; nya.❤ Is that because you can't see purroperly? Or maybe... is it on purpose?❤ Purrvert~❤
にゃは❤お前にわたしの姿が捉えられるかにゃあ❤\n時間が経ったわたしは姿を消せる。\n下級のモンスターじゃあ、どこにいるかすら把握できないにゃあ❤,Nyaha~❤ Do you think you can spot me; nya?❤ I can make my entire body disappear with enough time. A low-level monster like you can't even see where I am; canyu?❤
ほら、いまもお前のうしろから、しこしこ♪しこしこ♪\nにゃは、急にチンポ気持ちよくなってびっくりしたにゃ？\nにゅふふ、おもしろい顔にゃあ❤,Like right nyow; I'm actually behind you; close enough to rub your cock; nya. Fap fap~♪ Fap fap~♪ Nyaha; did feeling good all of a sudden surprise you? Nyuhuhu; you made a really funny face; nya~❤
反撃しても、もうそこにわたしはいない、いない❤\n乳首や耳もいっぱいいじめてやるから、\nわけもわからないまま搾り取られるといいにゃあ❤,By the time you counterattack; I won't be there anymore; nya. Gone in the wind~❤ I'll tease your nipples and ears a lot; so I hope you enjoy being milked with your mind in a haze; nya~❤
にゅふふ❤お前、いま不思議な感覚がしているんじゃないかにゃ？\nわたしはここにいるけど、ここにはいない…❤\n下級のモンスターじゃあ、わたしの姿を正確には認識できないのにゃ。,Nyufufu~❤ You're feeling pretty strange right nyow; aren't you? I'm here; but not really here; nya...❤ A low-level monster like you can't even register my appearance.
だから、こうやってチンポ触られても、\nどこから触られているのか把握できないのにゃ❤後ろから？横から？\n前から？分からないけど、ただただチンポは気持ちいいのにゃあ❤,So; even when your penis is being touched; just like this; you can't tell where it's being touched from; nya~❤ From behind? From the side? From the furont? You can't tell. All you knyow is it just feels so good~❤
抵抗もできず、逃げることもできず、\n一方的になぶられるだけ❤\nほらほら、シコってやるからさっさと屈服するのにゃあ❤,Can't resist; can't escape; can't do anything except be pampurred; nya.❤ Come on; it's okay; I'll take good care of you; so just hurry up and give in; nya~❤
時間が経った時点で、お前の負けにゃ❤\n下級モンスターじゃあ、空気に溶け込んだわたしのことを、\nちゃんんと認識できない❤わたしの場所が分からなくなるにゃ。,At this point; you've basically already lost; nya~❤ When I'm hiding in thin air like this; a low-level monster like you can't even see me; canyu?❤ You won't be able to figure out where I am; nya.
だからわたしは好き放題お前に攻撃できるのにゃ❤\nこうやって乳首をこりこりしながら、手コキされても、\nにゃはは、わたしがどこにいるかわからにゃいだろ？,That's why I can do whatever I wannya do to you; nya~❤ Maybe I'll rub your penis while teasing your nipples; like this. Nyahaha; you have no idea where I am; do you?
やわらかい手の感触、わたしの体温、体の匂い…❤\nぜーんぶ分かるのに、わたしがどこにいるかだけわからない❤\n快感に溺れて迷って、わたしの手コキでエナジー吐き出すといいにゃ❤,The feeling of my soft hands; the heat of my body; even my scent...❤ You can feel it all; but you still can't tell where I am; nya.❤ Losing yourself as you drown in pleasure; releasing your energy from my handjob will feel sooo good; nya~❤
わたしの体は霧のように不確かにゃ。\nお前の前にいたと思ったら、いつの間にか後ろにいる…♪\nそれがわたしの存在の仕方というわけにゃ。,My body is as fickle as mist; nya. You might think I'm in furont of you; but before you knyow it; I'll behind you instead...♪ That's just the way I exist; nya.
にゃん？わけがわからない？別にそれでいいにゃ❤\nお前が分かればいいのは、前からチンポなでられたり、後ろから\n玉をもみほぐされたりすると、気持ちいいってことだけにゃ❤,Nya? You don't understand? That's purrfectly fine; nya.❤ All you need to knyow is that it feels good when your cock is stroked from the furont; or when your balls are massaged from behind; nya.❤
予測がつかない責めに、男はみんな骨抜きになる…❤\nシコって、揉んで、先っぽをカリカリして、\nお前もたっぷり喘がせてやるにゃ❤,Men all become putty in my hands when they don't knyow how they'll be pleasured nyext...❤ I'll stroke it; squeeze it; tease the tip; and make you moan plenty; nya~❤
にゃはん❤掴もうとしてもそこにわたしの実体はないにゃ♪\nあいまいな存在であるわたしをお前は捕まえられるかにゃ？,Nyahaan~❤ My physical form is never where you think it is; so there's nyo point in trying to catch me~♪ Do you really think you can catch someone who barely exists; nya?
お前にとってわたしは曖昧でも、わたしにとってお前は曖昧ではない❤\nだからこうやってチンポしこるのも、簡単にできちゃうのにゃ❤,But just because my shape is vague to you; that doesn't mean you're vague to me; nya.❤ You're still purrfectly real; so doing something like this is easy~❤
にゅふふ、肉球手コキ、気持ちいいかにゃあん❤\nぷにぷにした感触で敏感な先っぽを\nいっぱいシコってやるのにゃ❤,Nyufufu; does my pawpad handjob feel good; nyaaa?❤ I'll rub your sensitive tip a bunch with my soft; squishy pads~❤
手コキは好きかにゃ？\nチンポしこられて嫌って男は、そうはいないにゃ❤\nほら、シコシコ❤しゅこしゅこ～❤,You like handjobs; don't you? There aren't many men who wouldn't like being jerked off; nya~❤ Here; rub rub~❤ Stroke stroke~❤
にゃはは❤お前の体は素直だにゃあ❤\n肉球の手でシコられて、腰が簡単に浮いてくるのにゃ❤\n射精したいかにゃ？気持ちいいのに身を任せたいのかにゃ？,Nyahaha~❤ Look how honest your body is; nya.❤ You're just being stroked by my pawpads; but your still thrusting your hips so much~❤ Do you wannya cum? Don't you wannya give in to the pleasure?
上級モンスターの手コキに負けるのは仕方ないと思うにゃー❤\nそんな言い訳があれば気持ちよく負けられるんじゃないかにゃ❤\nにゃはは、シコるの早くしてやるから、さっさと射精するのにゃ❤,It's only natural to lose to an advanced monster's handjob; nya.❤ With that as an excuse; I bet you'll be so happy to cum~❤ Nyahaha; I'll finish you quickly; so hurry up and cum~❤
ほれほれ～❤気持ちいいかにゃ～❤\nにゅふふ、暴れても無駄にゃ。下級モンスターのお前じゃあ、\nわたしの体を捉えることはできないにゃあ❤,Here; here~❤ Doesn't it feel sooo good; nya?❤ Nyufufu; it's useless to struggle. A low-level monster can't possibly touch my body; nya~❤
ふとももに潰されて射精するのはきっと最高だにゃあ❤\nすりつぶすみたいに脚を動かしてやるから、\n気持ちよく負けるといいにゃ❤,Being crushed by my thighs as you cum must be the best; nya~❤ I'll move my legs like I'm grinding you down; so I hope you enjoy losing!❤
にゃ～ん❤攻撃してくるのは怖いにゃあ❤\nだから抱き着いちゃうのにゃあ～❤,Nyaa!❤ Getting attacked is so scary; nya.❤ That's why I hug my enemies nice and tight so they can't~❤
にゅふふ❤こんだけ密着されたら、お前も攻撃できないだろ？\nでもわたしは、お前のチンポを気持ちよくできるのにゃ❤\nふとももに押し付けて、ぐりぐりぐり❤,Nyufufu~❤ You can't attack me when I'm this close; canyu? But I can still make your penis feel good; nya~❤ I'll press my thighs against it and just rub rub rub~❤
にゃはん❤すごく固くなってるのにゃ❤\n勃起したチンポ、わたしのふとももで扱かれたいかにゃ？\nうんって言えば、ぎゅって押しつぶしながらしごいてやるのにゃあ❤,Nyahaan~❤ You've gotten so hard; nya.❤ Don't you want your stiff cock rubbed between my thighs? If you say yes; I'll squeeze and stroke it nice and tight; nya~❤
わたしの姿が見えているかにゃ？\n空気に溶け、おぼろげになったわたしのことを\n下級モンスターのお前じゃあ捉えられないはずにゃ。,Canyu see me? A low-level monster like you shouldn't be able to nyow that I've dissolved into the air and become so faint; nya.
ほら、いまも抱き着かれるまで反応できなかったにゃ❤\nすぐ近くに来られても、逃げることも反撃もできない…❤\nわたしのやりたい放題だにゃ～❤,See; you couldn't even react until I hugged you; nya.❤ No matter how close you get to me; you won't be able to run away or fight back nyow...❤ I can do whatever I want with you; nya~❤
ほれほれ～❤気持ちいいかにゃ～❤\nぎゅって抱きしめられたら、どんどん力が抜けて、\n骨抜きの腰砕けになるのにゃあ❤,Here I go~❤ Doesn't it feel good; nya?❤ Once I hug you tightly like this; you'll slowly lose all your strength and become completely helpless; nya~❤
にゃはん❤すごく固くなってるのにゃ❤\n勃起したチンポ、わたしのふとももで挟まれたいかにゃ？\nうんって言えば、ぎゅって押しつぶしながらしごいてやるのにゃあ❤,Nyahaan~❤ You've gotten so hard; nya.❤ Don't you want your stiff cock rubbed between my thighs? If you say yes; I'll squeeze and stroke it nice and tight; nya~❤
にゃはは❤どうしたのかにゃ？もう我慢できなくて、\nエナジードレインしてくれって頼んじゃうのかにゃ❤,Nyahaha~❤ What's wrong? I guess you can't take it anymore; so nyow your asking me to drain your energy; nya.❤
なっさけないにゃー❤それでも戦士かにゃ？\n怪異なんかに負けないで、チンポ我慢して戦ってみせろにゃ❤\nザコザコ❤弱すぎにゃ❤,How pawthetic; nya~❤ Aren't you still a warrior? You're supposed to resist your enemy and show them what you're made of; not give in.❤ What a weakling; nya~❤ You're way too pawthetic.❤
煙猫のおっぱい攻撃,Grinning Breast Attack
煙猫のふとももコキ,Grinning Thighjob
なんでも,You decide
にゃはは、笑われてるのに「胸で気持ちよくしてぇ」じゃないのにゃ。\nこのヘンタイ❤,Nyahaha; I'm teasing you so much and you're still begging to feel good from my chest; nya! What a purrvert!❤
まあいいにゃ、そんなにおっぱいでイかされたいなら\nたっぷり挟んでやるのにゃ❤\nふわふわおっぱいで天国を味わうのにゃ❤,Well; if you're that despurrate to cum from my breasts; I'll just have to smother you with them; nya!❤ I'll let you taste heaven with my big; fluffy boobs~❤
にゃはは、笑われてるのに「ふとももでしてぇ」じゃないのにゃ。\nこのヘンタイ❤,Nyahaha; I'm teasing you so much and you're still begging to feel good from my thighs; nya! What a purrvert!❤
そんなに抱き着かれながら精気を吸われたいのにゃら、\nさっさと搾りつくしてやるにゃ❤\n煙で作ったむちむちのふとももでバカみたいに果てるといいにゃ❤,Well; if you're that despurrate to have your life drained from one of my hugs; I'll squeeze you dry nyice and quick~❤ Going crazy and losing yourself between my plump thighs made of smoke will feel so good; nya~❤
にゃはは、笑われてるのに「手で触ってください」じゃないのにゃ。\nこのヘンタイ❤,Nyahaha; I'm teasing you so much and you're still begging me to stroke your penis for you. What a purrvert!❤
まあいいにゃ、そんなに肉球ハンドでいじめてほしいなら、\nたっぷりしごいてやるのにゃ❤\nわたしにされるがままさっさとエナジー吐き出すといいにゃ❤,Well; if you wannya be teased by my paws that much; I'll happily give you a thorough rubbing; nya.❤ Just lay back; let me do whatever I want; and release your energy quick; nya~❤
にゃはん❤チンポ簡単に屈服したにゃ❤\n流石は自分から負けちゃう雑魚野郎にゃ❤\n手でしこしこされてそんなに気持ちよかったにゃ？,Nyahan~❤ Your penis gave in so quick; nya~❤ Just what I'd expect from a loser who'd surrender so easily.❤ Did being stroked by my paw feel too good for you; nya?
にゃはん❤ふとももがあっついにゃ❤\nほら、むぎゅうって潰してやれば、もっと中身が出てくるにゃ❤,Nyahan~❤ My thighs are all hot and sticky; nya~❤ I bet if you I squeezed your penis tight more of your filling will come out; nya.❤
エナジー全部寄越すにゃ❤ぎゅうぎゅうぎゅう♪\nにゃはは❤気持ちよすぎて止まらないみたいだにゃあ❤,Give all your energy to me; nya.❤ Squeeze; squeeze; squeeze~♪ Nyahaha~❤ Looks like it feels too good for you to stop cumming; nya~❤
あっ、ああっ・・・。,Ah; ahh...
にゃはは、何をやっているのかにゃ❤\n試合もまだ途中だというのに、シコシコし始めたのにゃ❤,Nyahaha; what are you doing?❤ We're in the middle of a match and here you are starting to stroke yourself; nya~❤
自分でチンポ触って、気持ちよさそうだにゃあ❤\nわたしの煙の体を吸い込んで、\n頭がトリップしているのかにゃ？顔がだらしないにゃ❤,It looks like you're enjoying stroking your cock like that; nya.❤ Did inhaling my smoky body make your head all fuzzy? Your face has gone all slack; nya~❤
お前がそのまま理性を取り戻さないように、\nもっともっと吸わせてやるのにゃ❤\nふぅーー❤,Here; I'll make you breathe even more; and make sure you don't get your sanity back; nya~❤ Phew~~❤
あふぅっ❤あっ❤ああっ❤❤,Ahh...❤ Ahh!❤ Ahh!❤❤
にゃははは、全力でしごいてカッコ悪いのにゃ❤\n鼻をスンスンさせてフェロモンを吸いこんで\n間抜けってのはこういうやつを言うのにゃ❤,Nyahaha; you're really giving it your all! You look so uncool; nya.❤ Sniffing around and inhaling my pheromones like that is purrety foolish; nya~❤
ほれ、さっさとイくといいにゃ❤\nとどめのフェロモンをそっちに送ってやるから、\n思いっきり吸って、しこしこ射精しろ❤ふぅー・・・❤,Here; I'll make sure you hurry up and finish.❤ I'll send you one last round of pheromones; so breathe them in deeply and cum hard for me; nya~❤ Phew~~❤
にゃはん❤楽勝だったのにゃん❤\n魔力を奪われたのにそんな幸せそうな顔をして、\n完全にわたしの煙の虜だにゃん❤,Nyahan~❤ Beating you was so easy.❤ You look so happy; even though I just stole a bunch of your magic; nya. You're completely captivated by my smoke; aren't you?❤
すべての生き物は猫に尽くすために生きているのにゃん❤\nほかのやつらもわたしに精気を貢ぎに来るかにゃん？\nにゃははは❤,All living beings exist to serve us cats; nya.❤ Any others wannya offer their life force to me; too? Nyahaha~❤
にゃはは、お前もわたしを吸いたいのかにゃん？\n試合もまだ途中だというのにシコシコして、\n勝手にはぁはぁしてるのにゃん❤,Nyahaha; do you wannya breathe me in; too? We're in the middle of a match; but you started rubbing yourself all on your own; panting in such a purrfect display~❤
お前の脳ももっとバカにしてやるのにゃん❤\nわたしの煙を存分に吸うといいにゃん❤\nふぅー・・・❤,I'll make that head of yours even dumber; nya.❤ Enjoy my smoke to your heart's content~❤ Phew~~❤
吸えば吸うほど、頭がまっしろになって気持ちよくなる、\nわたしの特製フェロモンにゃ❤\n肺から全身に回ってあっという間にトリップだにゃ❤,The more you inhale my special pheromones; the more your head goes blank and the better you feel; nya~❤ With how fast it spreads from your lungs to the rest of you; you'll be supurr high in no time; nya!❤
お前もバカみたいにアヘアへしながら、\nチンポしごいているにゃ❤\nそれ、闘技場でしていい顔じゃないと思うにゃ❤にゃははは❤,You're drooling and stroking your cock just like that other fool; nya~❤ I don't think that's a face you should be making in the arena; you knyow.❤ Nyahaha~❤
ほれ、間抜けな中毒者は、さっさとイくといいにゃ❤\nとどめのフェロモンをそっちに送ってやるから、\n思いっきり吸って、しこしこ射精しろにゃ❤ざーこ❤,Hey; hurry up and cum; you hopeless addict~❤ I'll send you one last round of pheromones; so breathe them in deeply and cum hard for me; nya~❤ Loser~❤
にゃはん❤またもや楽勝だったのにゃん❤\n勝手にどんどん自滅して、男はバカばかりなのにゃ❤,Nyan!❤ Another easy win!❤ These men are such idiots; they keep defeating themselves for me; nya~❤
すべての生き物は猫に尽くすために生きているのにゃん❤\nほかのやつらもわたしに精気を貢ぎに来るかにゃん？,All living beings exist to serve us cats; nya.❤ Any others wannya offer their life force to me; too?
うぐ、想像以上に強いのにゃ。\nそろそろ煙の実体を保てなくなりそうなのにゃ。,Ugh; you're a lot stronger than I expected; nya. It seems like I won't be able to maintain my smoke form fur much longer...
お前はいいのかにゃ？わたしの体はどこも一級品にゃ❤\nこの大きく膨らんだおっぱいも❤\nむっちりチンポに吸い付くふとももも❤全部とびきりエロいのにゃ❤,Are you okay with that? My body is so amazing all over; nya.❤ These big; swollen breasts...❤ Thighs purrfect for clinging to a thick cock...❤ Every part of me is just so erotic; nya~❤
それだけじゃないにゃ❤\nわたしの体の煙を吸うと、男は頭がトリップして、\nものすごく感度が上がってしまうのにゃ❤,That's not all; nya.❤ When a man inhales the smoke from my body; his mind trips out; and he gets supurr sensitive to stimulation; nya.❤
お前もさっき戦ったときに少し吸っているはずにゃ❤\nほら、だんだん効いてきた・・・❤,You must have inhaled a little when we fought earlier too; nya.❤ Look; it's starting to take effect...❤
にゃはは❤わたしのことがさっきより魅力的に見えるかにゃ？\n視線が熱っぽいのにゃ❤,Nyahaha!❤ Well? Do I look even cuter than before? Your gaze is getting so heated; nya~❤
そのままうっとり眺めてるといいにゃ❤\nお前の顔を胸に挟んで、もっとフェロモン漬けにしてやるのにゃ❤,Just keep gazing at me all meowsmerized like that; nya.❤ I'll press your face between my breasts and drown you in my purrfect pheromones~❤
理性をふりしぼってとどめを刺した,I gathered all my reason and delivered the final blow.
体を動かせなかった,'My head... feels funny...'
ぎゃう！ぐぬぬ、フェロモンに抗うとは生意気だにゃあ・・・。,Gyah! Grrr; resisting my pheromones is so cheeky...
にゃはは❤しょせん男なんてこんなもんにゃ❤\nうり、わたしのおっぱいにおぼれろだにゃ❤,Nyahaha~❤ In the end; all men are so easy; nya.❤ Nyow; I'll drown you in my breasts; nya~❤
はふぅうっ❤あっ、ああっ❤❤,Hahh...❤ Ah; ahh...❤❤
くすくす❤一発で蕩け顔にゃ❤\n柔らかい感触と甘いフェロモンが気持ちよすぎて\n脳が幸福感で壊れてしまうのにゃ❤,*Giggle*❤ Your face melted with just a touch.❤ The soft feel of my breasts and their sweet pheromones feel so good your brain is breaking from the pleasure; nya~❤
さっきまでの強いお前はどこに行ったのかにゃ？\nおっぱいにあうあう言うことしかできないのかにゃ？\nほれほれ、ぱふぱふぱふ～❤,Where'd all that strength from earlier go; nya? Is moaning and mewing and begging for my boobs all you can do nyow? Here; here; pawff pawff pawff~❤
にゃはは❤くたぁって腕を垂らして、\n敵のおっぱいに甘えちゃってるのにゃ❤,Nyahaha~❤ You're just snuggling up to the enemy's breasts; all limp and useless; nya.❤
こうなった男に勝ち目なんてないにゃ❤\nあとは精気を吸われてわたしの糧になるだけなのにゃあ❤,A man in your condition has nyo chance of winning! All you can do is have your life force drained and become my nourishment; nya~❤
さっさとおっぱいに逆転負けされるといいにゃ❤\nうりうり❤お前の精気、わたしに寄越すのにゃ❤,So do me a favor and lose to my breasts fast; nya.❤ Rub rub rub~❤ Surrender your life force to me; nya~❤
にゃはん❤脚にこんなにかかったのにゃ❤\nうまい精気、ごちそうさまなのにゃ❤,Nyanha~❤ You covered my legs in your cum; nya~❤ Your life is so delicious... Thank you for the meal; nya!❤
あと少しでわたしに勝てたのににゃあ❤\n煙をたっぷり吸わされてたまらにゃかったか？\n男の理性なんてもろいもんだにゃ～❤,You were so close to beating me; you knyow.❤ But my smoke was too much to resist; wasn't it? A man's will is such a fragile thing; nya~❤
にゃはは❤自分でしごいて負けるとかバカなのにゃ❤\nそんなんでよくCランクまでこれたものにゃ❤,Nyahaha!❤ Stroking yourself to exhaustion is such a stupid way to lose; nya!❤ How'd someone like you ever make it to C-rank?❤
わたしの巨乳は気持ちよかったかにゃ？\nチンポすりつぶされて瞬殺だったにゃあ❤,Did my big breasts feel too good to resist; nya? You lost as soon as I crushed your penis between them~❤
フェロモンたっぷりの胸に顔を埋めて、\n耐えられるわけがないにゃ❤\n負けたのに幸せそうに蕩けて、間抜け丸出しなのにゃ❤にゃははは❤,Once your face was buried in my pheromone-rich chest; there's nyo way you could resist; nya~❤ You looked so happy and silly; even though you lost; nya~❤ Nyahaha!❤
わたしに抱き着かれて、簡単にイかされちゃったにゃ❤\n男なんてやっぱりチョロいにゃあ❤\nふとももまんこは気持ちよかったかにゃ？ザコ人間❤,You came so easily from just a hug!❤ Men are just so easy; nya~❤ Did my thighs really feel that good; nya? What a weak human~❤
{自分プレイヤー}の使う女性モンスターに敗れた僕は、エナジーを奪われ膝をついて動けなくなっていた。,Having been defeated by the female monster used by {自分プレイヤー} and with my energy drained; I was left kneeling on the coliseum floor; unable to move.
にゃあん❤お前、ずいぶんとおいしい精気だにゃあ❤\n弱っちいけど、いい魔力をしてるのにゃ❤,Nyaa~❤ Your life force was really tasty!❤ You might be weak; but your magical energy supurr good; nya~❤
もっともっとお前の精気を寄越すのにゃ❤\nどうやって搾り取ってほしいかにゃ？\n希望を言えば、そのやり方で搾ってやるのにゃ❤,I want you to offer me more and more of your life force; nya.❤ How do you want me to squeeze it out? I'll be happy to milk you want. You just have to tell me; nya~❤
おっぱい,Breasts
ふともも,Thighs
答えない,Say nothing
にゃははは❤そうか、この胸で気持ちよくしてほしいかにゃ❤\n連勝中のルーキーさまは、ただのおっぱいマゾだったみたいだにゃあ❤,Nyahaha!❤ I gotcha. You want me to make you feel good with my breasts; don't you?❤ It seems that the undefeated rookie is really just a boobie-addicted masochist; nya~❤
んー？こんな風に言われたら悔しいのかにゃ？\n顔を真っ赤にして手をぷるぷるさせて・・・❤,Hmm? Does hearing it said out loud like that make you furrustrated; nya? Your face got all red and your hands are trembling...❤
それなら、やめるかにゃ？\nおっぱいでズリズリってお前のチンポをいじめて、\nたっぷり精気を吸い取ってやろうかと思ったのににゃ❤,Should I stop then; nya? I was thinking of teasing your penis with my breasts and sucking out all your energy; but if that's how you feel...❤
ううっ・・・❤,Ugh...❤
おねがい、します・・・❤\nおっぱいで気持ちよくして、ください・・・❤,P-please...❤ Please make me feel good with your breasts...❤
にゃはは♪\n気持ちよくなるためならプライドも捨てるのかにゃ❤\n男ってほんとバカだにゃあ❤,Nyahaha~♪ You'll throw away anything; even your pride; if it means feeling good.❤ Men really are stupid; nya~❤
ほれ、お前のチンポに極楽を味合わせてやるにゃ❤\n精気をどんどんわたしに寄越せなのにゃ❤,Here; I'll let your penis experience paradise.❤ Offer me more and more of you life force; nya~❤
胸でむにゅうって挟んで、そこからパイズリスタートなのにゃ❤\nうりうりうり～❤,I'll squeeze you with my chest and give you a pawzuri; nya~❤ Rub rub rub~❤
はひぃっ、あっ、ああっ、きもちいいっ❤,Hah; ah; ahh... So good...❤
