default
パトラ,Patra
スリットから見えるわたしの脚、きれいでしょ？\nここでペニスを挟んであげると、みんなすぐにイっちゃうの。,My legs are visible through the slit in my outfit. Aren't they beautiful? Whenever I squeeze a man's penis with them; he always ends up cumming right away.
たいていの相手は\nわざわざそんなことして上げる必要もないのだけれど\nあなたには特別。さあ、ふとももでイかせてあげるわね。,I don't usually bother to do this for most my opponents; but you're special. Come on; I'll make you come with my thighs; okay?
ふとももでペニスを絡み取ってあげる。ほら・・・❤,I'll wrap my thighs around your penis. Like this...❤
くすくす❤捕まっちゃったわね。\nさあこのまま白旗あげるまでふとももの間でしごいてあげるわ❤,*Giggle*❤ Looks like I've caught you; huh? Now that I have you; I'll keep squeezing you between my thighs until you wave your white flag~❤
蛇の締め付ける力は相当強いのよ？わたしの脚の力もそう・・・❤\nふとももでぎゅっと挟んであげれば、脱出なんてできないわ。,A snake's constriction power is quite strong; you know? The strength of my legs is no different...❤ Once I squeeze you tightly between my thighs; you won't be able to escape.
むっちりしてペニスに絡みついてきて感触はしっかり天国でしょ？\nほらほらほら、前後に扱いてあげるから、\n脚に捕まえられたまま射精してしまいなさい❤,The way my plump thighs wrap around your penis is simply heavenly; isn't it? Here; next I'll start stroking you just like this; so go ahead and cum while you're trapped by my legs~❤
たいていの相手は\nわざわざそんなことして上げる必要もないのだけれど、\nあなたには特別。さあ、ふとももでイかせてあげるわね。,I don't need to go this far against most opponents; but you're special. Come here; I'll make you come between my thighs; okay?
うふふ、お尻であなたのペニス押しつぶしちゃう。ほら・・・❤,Ufufu; I'll crush your penis with my butt. Here I go...❤
このポーズで体をくねくねされたらたまらないでしょ？\n骨抜きになりなさい❤,Don't you find it just irresistible when I twist my body into a pose like this? Become completely captivated~❤
どうかしら、わたしのお尻❤\n張りがあって気持ちいいと思うのだけれど♪,How do you like my butt?❤ It's so nice and firm; don't you think?♪
ふふ、固くなったペニスが押し返してきてる。\n手でお尻をさわってもいいのよ。とろけている間にイかせてあげる❤,Fufu; I can feel your hardening member pushing into me. You can touch my butt if you want. I'll make you melt with pleasure until you cum~❤
ふところに潜り込まれちゃったわね。\nほら、お尻でイイことしてあげる…❤,You've snuck into my kimono; haven't you? Here; I'll use my butt to do something nice for you...❤
ペニスをむちむちのお尻で刺激されるのはどうかしら？\n抵抗するのも忘れちゃうぐらい気持ちいい？くすくす❤,How do you like being stimulated by my plump rear? Is it so good that you forget to resist? *Giggle*❤
あらお尻を押し付けられただけなのに、もうガチガチね❤\n固くて大きくてびっくりしちゃう❤,Oh; you've already gotten so aroused from just having my butt pressed against you.❤ It's so much bigger and harder than I was expecting~❤
わたしのお尻の感触はどうかしら？\nあなたのペニスに負けないぐらい大きくて、\nでも意外とやわらかいでしょ？このまま腰を上下に動かせば・・・♪,How does my butt feel? It's big enough for your penis and; but surprisingly soft; don't you think? If I keep moving my hips up and down like this...♪
ふふ、かわいい声が漏れているわね。\n気持ちよくて膝が震えちゃう？へたりこんでもいいのよ。\nそのときは、上から押しつぶしてあげる❤,Fufu; you're letting out such cute noises. Does it feel so good that your knees are trembling? It's okay if you collapse. If you do; I'll just crush you from above~❤
ふふふ、わたしに攻撃してほしいの？\nせっかく昇格戦に手が届きそうなのに、自分から降参しちゃうのね❤\nもったいない❤,Fufufu; are you just wanting me to attack you now? Despite being so close to promotion; you're just going to give up on your own; huh?❤ What a waste~❤
それも最初のターンでそんなお願いをしちゃうなんて。\nくすくす❤そんなにわたしの脚は魅力的だったかしら❤,To ask for something like that on the very first turn. *Giggle*❤ Were my legs really that enticing?❤
わたしのスリットから見えるこの美脚、\n視界にチラチラして我慢できなくなってしまったのかしら❤,Were the short glimpses of my beautiful legs through the slits in my dress so distracting that you couldn't help but stare?❤
ねえ、どうやってイかされたい？\nお尻でつぶされながら扱いてほしい？\nそれとも脚をからみつけられたい？選んでいいわよ❤,Well then; how would you like me to make you cum? Do you want to be taken care of while being crushed by my butt? Or would you prefer to have my legs wrapped around you? I'll let you decide~❤
くすくす❤マスターの大事な昇格戦がかかったこの試合、\nまさか手下のモンスターがおねだりに来るだなんて❤,Considering how important this promotion match is for your master; I'm surprised to see you begging.❤
目線は正直ね。スリットから覗くこの脚が気になるのでしょう？\nわたしの脚、きれいだものね❤,Your eyes are so honest. You're curious about my legs peeking through the slits in my dress; aren't you? They're beautiful; don't you think?❤
骨抜きの尻コキ,Weakening Assjob
締めつける蛇脚,Snake-like Leg Squeeze
なんでも,You decide
そう、お尻で気持ちよくなりたいの❤,So; you want to make you cum with my butt.❤
わたしの武術で整えたこのヒップライン、たっぷり堪能なさい❤\n蛇のように体をくねらせてあなたを腰砕けにしてあげる❤,Then I'll let you enjoy this perfectly-toned hip line I've sculpted through martial arts to your heart's content.❤ I'll writhe my body against you like a snake and make your knees weak~❤
そう、ふとももで締め上げられたいの❤,So; you want to be squeezed tight by my thighs.❤
一度絡みついたら射精するまで離さない、わたしのふともも❤\nたっぷり堪能しなさい❤,Once I wrap my thighs around you; I won't let go until you cum.❤ So enjoy them to the fullest~❤
ふふふ、わたしに攻撃してほしいの？\n闘技場では強かったのに、今日は自分から降参しちゃうのね❤,Fufufu; you want me to attack you? You were so strong in the arena; but looks like today you're surrendering all on your own.❤
くすくす❤まさか手下のモンスターがおねだりに来るだなんて❤\n目線は正直ね。スリットから覗くこの脚が気になるのでしょう？\nわたしの脚、きれいだものね❤,*Giggle*❤ I never expected one of the rookie's servants to come begging like this.❤ Your eyes are so honest. You're curious about these legs peeking through the slits in my dress; aren't you? My legs are beautiful; don't you think?❤
くす❤お尻の裏でどくどく脈打ってる❤\nほら、全部出し切れるように、ぎゅうって潰してあげる❤,*Giggle*❤ I can feel you throbbing against the underside of my butt.❤ Here; I'll squeeze you tight; so go ahead and release it all for me~❤
押されて残った分がどろっと出てきたわ。\nあら、ずいぶん幸せそうな顔ね❤\n女の尻につぶされてるのに喜んで、なんて情けないのかしら❤,The rest came out with a thick splash when I pressed down. My; what a happy face you're making~❤ You must really have enjoyed being crushed by a woman's ass. How pathetic~❤
くす❤蛇のようにしめつける脚は最高だったでしょう？\nチンポもまだふとももの中で膨らんでる❤\nこのしめつけがすっかり癖になってしまったみたいね❤,*Giggle*❤ Having my legs squeeze you like a serpent felt amazing; didn't it? I can still feel your cock swelling between my thighs.❤ Looks like you've become completely addicted to my tight grip~❤
あら、逃げないの？脚とかお尻とか好きだから逃げられないんだ？,Oh; you're not going to try and run away? Is it because you love legs and butts too much to want to escape?
始まったばかりなのに、もう敵のマスターにメロメロ❤\nこのまま搾り取ってあげるわ❤,The battle's just begun; yet you've already fallen head-over-heels for the enemy master.❤ In that case; I'll milk you dry just like this~❤
それなら追い討ちしてあげる。ほら・・・❤,Then I'll finish you off. Watch...❤
くすくす、イクの？カードを一枚も使わないまま負けちゃうの？\nあはっ❤,*Giggle* Are you cumming? Are you really going to lose without using a single card? Ahaa~❤
ほら、もう終りね。イキなさい❤,In that case; I'll end it now. Cum for me~❤
あら、まだ逃げられる理性があったんだ…。\nお尻ですりすりするたびにあんなに幸せそうな顔をしてたのに❤,Oh; so you still had enough willpower left to escape... But you had such a blissful expression every time I rubbed my butt against you~❤
そんなガチガチになったら、もうあとは射精して負けるだけ。\n自分の欲望に素直になったほうが幸せよ？くすくす❤,When you're this hard; all that's left is to ejaculate and lose. Wouldn't it be better to just be honest with your desires? *Giggle*❤
きゃっ、もう乱暴ね。そんな風に引きはがさなくてもいいじゃない。,Kyaa; you're being so rough. There's no need to pull away so violently.
お尻で射精するの気持ちいいわよ？今からでも思いなおさない？,Don't you think it'd feel so good to cum against my butt? Won't you reconsider before it's too late?
ほら、くねくね動いて擦ってあげる❤,Look; I'll wiggle and rub against you.❤
蛇に捕まったら獲物は逃げられないの。あなたの場合は自分から逃げないみたいだけど❤,Once caught by a snake; prey has no hope of escape. Though in your case; it seems you wouldn't try to escape if you could.❤
だんだん顔がとろけてきた…❤うっとりするほど気持ちいいの？,Your face is starting to melt...❤ Have you been entranced by the pleasure?
お尻でぎゅって潰されて、頭がしびれてきちゃうわよね。くすくす❤,When squeezed tight by my butt; your head starts to go numb; doesn't it? *Giggle*❤
負けたいのなら負けていいのよ❤また次の試合を頑張りなさい❤,If you want to lose; then you should just go ahead and do it.❤ You can always try harder in the next match.❤
負けたいのなら負けていいのよ❤マスターのことなんて忘れさせてあげる❤,If you want to lose; then you should just go ahead and do it.❤ I'll make you forget all about that master of yours~❤
気持ちよさそうな声が漏れているわね。ふふふ、どれだけ耐えられるかしら。,I can hear those pleasure-filled sounds escaping your lips. Fufu; I wonder how long you can hold out.
頑張って振り払わないと負けちゃう❤でも、力が入らないのよね❤,You need to try harder to break free or you'll lose.❤ But you can't seem to muster any strength; can you?❤
快楽に絡めとられて敗北へ一直線❤あなたのペニス、射精したくて震えているわ。,Caught in pleasure and heading straight for defeat.❤ Your penis is trembling; desperate to let it all out.
顎をなでられてうっとりしているの？子犬みたいね。かわいい❤,Are you feeling entranced by having your chin stroked like a good little puppy? So cute~❤
髪の毛のにおい嗅いでいるのね。わたしの体、いいにおいする？くすくす❤,You're burying your nose in my hair; aren't you? Do I smell good? *Giggle*❤
射精すれば試合は終わり。お尻がどれだけ気持ちよくてもがんばって我慢しなさい❤,Once you ejaculate; the match is over. No matter how good my butt feels; you better resist~❤
わたしに負けなさい❤快楽におぼれて試合なんて捨ててしまうの。,Surrender to me~❤ Throw away all your worries about the match and just drown in pleasure.
あなたが射精してもマスターや他のモンスターが頑張るわ。だから我慢する必要なんてないの。,Even if you give in; your Master and his allies will still do their best. So there's no need to hold back
わたしに負けなさい❤快楽におぼれてマスターの命令なんて忘れてしまうの。,Surrender to me~❤ Lose yourself to the pleasure and forget all about your master's orders.
負けたいのなら負けていいのよ❤また次のバトルを頑張りなさい❤,If you want to lose; it's okay~❤ You can always try harder in the next battle.❤
射精すれば勝負は終わり。お尻がどれだけ気持ちよくてもがんばって我慢しなさい❤,The moment you ejaculate; the battle is over. No matter how good my butt feels; you have to resist.❤
