default
サムライガール,Samurai Girl
ふっ、敵に向かって快楽をねだるとは、見果てた根性でござる❤,You have some nerve to beg your enemies for pleasure.❤
拙者にどんな風に気持ちよくされたいか、\nちゃんと声に出して言うでござる❤\nそうすれば、願いを聞いてやってもいいでござるよ❤,Tell me exactly what you want. Say it out loud.❤ If you do; then I shall make it happen.❤
サムライのやわらかパイズリ,Samurai Girl's Soft Titjob
サムライの手技,Samurai Girl's Hand Technique
なんでも,Anything
拙者の胸に挟まれたいと申すか❤\nあはは、そこまで大きな声で頼まれれば悪い気はせぬでござる❤\n張りのある胸で挟んで天国を見せてやるでござるよ❤,You want to be sandwiched between my breasts; haha!❤ If you're asking for it that loudly then don't regret it later.❤ I shall make you feel like you're in heaven by sandwiching it snuggly between my breasts.❤
拙者の手さばきで果てたいと申すか❤\nくすくす❤そこまで大きな声で頼まれれば悪い気はせぬでござる❤\n腰が抜けるほどしごいてやるでござるよ❤,Do you wish to be brought to the edge by my hand techniques?❤\nTeehee.❤ Requesting in such a loud voice doesn't make me feel bad at all.❤\nI shall stroke you until your hips give out.❤
おっと、谷間からこぼれそうな勢いで出ているでござる❤\nあっけなく果ておって、女の胸に負ける癖がつかぬとよいでござるな❤,Oh; it's almost spilling out of my cleavage.❤ I hope you don't get into the habit of losing to a woman's breasts.❤
くく、勢いよく出てきたでござる❤\n少ししこしこしただけで、促されるがままに射精❤\n童貞のいちもつは扱いやすいでござるな❤,I just rubbed it a little and you came without any warning.❤ Virgins like you are too easy to take care of.❤
ふふ、もう限界でござるか？, Haha; you've reached your limit; haven't you?
拙者の胸で果てたければいつでも出していいでござるよ。エッチな攻撃に負ける気持ちよさ、おぬしも味わいたいであろう？,Whenever you wish to release; you're welcome to do so in my breasts. You must be eager to experience the pleasure of falling to a lewd attack; aren't you?
おやおや、拙者の胸で何度もしごかれて、そろそろ我慢できなくなってきたようでござる。,Oh dear; it seems that you've been squeezed by my breasts so many times that you're about to cum. You can't take any more.
もう抵抗などやめて、そのままじっとしておれ❤すぐに気持ちよく終わらせてやるでござる❤,Stop resisting and just hold still.❤I shall finish you off nice and quickly; I promise.❤
そろそろ我慢も限界でござるか？,You're about to cum; aren't you?
いいでござるよ。さっさと負けてしまっても。きっと拙者の谷間で出すのは、とろけるぐらいに気持ちいいでござる❤,It's okay to cum quickly. I'm sure it shall feel so good to cum in my cleavage that your mind will melt.❤
くっ、やるでござるな。\nこのままでは負けてしまうでござる…。,Damn; he's going to end me. I shall lose at this rate; if I don't do something....
そうだ、こういうのはどうでござるか？\nほら…。,Oh; I can do something like this; right? Here....
拙者の胸、なかなか立派でござろう？\nおぬしさえよければ、これで挟んで、\n最後までイかせてやるでござるよ？,My breasts are quite magnificent; aren't they? If you'd like; shall I squeeze you with them until you cum?
さっきから手や胸でいじられて、おぬしも限界であろう。\n柔らかい胸にしごかれて、気持ちよく負けてしまいたくはないか？,You must be at your limit after being teased with my hands and breasts for so long. Don't you want to be squeezed by my soft breasts and lose while feeling amazing?
ほら、そこに寝ころべ。\n拙者が上から胸を押し付けてやるでござる…❤,Now; go ahead and lie down over there. I'll press my breasts against you from above...❤
がまんできず武器を捨ててしまった,Throw away your weapon; unable to resist
誘惑を無視してとどめを刺した,Ignore the temptation and deliver the final blow
ぬう、意外と頑張るでござるなぁ。,You're surprisingly tough.
ふふ。そうかそうか、\n拙者にパイズリしてほしいでござるか❤,Fufu. I see. So you really do want me to give you a titjob.❤
なら、望み通り…❤えい。,Then you shall get what you wish for...❤
はうぅう❤,Haaaaaa...❤
素っ頓狂な声をあげおって❤\nガチガチになったいちもつを、\n胸で圧迫されるのが、そんなによかったか？,You're incredibly loud.❤ Does it feel that good to have your hard dick squeezed between my breasts?
たがだか押し付けられただけでその調子では、\nこの先持たんぞ？\nほら、前後に動かせば…❤,But if I keep going; you're not going to last much longer. Look; I'll move back and forth...❤
どうだ、比べ物にならぬほど気持ちいいでござろう？,So; doesn't it feel good beyond compare?
おぬしは自分の精神力と魔力によって、\n相手の攻撃から身を守るバリアを体にまとっておる。,You have a barrier around your body that protects you from attacks both physical and magical.
おぬしらはマスターの加護のもと、\n相手の攻撃から身を守るバリアを体にまとっておる。,You have a barrier on your body that protects you from attacks; given to you by the blessing of your Master.
しかし、快楽に身を任せてしまえば、\nそのバリアは消え、受ける快感は何倍にもなるのだ。\nそれこそ、軽い胸の動きだけで頭を真っ白に染めてしまうほどに…❤,However; once you give into pleasure; that barrier disappears and the pleasure you receive is much greater than before.
これが女モンスターが与える本来の気持ちよさ❤\nどうだ？たまらんでござろう？,This is truly what a female monster is capable of. ❤ Isn't it irresistible?
はひっ、ああっ❤❤❤,Hahh; haah...❤❤❤❤
くく、あんまり焦らしてもかわいそうでござるな。\nそろそろとどめをさしてやるでござる。,Kuku; sorry for drawing this out so long. I shall finish you off now.
ぎゅーっと胸で包み込みながら、\n激しく何度もピストンさせる。\nこれに耐えられる男はおらぬ❤, I shall wrap my breasts tightly around you and jiggle them quickly. No man can withstand it.❤
ほら、行くぞ？気持ちよく果ててしまえ❤雑魚マスター❤,About to cum; huh? Go ahead and cum then!❤ Small Fry Master.❤
ほら、行くぞ？気持ちよく果ててしまえ❤雑魚モンスター❤,About to cum; huh? Go ahead and cum then!❤ Small Fry Monster.❤
んっ、出てる、出てる❤\nおぬしのエナジーがたっぷり拙者に流れ込んでくるでござる❤,Hnn~ That's it~ It's all coming out now~❤ I can feel your energy flowing into me~❤
拙者より強い上級モンスターなのに、\n誘惑に負けてこの体たらく❤\nクク、無様でござるなぁ❤,You're a higher level monster who's stronger than I am; yet you've been tempted and driven into a corner.❤Kuku; you're pathetic.❤
あとちょっとで勝てるところを性欲に負けて敗北❤\nそのうえ敵を回復させて…。,You almost won; but your lust stopped you.❤ And now you've let your enemy recover....
幸せそうな顔でビクビクしている場合ではないでござるよ？\nクク、無様でござるなぁ❤,You can't be be upset with such a happy look on your face; can you? Kuku; you're so pathetic.❤
ううっ・・・。,Ugh...
こらこら。どうして自らしごいているのでござるか？\nまったく大事な練習試合だというのに...。,Hey; hey; hey. Why are you touching yourself? This is an important practice match...
拙者の胸に見とれて、一心不乱にしごきおって❤\n童貞マスターにはエッチな攻撃は刺激が強かったようでござる❤, You're so fascinated with my breasts that you started squeezing yourself quite vigorously.❤ The naughty attacks were too much for a virgin master it seems.❤
拙者の胸に見とれて、一心不乱にしごきおって❤\n童貞モンスターにはエッチな攻撃は刺激が強かったようでござる❤,You're so fascinated with my breasts that you started squeezing yourself quite vigorously.❤ The naughty attacks were too much for a virgin monster it seems.❤
まあ一発抜けば少しは冷静になれるかもしれぬ。\nほれ、見ててやるからしごいてよいでござるよ❤,Well; maybe if you masturbate you shall be a bit calmer. I shall watch you as you touch yourself.❤
あううっ・・・。,Ahhhh...
ふふ。気持ちよさそうにゆるんだ顔でござるな❤\n自分でしごいたこともほとんどないのであろう？,Haha... Your face looks slack with pleasure; doesn't it?❤ I bet you've barely ever touched yourself before; haven't you?
手を上下に動かして、しこしこ、しこしこ……❤\n慣れぬなりに一生懸命に自慰しているでござる。,You shall move your hand up and down and stoke; stroke; stroke...❤ You're jerking off as hard as you can; I'm sure you're not used to it.
おっと、もうそろそろ限界でござるか？\nしごき始めたばかりだというのに、ずいぶんと早いでござる。,Oh; are you already about to cum? You're pretty quick to cum after having just started stroking yourself.
せっかくだ、最後にいいものを見せてやるでござる❤\nほれ……。,While I'm here; I'll show you one more good thing.❤Look...
はううっ❤あっ、ああっ❤,Haaaaahhhh❤ Oh; oooh❤
くくく❤みっともない顔でござるなぁ❤\n拙者の胸をオカズにさっさと逝くでござる。変態❤,You look embarrassing.❤ You shall cum jerking off to my breasts; pervert.❤
んっ…❤濃い精でござるな。\nエナジーがたっぷり溶け込んでいるでござる。,Such thick semen...❤It's full of energy.
敵のモンスターに魔力を渡せば回復される。\nこれぐらい常識でござるよ。次からは気をつけよ。童貞マスター❤,If you give your energy to enemy monsters; they shall recover. This is just common sense. Be more careful next time; Virgin Master❤
こらこら。言ったそばから、\nなぜもう一回自らしごきに来ておるのでござるか。,Hey; hey; hey. Why are you masturbating in front of me once again after I told you that you shouldn't?
まったく、オナニーを覚えたばかりの男は猿と同じでござる。\nチンポをしごくことしか考えられぬらしい。,Truly; men who have just learned how to masturbate are but wild monkeys. They can think of little else than rubbing their own dicks.
やめたほうがいい、と言っても止まらぬのであろう？\n仕方ないでござるなぁ・・・。,I've warned you that you should stop; yet that isn't enough; is it? I suppose you can't help it...
ほら、拙者の胸を見せてやるでござる。\nこれをオカズにしてさっさとイくでござるよ❤,Look; I shall show you my breasts. This will surely make you cum quickly.❤
はううっ・・・❤,Hahhhh...❤
くく、しごく速度がずいぶんと上がったでござるなぁ❤\n勝負を捨てた代わりに得たおっぱい、\n今のうちにしっかり目に焼き付けておくでござるよ。,You've begun stroking much faster; haven't you?❤ Keep your eyes on these tits that you get to enjoy in return for abandoning the match.
んっ、出た出た❤\n目に焼き付ける間もなく射精とは、\n女の胸程度で情けないでござるなぁ❤くすくす❤,You're so pathetic that you came before you even had a chance to really look.❤ So vulnerable to a women's breasts...❤ giggle.❤
この精にもエナジーがたっぷり溶けているでござる。\n先ほども言ったが敵にエナジーをささげていては、\n体力を何度も回復されてしまう・・・。,There's a lot of energy within this cum; that much is true. As I said before; if you give your energy to the enemy; they shall regain their strength again and again....
勝ちたければオナニーなどもってのほか。\nいい加減すっきりして頭も晴れたでござろう？\n次はしてはならぬぞ、童貞マスター。,Masturbating won't help you win. You've cleared your mind now; haven't you? Don't do it again; virgin master.
はぁ…。まったくこれで何度目でござるか？\n頭の中はもうエッチなことしか考えられぬようでござる。,Huh... How many times have you done this now? It seems that there's little in your mind other than lust.
おぬしらに少しは期待していたのでござるが、\n何度止めても聞かぬとは。見下げた理性の弱さでござる。,I had some expectations for you; but you have not heeded any of my warnings. This is no doubt the result of a lack of willpower.
ほら、これが見たかったのでござろう？,Look; this is what you wanted to see; isn't it?
まったく…。乳を見せられただけで、とろけた顔をしおって。,Jeez... Just from seeing some breasts; your face has melted into pure bliss.
シコシコ、シコシコ❤そんなに気持ちいいのかのう？,Stroke stroke, stroke stroke~❤ Does it really feel that good?
もう我慢できぬのか？\n理性が弱いうえに早漏では、救えないでござる❤,You can't take any more? Weak reason and premature ejaculation cannot save you; after all.❤
ほら、イきたければイくでござる。\nおぬしが無様に負ける様、拙者が見ててやるでござるよ❤,Hora; if you need to release it just go ahead. I'll be here to watch you embarrass yourself.❤
ん、勢いよく出したござるな。\nまたエナジーを無駄に消費しているでござる。,I'll admit that you're full of energy. However; you must realize that you're wasting it once again.
ちょっと誘惑されればこのありさま。\nどうせこのまま拙者たちの勝ちでござろうな。間抜けなマスター❤,A little temptation and you give in. I guess we're going to win in the end. Foolish master.❤
ククク、みっともない最後であったのう。そんなにたくさん出して気持ちよかったか？,Kukuku; what a shameful defeat. Did it feel good to cum so much?
