default
クレリック,Cleric
さあ、わたしに愛撫されるのを想像してください❤\n体重をあずけた状態でしこしこしこしこ❤\nね、気持ちよさそうでしょう？,Picture it; my hand caressing you;❤ rubbing and stroking your thing as you lean into me.❤ Doesn't that sound absolutely blissful?
遠慮せずこちらにどうぞ❤\nわたしのお膝の上に、頭を置いて楽にしてくださいね❤,Don't hold yourself back; come here.❤ Rest your head upon my lap and make yourself comfortable; okay?❤
理性を振りしぼって攻撃した,No Rest for the Wicked
彼女に身を任せてしまった,'These weary bones of mine...'
きゃあ！ううっ、暴力反対です・・・。,Eek! Ugh; I abhor violence...
うふふ❤悩むぐらいなら、ほら気持ちよくなってしまいしょう？\nあなたの体をぎゅっとハグして、\n耳元で囁いてあげます❤,Fufu~❤ If you feel so conflicted; why don't you just stop worrying about it and enjoy yourself? I'll hold you tightly and whisper honeyed words into your ear.
いいこ、いいこ…❤戦うのをやめられて偉いですね…❤\nそう、力を抜いて…❤\nリラックスしているのは、とてもいいことなんですよ…❤,Sweet child; you're such a good boy...❤ It was brave of you to stop fighting...❤ Yes; just relax...❤ Resting feels wonderful; doesn't it...?❤
互いに傷つけあうのは悪いこと…❤\n傷つけないでボーっとしてるのは、善いこと…❤\nあなたはいま善いことをしてるんです…❤,Hurting each other is wrong...❤ It's better to just stop and smell the roses together...❤ You're doing a good thing right now...❤
わたしの声を聴いていると力が抜けてきますね…❤\n頭がぼーっとして、気持ちよくなる…❤\nこの気持ちいいのは善いことをしたあなたへのご褒美…❤,Listening to my voice feels soothing; doesn't it...?❤ Your mind feels hazy; bathed in pleasure...❤ This blissful feeling is a reward for your good choices...❤
だから身を任せていいんです…❤\n何も考えなくていいんです…❤\nふふ、力が抜けてだらーんとしてきちゃいますね❤えらい、えらい❤,So you can just let yourself go...❤ You don't have to think about anything...❤ Fufu; your body has relaxed and released all your tension; hasn't it?❤ That's good; very good.❤
うあ、ああっ・・・❤,Uwa; aah...❤
あらあら、うふふ❤\n膝枕をするまえに、お耳にささやかれただけで出してしまったのですか？\nくす❤ちょっと力が抜けすぎちゃいましたね❤,Oh; oh my; fufu~❤ Did you ejaculate just from me whispering in your ear; before I even had the chance to give you a lap pillow? *Giggle*❤ You let yourself go a bit too much; didn't you?❤
我慢してたおちんちんから、とろとろーって気持ちよさそうなお漏らし❤\nでも、ちゃんと出せて偉いですよ❤\n武器を捨てて射精もできて、とってもいい子❤えらいえらい❤,It seems like there's a pleasurable stream of pee leaking out of your pent-up penis.❤ Still; you did a really good job letting it all out properly.❤ You're such a good boy; tossing your weapon aside and ejaculating.❤ Good boy; such a good boy.❤
ああ・・❤あううっ・・・❤,Aah...❤ Hnngh...❤
うふふ❤もう立っていられませんか？\nそう膝の上に頭をゆっくり乗せてください❤\n頭を置いたら、考えることはおしまい❤あとは気持ちいいことだけ❤,Fufu~❤ Is it hard to stay on your feet? Go ahead and rest your head gently on my lap.❤ Once you're nice and comfortable on my lap; you can stop thinking about anything else.❤ Just focus on feeling good.❤
ほら、わたしのふとももの温かさ、\nほっぺで感じて気持ちいいですね❤\n体がリラックスして頭がふわふわ❤意識もとろーん❤,There; doesn't the warmth of my thighs feel pleasant against your cheek?❤ Your body is relaxed; your head feels light and fluffy; and your consciousness is drifting slowly away...❤
清潔でいい匂いがして、しあわせ、しあわせ…❤\nおちんちんもしこしこしこ❤,This pure and sweet-smelling sensation; pure happiness; pure bliss...❤ as you keep stroking your penis.❤
あっ、ああっ・・・・❤\nきもちいい・・・❤,Ah; aah...❤ It feels so good...❤
うふふ、素直に「きもちいい」って言えてえらいですね❤\n素直に甘えられるのは、とてもいいことなんですよ❤,Fufu~ Being able to honestly say it feels good; you're such a good boy; aren't you?❤ Being able to openly express your feelings and let yourself be pampered is a wonderful thing.❤
隠しごとや嘘をつくことは悪いこと…❤\n素直に甘えられるのは善いこと…❤\nおちんちん気持ちいいって言えて、えらい、えらい…❤,Keeping secrets and lying is sinful...❤ Honesty and affection is virtue...❤ Being able to say that your penis feels good; you're such a good boy...❤
褒められると頭がぽわってあったかくなりますね❤\nもっと褒めてほしいって体がうずいちゃいますね。\nほら、それならたくさん「きもちいい」って言いましょう？,Being praised makes you feel warm and fuzzy inside; doesn't it?❤ Your spine gets all tingly; making you want even more praise; right?❤ Come on; how about declaring "it feels good" even more? 
あなたがいい子になれるように、おちんちんなでなでしてあげます❤\n気持ちいいのでいっぱいにしてあげます❤しこしこしこ❤,I'll help motivate you to be good by stroking your penis for you.❤ I'll make you feel so; so good.❤ Stroke stroke stroke~❤
うう、きもちいい・・・❤きもちいい・・・❤\nきもちいい・・・❤❤ああっ、もっとなでて・・・❤\nきもちいいっ・・・❤❤,Uwaah; it feels good...❤ It feels so good...❤ It feels goooood...❤❤
いいですよ❤ほら、えらい❤えらい❤\n頭もおちんちんもいっぱいなでてあげます❤,There's a good boy.❤ See; good job.❤ You did so well.❤
たくさんなでてあげてるのに、\nおちんちん、ひくひくして\nもっとなでてぇっておねだりしちゃってますね❤,I'm already stroking you; yet your little penis is still twitching so much; begging for more; huh?❤
欲しがりでかわいいおちんちん❤\n甘え上手でえらい、えらい❤\n気持ちよくなれて、えらい、えらい❤,What cute little eager penis.❤ You're so good at asking for love; amazing.❤ You already know how to let yourself feel good; so wonderful. You're such a good child.❤ 
しこしこ、しこしこ❤\nあら、むずむず腰を動かして、\nもうすぐ出しちゃいそうなんですか？,Stroke stroke; stroke stroke~❤ Oh my; your hips are squirming so restlessly. Are you ready to ejaculate?
我慢はしなくていいですよ❤\n力を抜いて、気持ちいいのが昇ってくるのに任せて、\nほら、お漏らししてしまいましょう❤,You don't have to hold yourself back.❤ Just relax and let it out. Let yourself be baptized in this feeling of pleasure. Go on; grant yourself this release.❤
わたしの手になでてもらいながら、\nおちんちんからびゅっ、びゅー❤\nリラックスして、頭が真っ白になるぐらい気持ちよくなりましょうね❤,Shoot it out of your penis as I stroke you with my hand. Pew~❤ Just relax; and let yourself feel good until your mind goes numb; okay?❤
はひぃっ・・・❤きもちいい・・・❤❤,Hwaah...❤ It feels so good...❤
うふふ❤イったあとも気持ちいいって言えてえらいですね❤\n全部出し切るまで、やさしくなでてあげますね❤,Fufu~❤ You're such a good boy; aren't you? You managed to say "it feels good" even after you climaxed.❤ I'll keep gently caressing you until you've let it all out; okay?❤
戦いをやめることができて、いいこ、いいこ❤\nおちんちんから射精もできて、とってもえらい❤えらい❤\nうふ、幸せそうな顔です❤,You chose to stop fighting; you're such a brave child; such a good boy!❤ You also managed to let yourself ejaculate; so wonderful!❤ You're amazing.❤ Fufu; you look so happy.❤
オナニーして敗北、気持ちよかったですか？\n昇格試合でしたが、気に病むことはありません。\n男の子が女性に甘えるのは、当然のことですから❤,You masturbated and lost; but did it feel good? This may be a promotion match; but don't worry yourself over it. It's only natural a boy would want to be pampered by a woman.❤
暴力をふるうよりもずっとよいことができましたね❤えらいですよ❤,You rose beyond resorting to such senseless violence; didn't you?❤ That's amazing.❤
あら、ズボンの中でびゅくびゅく脈打っています❤\nわたしがなでたことで、すっかり楽になれたみたいですね。\nうふふ❤,Oh my; it's pulsing and throbbing inside your pants!❤ It seems you've really perked up once I started stroking it; haven't you? Fufu~❤
あら、なにやら腰がビクビクして・・・❤\nくす❤乳首が気持ちよくてイってしまったんですか？\n弱くてかわいらしいマスターさんですね❤,Oh my; your hips are twitching...❤ Fufu; did your nipples feel so good that you ejaculated? You're such a weak and adorable master; aren't you?❤
きゃ、急に射精したからびっくりしちゃいました。\nもしかしてパンツを見せられただけでイってしまったんですか？\nくすくす❤ずいぶんうぶなマスターさんなんですね❤,Eep! You surprised me; suddenly ejaculating like that. Did you get excited just from seeing my underwear? *Giggle*❤ You're quite the innocent master; aren't you?❤
あん、ブーツの下でびゅくびゅく出ちゃってます❤\nきちんと気持ちよくできたみたいですね❤\n満足してもらえてうれしいです❤,Ah; it's gushing out from beneath my boots.❤ It seems you really enjoyed that; didn't you?❤ I'm happy you were so satisfied.❤
きゃ、急に射精したからびっくりしちゃいました。\n投げキスしてあげるだけで射精しちゃうなんて、くすくす❤\nずいぶんうぶなマスターさんなんですね❤,Eep! You surprised me; ejaculating so suddenly. To think you'd cum just from me blowing you a kiss; *giggle*❤ You're quite the innocent master; aren't you?❤
わたしは可愛くて好きですよ❤\nほら、もう一回、んっちゅ❤\n幸せに包まれてください❤,I love that cute side of you.❤ Come on; show it to me again. *Kiss*❤ May you be blessed with happiness.❤
{自分}にエナジーを搾り取られた僕は、体力を失い、闘技場の地面に膝をついていた。,With my energy drained by {自分}; I lost my strength and collapse to the arena floor.
うふふ❤試合お疲れさまでした。\n気持ちよくなることができて、よかったですね❤,Fufu~❤ It was a good match. It's great you got to feel so good; isn't it?❤
わたしはあくまで味方のサポートが仕事で、\n直接エッチなことはあまりしないのですが、\nマスターさんを射精させられるなんて、びっくりです❤,My role is primarily to support my allies; and I rarely ever engage in direct sexual acts; but I'm surprised I managed to make Sir Master feel so good.❤
ずっと我慢をしていたんですよね❤\nわたしに抱きしめられながら、シコシコと自慰をなさって、\nふふ、すっきりするまで射精できましたか？,You've been pent up for so long; haven't you?❤ You were stroking so much while I hugged you. Fufu; were you able to ejaculate until you were satisfied?
あううぅ・・・❤,Hwaaaah...❤
くすくす❤甘やかされてすっかり腑抜けちゃって、\n無敗のルーキーくんは甘えん坊なのね。,*Giggle*❤ So weak-willed and spoiled; the Undefeated Rookie turned out to be quite needy; hm?
これまでずっと我慢して頑張ってきたんでしょう？\nそれが優しく甘やかされて緊張の糸が切れてしまった。\n年頃の男の子だもの。そうなるのも仕方ないのかも。,You've been enduring and working hard all this time; haven't you? But the moment you received some kindness and pampering; your stoic mask finally broke. You're still a young boy; after all. It's only natural that things turned out this way.
わたしの言う通り暴力を捨てることができて偉かったですよ❤\nただ囁いているだけで射精してしまいましたが、\nお耳が弱いんですか？うふふ❤,You did well; giving up on violence when I asked you to.❤ Though you also ejaculated just from me whispering in your ears. Are they a sensitive area for you? Fufu~❤
わたしの言う通り暴力を捨てることができて偉かったですよ❤\n膝枕をしながらの手での奉仕、\n蕩けた顔になっていて大変可愛かったです❤,You did well; giving up on violence when I asked you to.❤ Your face was so sweet and adorable when you were resting your head on my lap as I stroked your penis.
うう、あううぅ・・・❤,Ngh; hnnngh...❤
くすくす❤すっかり腑抜けちゃって。\nそんなに強い攻撃じゃなかったでしょうに。\n無敗のルーキーくんは甘やかされるのに弱いのかしら。,*Giggle*❤ You've completely lost your composure. That attack wasn't very strong; was it? Is the Undefeated Rookie perhaps weak to being coddled?
これまでずっと我慢して戦ってきた分\n優しくされて緊張の糸が切れてしまった。\n年頃の男の子だもの。いずれそうなるのも仕方ないわよね。,After enduring and fighting for so long; a bit of pampering causes all your pent-up desire to spill out. You're just a young boy; after all; something like this was bound to happen.
どう？イったばかりだけど立てそう？\n立てるのなら、試合を終わりにして、観客に手でも振って退場しましょう。\nエナジーを出したばかりだから、まだ難しいかしら。,How do you feel? You just ejaculated; but do you think you can stand? If you can; then let's end this match; wave to the audience; and exit the arena. Though since you just released so much energy; it might be difficult right now.
僕はシルヴィアさんにそう言われて、なんとか立ち上がろうとする。しかし、足がぷるぷると震えてしまい、力が入らない。快感がまだ残っていて、腰がじんじんとうずいている。,At Sylvia's words; I tried to stand. However; my legs were trembling uncontrollably; and I couldn't put any weight on them. The feeling of pleasure still lingered; and my hips were numb.
あわわ、ダメですよ、無理をしたら。\nもし倒れたら大変です。,Oh dear; that's not good. You shouldn't push yourself too hard. It'd be terrible if you were to fall over.
そう言って{自分}は僕のもとにかけより、体を抱きとめて倒れないように支えてくれた。ぽふん、と僕の顔が彼女の胸に当たる形になる。,{自分} rushes over and catches me; supporting me so I wouldn't fall over. My face landed softly against her chest.
{自分}の胸は決して大きくなくて、ほんのりと膨らんでいるぐらいなのだが、それでも柔らかく、甘い匂いがする。僕はその感触と匂いでさらに力が抜けて、彼女にぎゅっと抱き着いてしまった。,{自分}'s chest wasn't especially large; just a slight protrusion; but it was soft and had a sweet scent. This feeling and scent made me even weaker; and I ended up clinging to her more tightly.
そうそう、ちゃんとわたしにつかまってください。\nちゃんと支えてあげますから・・・。,Yes; that's it. Please hold on to me tightly. I'll properly support you...
ん？あら・・・❤\nうふふ、もうまた大きくしてしまって❤,Hm? Oh my...❤ Fufu; it seems it grew bigger again.❤
わたしの体に触れていたら、\nさっきの気持ちよさ、思い出してしまいましたか？,When you touched my body; did the pleasure you felt earlier come rushing back?
ぎゅって抱き着いたのも、もしかしてまたしてほしくなって、\nそれでねだるみたいに抱っこしてきたのでしょうか。\nくすくす❤甘えん坊さんですね❤,When you hugged me tightly; was that you asking me to hold you like that again? *Giggle*❤ You're quite the clingy child; aren't you?❤
あう、ううっ、それはぁ・・・❤,Ahh; uwaah; that's...❤
してほしいなら、いいですよ❤\nまたわたしの手でなでて気持ちよくしてあげます❤\n残っている分も全部出してあげますね❤,I'm willing if that's what you want.❤ I'll caress you again with my hands and make you feel good.❤ I'll make sure you release all your remaining energy; okay?❤
してほしいなら、いいですよ❤\n今度は手でなでて気持ちよくしてあげます❤\nどうしますか？残っている分も全部出しちゃいますか？,If that's what you want; then I'd be happy to.❤ This time I'll caress you with my hands and make you feel good.❤ Would you like that? Should I squeeze out every last drop?❤
やさしくやさしく甘やかすような彼女の声。それを聞いているだけでヒクヒクとペニスが震えてしまう。僕は今が試合中だということも忘れて、彼女に甘えたくて仕方がなくなってしまった。,Her voice was so gentle and sweet; drawing me in. Just hearing her made my penis tremble uncontrollably. I completely forgot about the match; all I wanted was to be spoiled by her.
うう・・・❤おねがい・・・❤\nがまんできなくて・・・❤,Hnngh... Please...❤ I can't wait any longer...❤
まったく。頭の中がもう完全に蕩けちゃってるわね。\nいいわ、{自分}。\nその子が満足するまで気持ちよくしてあげなさい。,My; my. Your brain has gone all fuzzy; hasn't it? Alright then. {自分}; make sure to pamper him until he's totally satisfied.
見られてたら恥ずかしいだろうから、\nほらバリアを周りに張ってあげる。\nこれはここまで頑張ってきた、あなたへのご褒美よ。ルーキーくん。,You'd probably feel embarrassed if people saw you like this; so I'll erect a barrier around us. This is a reward for all your hard work; little Rookie.
シルヴィアさんが何かカードを唱えると、周りが緑色のバリアに覆われ、外の様子が見えなくなった。おそらく外からも僕らの様子は見えていないのだろう。,Sylvia casts a spell using a card; and a green barrier appears around us; making it impossible to see what's happening outside. Anyone outside probably couldn't see inside; either.
僕は顔を上げて抱きついていた{自分}の顔を見る。すると彼女は目を合わせ、にこりと微笑み返してくれた。,I looked up at {自分}; whom I was hugging; and our eyes met. She smiled back down at me.
それでは、あなたがすっきりできるように、\nたっぷりご奉仕しますね。\nほら、膝の上に頭を乗せて？,Now then; I'll pamper you until you're relaxed and completely at ease. Here; rest your head on my lap. 
