default
ヒーラーハーピー,Soothing Harpy
この勝負に負けたって、わたしのマスターとか\nエルルちゃんとかにちょっとカッコ悪いところ見られるだけだよ。\nだいじょうぶ、だいじょうぶ…❤,Even if you lose this match; the only people who will see you look uncool are my master and Elulu. So it's okay...❤ It's really not so bad...❤
この勝負に負けたって、あなたのマスターが\nわたしのマスターとかエルルちゃんに\nカッコ悪いところ見られるだけだよ。だいじょうぶ、だいじょうぶ…❤,Even if you lose this match; the only people who will see your master look uncool are my master and Elulu. So it's okay...❤ It's really not so bad...❤
ほら、難しいことを考えるのは終わりにしよう？\nおっぱいで頭をなでなでってしてあげる…❤\nいいこ…❤いいこ…❤,Come on; let's stop thinking about things like that; okay? Why don't I rub your head with my breasts...?❤ Good boy...❤ You're such a good boy...❤
はうぅう・・・❤きもちいい・・❤❤,Haah...❤ It... It feels so good...❤❤
わたしの体、あったかくて気持ちいいよね…❤\nぎゅって抱きしめられたらね、みんなとろとろになって、\nわたしの体から離れられなくなっちゃうの…❤,My body feels so nice and warm; doesn't it?❤ Everyone melts when I hug them tight like this. You can't pull away either; can you...?❤
わたし、そうやって蕩けているときの顔が好き…❤\nわたしに癒されて、気持ちいいので頭がいっぱいになって、\nちっちゃい子みたいな目でわたしに甘えてくるんだよ…❤,I just love the face people make when they're pleasured like this...❤ Healed by my breasts; with their heads full of pleasure; they look at me with child-like wonder in their eyes; begging to be spoiled...!❤
そう、いまのあなたみたいな目だね…❤\nとろんってしちゃってかわいい❤\nわたしに甘えんぼできて、えらい、えらい❤くすくす❤,Yes; eyes just like yours right now...❤ You look so cute all melted like that.❤ Such a good boy; letting me spoil you like this. So good~❤ *Giggle*❤
あうう、あううぅぅ・・・❤❤,Aah; aaahh...❤❤
んふふ、もう出ちゃう？\nおっぱいでお顔をぱふぱふってされただけで、\nおちんちんからびゅーって出しちゃいそうなんだ…❤,Mfufu; are you going to cum already? All I did was give you a Puff-Puff with my big; soft breasts; and you're already about to shoot it all out...❤
ほら、あなたもさっきの人みたいに、\n羽の中にぎゅって包んであげる…❤\nわたしのあったかい体に包まれて、ふわぁって幸せになってね❤,Here; I'll wrap you tightly in my wings too; just like the man before you...❤ Let yourself be wrapped in my warm body and float away into bliss~❤
んふふ❤ぎゅってされてすぐ出しちゃった…❤\nとっても気持ちよさそうな顔だね❤,Mfufu~❤ You came as soon as I wrapped you in my wings...❤ It felt really good; didn't it?
ねえ、わたしのこと見逃して…？\nあとの試合はわたしここで見とくから、\nおねがい…❤,Hey; can you let me go; just this once...? I promise to stay out of the fight and just watch from now on. Please...❤
もししてほしいなら、なにかしてあげてもいいよ。\nおっぱいでぱふぱふとか、\nパイズリとか…。,If you want; I can even use my nice; soft breasts to do something nice for you. Like... maybe a Puff-Puff? Or... a paizuri?
あなたが決めていいんだよ。\nね、どうする？,You can decide. So; what do you want to do?
とどめを刺した,Finish her off
彼女を見逃した,'Shoot! I missed!'
ぱふぱふをおねがいした,Plush Puff-Puff
パイズリをおねがいした,Plush Paizuri
おちんちんシコシコ、気持ちよかったね❤\nまたいつか戦うことがあったら、\nまたオナニー見てあげるね。くすくす❤,Stroking yourself like that felt so good; didn't it?❤ Maybe we'll fight again someday. If we do; I'd be happy to watch you masturbate again. *Giggle*❤
甘えんぼできて満足した？\nとろとろのお顔で甘えてくれて、とってもかわいかったよ。\nくすくす❤,Wasn't it nice being pampered by me? You were so cute; snuggling up to me with that dreamy look on your face. *Giggle*❤
あん❤おちんちんからたくさん出ちゃったね❤\nおっぱいに甘えるの気持ちよかった？\nくすくす❤,Oh my; you came so much; didn't you? Did it feel good to snuggle up to my breasts? *Giggle*❤
