default
お嬢様サキュバス,Elegant Succubus
くす❤マスターに見限られてかわいそう❤\nあなたのマスターは、あなたのことより大きなおっぱいが大事みたいよ❤,*Giggle*❤ Poor thing. Your master has utterly abandoned you.❤ It seems he cares more about large breasts than his own monster!❤
呆然として隙だらけね。\nこの隙に、あなたの下半身を術で呼び寄せてっと・・・❤,You've left yourself wide open; haven't you? In which case; I shall use this chance to call over your lower body with my magic...❤
ほら、シコシコシコ♪シコシコシコ❤\nこうなったらもう抵抗できないわ。\n下半身を捕らえられて、一方的にされるがまま❤,Take this. Stroke stroke stroke~♪ Stroke stroke stroke~❤ Now you're helpless to resist. Your lower body has been captured; placing you entirely at my mercy~❤
攻撃の命令を途中で止めるマスターが悪いのよ。\nあなたは悪くないわ。\nだから、責任を感じず、わたしの手に屈服していいの❤,It's not your fault. The blame lies with your master for suddenly going silent mid-command! Therefore; you need not feel any guilt. So simply submit yourself to my hands~❤
小さな女の子の、非力な手なんかに、\nつよーい男が屈服していいの。\nくす❤下半身は正直ね。わたしに服従できることを喜んでる❤,Is it really okay for such a strong man to submit to the weak hands of a little girl? *Giggle*❤ Your lower body is quite honest; isn't it? It seems you rather enjoyed submitting to me.❤
さ、果てなさい❤\n最後は指で裏筋を、\nつーっと❤撫でて、はい、終わり❤,Then allow me to finish you off~❤ I'll end it by gently stroking the underside of your penis with my fingers.❤ Et voila; it's all over now~❤
敵マスターのあなたに、わたしの魔術を見せてあげる。\nさあ、ゲートよ開きなさい❤,Allow me to show you my magic; enemy master. Now... Gate Open!❤
あなたの下半身をここに呼び寄せたわ。\nあは、自分の体が光に包まれて変な感じがする？\nそんなの気にしなくていいわよ。だって・・・。,I've now summoned your lower body over to me. Aha; does it feel strange; being enveloped in light like this? You need not concern yourself over that. After all...
こうやって扱いてあげれば、\nゲートに体を入れた感じなんてどうでもよくなるでしょう？\nシコシコ❤シコシコ❤ほら、気持ちよくて腰が浮いてきた❤,If I treat you like so; then it won't matter that your body is inside a gate. Stroke stroke~❤ Stroke stroke~❤ See? It feels so good that your hips are lifting~❤
守りのモンスターが何体いても関係ない。\nわたしはあなたを一方的に攻撃できるの。\nほら、エナジーをわたしに献上しなさい❤シコシコシコシコ❤,It doesn't matter how many monsters are defending you; you are always within my reach. Now come; feed me your energy.❤ Stroke stroke stroke stroke~❤
守りを固めても無駄よ。\nゲートを使って、あなたのチンポをこちらへ招けばいいんだから♪,It's useless to defend yourself! I need only open the gate and summon your penis to my side~♪
平民が、貴族のもとに自ら来るのは当然のことよね。\nわたしは一歩も動かずに、\nチンポだけご案内。さあ、扱いて気持ちよくしてあげる❤,It's only natural for a commoner like you to answer a noble's summons; don't you think? I won't move an inch. I will merely beckon your penis over. Come; let me stroke it and make you feel good~❤
あら、武器を構えちゃてこわい❤\nでも、そんなの無意味だわ。ほら・・・❤,Oh my. Brandishing a weapon; how scary~❤ But it's pointless. Here...❤
下半身だけこちらに召喚❤\nさあ、無防備な平民チンポ、\nわたしが扱いて一方的に搾取してあげる❤,I've summoned only your lower body to me.❤ Now; I shall play with you and exploit this commoner's defenseless penis directly.❤
あら、もう戦う気力を失って棒立ちなのね。\nそれならぞんざいに搾り取ってあげるわ。\n足であなたのおちんちんを踏みつけてっと❤,Oh my. You're just standing there. It's as if you've lost the will to fight; no? Then allow me to milk your cock in the most degrading way possible. I'll trample your dick with my feet.❤
まるで虫でも踏みつぶすみたいに、ぐりぐりぐり❤\nあは、喘ぎ声あげちゃって、こんな風にされるのがうれしいんだ❤\nこのロリコンマゾ❤,I'll squish it as if I'm squashing a bug between my toes.❤ Aha; you're moaning! It seems you enjoy being treated this way.❤ Such a filthy masochist~❤
ぷぷ、あんあん、あんあん女みたいに喘いじゃって、カッコ悪い❤\nほら、ロリコンマゾ❤わたしの高貴な足に屈服なさい❤\n命を吐き出すまで踏みにじってあげるわ❤,Pfft; you're moaning like a woman. How lame~❤ Come now; you filthy masochist.❤ Submit to my noble feet.❤ I'll trample you until you've released your essence.❤
平民は近寄らないで。\nそれ以上来るなら、えいっ❤\n足で踏んで痛い目を見せてあげる❤,You'd best stay back; commoners. If you dare approach me; hmph!❤ I shall trample you and make you suffer.❤
ちょっと何期待してるのよ。足の下で固くなっているじゃない。\nなに？小さい女の子に踏まれて興奮しちゃう変態なの？\nこうやって股間をぐりぐりぐり❤ってされるのがうれしいんだ？,And what exactly are you imagining? I can feel you getting hard under my feet. What? Are you a pervert who gets turned on from being trampled by a younger girl like me? Do you enjoy it when I rub your genitals like this?
くすくす❤それならたっぷり踏んであげる❤\n身分が上の存在に、卑しいものを踏みつぶしてもらえること、\n感謝しなさい、平民❤,*Giggle*❤ In that case; I'll trample on you plenty~❤ Be grateful that someone so noble deigns to crush someone as lowly as you under her feet; commoner.❤
わたしの胸じゃパイズリはできないわ…。\nでもこのすべすべのドレスに擦り付けながら、手コキしてあげると\nとっても気持ちいいのよ❤,My breasts may not be suitabe for giving paizuri... However I'm sure it will feel wonderful if I wrap my hand under my silky dress and stroke you!❤
ほら、先っぽをおっぱいに押し付けながら、\n根元をシコシコシコ♪\nおっぱいの感触、少しは感じるかしら？,Here; just place the tip against my breasts as I stroke the base~♪ Can you feel my breasts at all?
ふふ、明らかに喜んでるわね❤\nちっちゃいおっぱいでもいいなんて、見境がないのね。この変態❤\n目をハートにして小さい手にされるがまま。,Fufu; you're making your enjoyment a little obvious; don't you think?❤ How open-minded of you; accepting breasts as small as mine. You're such a pervert~❤ Your eyes are glazed over; simply letting my small hands have their way with you.
いいわよ。出しなさい❤\n胸に向かって射精することを許してあげる。\n精液は吸収できるから服も汚れないし、胸にかけなさい。ロリコン❤,Very well. Let it all out!❤ I grant you permission to ejaculate onto my breasts. Pour your semen directly onto them so it'll get absorbed and not stain my clothes; you filthy commoner~❤
手で根元をいじめながら、\n先っぽをなめてあげるわ。,What if I tease the base with my hands while I lick the tip?
男ってバカだから、こうやって上目遣いで舐めてあげると、\n勝手にわたしのこと好きになって、快感に弱くなるの。\nんっちゅ❤れぇろ❤えろれろ～❤,Men are such fools. If I lick them like this while looking up at them; they instantly fall in love and become weak to my pleasure. Mmchu~❤ Lick; lick~❤
ねえ、あなたもわたしのこと守ってあげたいとか思っちゃった？\nくすくす❤そのチンポの動きが返事代わりね。\n根元をシコりながら、ほらもっと好きになれ、先っぽに、んっちゅ❤,My; have you decided to protect me as well? *Giggle*❤ Your penis says it all; doesn't it? As I stroke your base... Come; fall for me even more. Next; the tip... Mmchu~❤
アナタなんか足で十分よ。足で。\n手で触らなくても、両足で挟んで扱いてあげれば、\nすぐ喘いでイっちゃうでしょ？,My feet should more than suffice. My feet; and nothing more. I don't even need my hands. Just holding your cock between my arches and rubbing it like will make you moan in no time; won't it?
ふふ、目にハートを浮かべて完全に無抵抗❤\n足で挟んで、激しく上下に、しゅこしゅこしゅこ❤\n強い快感で速攻でイかせてあげるわ❤,Fufu; you've dropped your guard completely; gazing at me with those hearts in your eyes.❤ I'll hold it between my soles and pump it vigorously for you.❤ I have no doubt you'll cum swiftly from such intense pleasure~❤
え？そんなことないって？\nふふ、ならその自信へし折ってあげる。\n服の上からでいいいわ。足で挟んで、ほら、すりすりすり・・❤気持ちよくなっちゃえ❤,Eh? You doubt my words? Fufu; then allow me to crush that confidence of yours. Doing it over your clothes will be more than enough. Here; I'll hold it between my soles; and... Rub rub rub...❤ Let the sensation wash over you~❤
くす、魅了されてもうふらふらね。\nあなたなんて投げキッスで十分。,*Giggle* You're so entranced that you can't even keep your head upright; can you? Just blowing you a kiss right now would no doubt do you in.
わたしのこと好きになっていいわよ。\nんっちゅっぱ❤,Go ahead; fall in love with me. Mwah~❤
あん、攻撃なんて野蛮なことはやめなさい。\nほら、スカートをゆっくりめくって・・・。チラ❤,Ahn; cease your barbaric attacks. Look; I'll lift my skirt up just a bit. Take a peek~❤
くす❤わたしみたいな小さい女の子パンツでも、気になっちゃうのね❤\n手が止まって目が釘付けだわ❤,*Giggle*❤ Even the panties of a younger girl like me is enough to grab your attention; is it?❤ Your hands have stopped; and your eyes are utterly fixated on them~❤
ねえその止めた手、武器なんて捨てて、\n自分のチンポを握ったらいかが？わたしの高貴な下着を見て、\nロリコンマゾオナニー❤きっと気持ちいいわよ？,Hey; why not lay down your weapons and grip your penis instead? You can admire my elegant underwear and indulge in some naughty masochistic masturbation.❤ Wouldn't that feel amazing?
ううっ・・・❤,Ugh...❤
うふふ❤魅了状態で気持ちよくされて、\nわたしのナイトになりたくなっちゃったんでしょ。\nいいわよ、わたしを守ることを許してあげる❤,Ufufu~❤ It seems your lovestruck state feels so euphoric that you've volunteered to be my knight. Very well; I shall graciously allow you to protect me~❤
うふふ❤魅了状態で気持ちよくされて、\nわたしのナイトになりたくなっちゃったの？,Ufufu~❤ Seeing how euphoric you seem in this lovestruck state... Would you like to serve as my knight?
マスターを裏切らせちゃうなんて、わたしが可愛すぎるのも罪ね❤\nいいわよ、わたしを守ることを許してあげる❤,My cuteness is practically a sin; getting you to betray your own master like this. Wouldn't you agree?❤ Very well; I shall allow you to protect me~❤
さあ、そこにかしづきなさい❤\nこれは叙勲代わりの刻印♪\nあなたの額に、んっちゅ❤,Now; please kneel before me.❤ In lieu of a conferment; I shall brand you with this~♪ A kiss atop your forehead. Mwah~❤
はひっ・・・❤お嬢さま・・・❤お守りします・・・❤,Haaah...❤ Milady...❤ I'll protect you with my life...❤
くすくす❤頭にかわいいキスマークを付けて、\nなんとも滑稽な騎士様ね❤\nせいぜい身を粉にしてわたしに尽くしなさい❤,*Giggle*❤ You're quite the silly knight with that kiss mark on your forehead; aren't you?❤ Dedicate your very life in service of me~❤
あら、あなたもわたしの騎士になりたいの？\nくすくす❤人気者で困っちゃう❤\nいいわよ、わたしを守ることを許してあげる❤,Oh my. Do you wish to become my knight as well? *Giggle*❤ It's almost troubling how popular I am.❤ Very well; I shall allow you to protect me~❤
うふふ、頭にかわいいキスマークを付けて、\nなんとも滑稽な騎士様ね❤\nせいぜいあなたも、身を粉にしてわたしに尽くしなさい❤,Ufufu; you're such a silly knight; wearing that kiss mark on your forehead; aren't you?❤ Then to you as well I give this order: offer your life in service of me~❤
なに？さっきダメって言ったのが聞こえなかったの？\nこのバカ犬。,What? Did you not hear me say no just now? You stupid mutt.
性欲に脳をやられて、動物以下の思考力になってるのかしら。\nまったく男ってこれだから嫌よね。,You've become so consumed by your own sexual desire; even a beast has more rationality... Though I suppose this is the trouble with men; isn't it?
ご褒美が欲しければ、きちんと働くのよ。それぐらい犬でも分かるわ。\nほら・・・❤,If you want a reward; then you must work hard for it! Even an untamed mutt understands that much. Here...❤
あなたの額にもっと服従の証を刻んであげたわ。\nさっさと同士討ちでもなんでもしてわたしに尽くしなさい。\nわたしの騎士として、ね❤くすくす❤,I've branded a mark of submission onto your forehead as well. Now; go fight your allies. Do whatever is needed in service to me. As my knight; of course~❤ *Giggle*❤
ふふ❤なに？\nマスター自らわたしに「気持ちよく」してくださいって言っちゃうの？\nあはは、平民ってプライドとかないのね❤,Fufu~❤ What's this? Does the master himself wish for me to "make him feel good"? Ahaha; commoners truly are a shameless bunch; aren't they?❤
モンスターの守りをすり抜けて攻撃できるわたしの能力。\nでも、それを使う必要もなかったわ❤\nだってわたしの元に自分で攻撃を受けに来ちゃうんですもの❤,My ability allows me to breach past your defenses and attack the cardmaster directly; but it seems that won't be necessary.❤ After all; he'll simply come to me to receive my attack~❤
わたしみたいな小さな女の子に、\n必死にぺこぺこして快楽をねだって、とってもみじめだわ❤\nチンポに脳みそ支配された存在って、本当にあわれ❤,How pathetic you are; bowing so desperately in front of a young lady and begging for pleasure.❤ Creatures like you who only heed your penile impulses are truly pitiful!❤
ふふ❤なに？\nわたしに「気持ちよく」してくださいって言っちゃうの？\nあはは、平民ってプライドとかないのね❤,Fufu~❤ What's this? You wish for me to "make you feel good"? Ahaha; commoners truly are a shameless bunch; aren't they?❤
でもダメよ。あなたはわたしの騎士なんでしょう？\nそれなら最後までわたしの盾として働きなさい❤,However; I refuse. You are my knight; aren't you? Then serve as my shield until the very end!❤
あはは❤泣きそうな目をしちゃってかわいそう❤\nそんなにわたしに気持ちよくされたいのね。\nけれどダメなものはダメ❤アナタは黙って服従なさい、ふふふ❤,Ahaha~❤ You look as if you're going to cry. Poor thing~❤ Do you wish so badly for me to make you feel good? However; no means no.❤ Just shut up and do as I say. Fufufu~❤
それじゃあ特別に快楽を与えてあげる❤\n対価はあなたの命よ❤わたしにエナジーすべて寄越しなさい❤,Then I'll grant you a most special pleasure.❤ And in return; I shall claim your life as mine!❤ Surrender your energy to me~❤
ふふ、これでおしまいよ。え？イクまでしてくれないのかって？\n何言ってるのよ。アナタはわたしの騎士になったんでしょ？\nそれなら、アナタは生かしてお0かないとダメじゃない。,Fufu; there. All done! Eh? I didn't make you cum? What are you saying? You are my knight; are you not? As that's the case; I can hardly allow you to die.
射精しそうなチンポ抱えながら、せいぜいわたしに尽くしなさい❤\nわたしのために動けば動くほど、その額の証が、\nあなたを気持ちよくしてくれるわ。うふふふ❤,With your penis so close to bursting in your hands; give your all in service to me!❤ The more you act in my stead; the more that mark on your forehead will make you feel good. Ufufufu~❤
ふふ❤手で少しかわいがってあげただけでイっちゃった❤\n平民はチンポも弱いのね❤\n小さなおっぱいにこすりつけられてたまらなかった？,Fufu~❤ You came from my hand simply fondling you a bit.❤ It seems commoners' cocks are as weak as they are; aren't they?❤ Was having it held against my small breasts too much for you?
大きくなくてもぷにぷにしてて気持ちよかったでしょ❤\nくすくす、蕩けた顔しちゃって❤このロリコン❤,Though they aren't big; they do feel so soft and pleasurable.❤ *Giggle* Your face is entirely lost in bliss.❤ Such a pervert~❤
んふ❤おいしい❤\n小さい唇にちゅーちゅー吸い付かれて、全然耐えられなかったわね❤,Mph~❤ Delicious!❤ You just couldn't handle my small lips sucking on your penis; could you?❤
高貴なお口に吸ってもらえてうれしいでしょ❤\nあは、ほんとに幸せそうな顔してるし❤\nやっぱり平民ってプライドないのね。くすくす❤,You must feel honored; getting sampled by these noble lips.❤ Aha; You certainly look pleased~❤ It seems commoners truly have no pride; do they? *Giggle*❤
あら、足の裏でびゅくびゅく震えてる❤\nわたしの高貴な足に踏まれてイっちゃったの？\nロリコンなだけじゃなくてマゾなのね、あなた。,Oh dear; I can feel it pulsing beneath my soles.❤ Did you ejaculate from being stepped on by my noble feet? It seems you're not merely just some pervert; but a masochist as well.
わたしのぷにぷにとした足は気持ちよかったかしら。\n残っているのが全部出るように、ほらグリグリってしてあげる❤\nふふふ❤喘いじゃって気持ちよさそ❤,Did my soft arches feel that good? I'll give it a thorough rub to extract the remaining dredges.❤ Fufufu~❤ You're moaning; so I suppose it must feel wonderful~❤
あら❤投げキスで射精しちゃった❤\nわたしのとびきりの可愛さにやられちゃったのね❤\nくすくす❤,Oh my~❤ I simply blew a kiss and you ejaculated.❤ Were you overwhelmed by how unbearably cute I am?❤ *Giggle*❤
あは、もしかしてパンツ見せられただけでイっちゃったの？\nくすくす❤チンポしこるかどうか悩んでるうちに、\n目の刺激だけで我慢できなくなっちゃったのね❤,Aha~ Could it be that you ejaculated just from seeing my panties? *Giggle*❤ Here I was wondering whether I ought to stroke your cock for you; but it seems the view alone already forced you past your limits; didn't it?❤
女の子のパンツ見てるだけで射精するなんて、とんだ早漏チンポだわ❤\nふふ、さすがは平民。チンポもずいぶん粗末にできているのね。\nくすくす❤,Ejaculating from the mere sight of a girl's panties... Such a terrible premature ejaculator you are~❤ Fufu; I'd expect nothing less from a commoner. Even your penis is low quality; isn't it? *Giggle*❤
ううっ・・・❤だめなのに・・・❤,Ugh...❤ I-I can't take it...❤
あら、平民が何をし始めるのかと思ったら、\n急にオナニーを始めちゃったわ。,Oh dear. I was wondering what the commoner would do; but I never guessed he would suddenly start masturbating.
まったく、わたしに忠誠を誓うってのはどこへ行っちゃったのかしら？\nチンポを押さえて必死にシコシコシコ❤\nわたしが可愛すぎて脳みそ何も考えられなくなっちゃった？,Goodness; where has your devotion to me gone? You're just pawing at your penis and stroking it so frantically.❤ Has my cuteness completely eroded your ability to think?
こうなってしまったらもうダメね。\n盾にするにしてもチンポシコってまともに動けないんじゃ、\n何の役にも立たないわ。,You're no good to me like this. Gripping your cock like that; you can't even move properly to shield me from harm.
ほら、それならもう、さっさとわたしの体力に変えてあげる❤\nエナジー出して、わたしに貢献なさい❤\nあなたの額に、んっちゅ❤,Come here. I suppose if it's come to this; then I have no choice but to make your power my own.❤ Release your energy and offer it to me!❤ Here; I'll give your forehead a kiss. Mwah~❤
はひぃ、あひぃいっ、お嬢さまぁ❤❤,Hnnngh; haaaaah; Miladyyyy~❤
くす、忠誠の証の上に、キスマークを重ねがけされるの、\n気持ちいいでしょ？\nわたしの唇で脳みその奥までジンジン溶かしてあげる❤,*Giggle* Having kisses planted over your mark of submission feels good; doesn't it? These lips will turn your brain to mush~❤
これでとどめよ。むちゅって押し付けるみたいに、\nんっ、ちゅう❤,And as a final send-off; I shall grant you one last firm kiss. Mwaaaaaah~❤
あへぇぇ・・・・❤❤,Aaaah...❤❤
くすくす❤幸せそうに崩れ落ちちゃった❤\nあなたの濃い精液、なかなか悪くない味よ。\nわたしに心酔してた分、よく魔力が溶けてるわ。,*Giggle*❤ You collapsed into such a blissful heap~❤ Your thick semen is quite delectable. The more infatuated you were with me; the more of your magic is imbued in it.
小さな女の子にいいように使われて、\nそれを最上の喜びとばかりに射精までして、\nふふ、平民ってほんとにわたしに尽くすために生まれてきたのね❤,To be the plaything of a young girl; and going so far as to ejaculate in utmost bliss... Fufu; commoners truly are born to serve me; aren't they?❤
わたしを遠目に見ながらシコシコシコ❤\nくす、戦闘中だって分かってるのかしら。,You're masturbating over there while gazing at me so intently.❤ *Giggle* Don't you realize we're in the middle of battle?
わたしを守るモンスターの壁が多くて、もう無理だって思っちゃった？\nふふ、平民にふさわしい意志の弱さね。\n勝てない相手にはすぐこびへつらう、それでこそ平民よ❤,Did you see the wall of monsters defending me and realize it was hopeless? Fufu; it seems you have a weak will befitting a commoner; don't you? Being quick to suck up to those they can't defeat... Such a commoner thing to do!❤
ほら、わたしに剣が届かなかった分、\nこうやってかわいがってあげる❤,Here. Since your sword couldn't reach me; I shall give you some love like this.❤
あひぃっ、手に急に握られてぇっ、はううっ❤❤,Waaah! My hand! Haaah...❤❤
ふふ、オナニー中のところ、おチンポ取り上げちゃってごめんなさい❤\nでも、自分の手なんかでイくより、わたしの美しい指で扱かれる方が\nあなたもうれしいでしょう？,Fufu; do excuse me for pulling your hand away while you were masturbating.❤ But I'm sure you'd enjoy having your penis stroked by my fingers so much more; wouldn't you?
こうやってシコシコシコって動かしてあげれば、\nくす、もう我慢汁を漏らしてる❤,If I stroke you like this... *Giggle* You're already leaking precum~❤
平民のザコチンポ、ずいぶん敏感なのね❤\nサキュバスの手に握られたら、ほんの１分も耐えられない❤,Your commoner penis is quite sensitive; isn't it?❤ It won't even last a minute being held in the hands of a succubus~❤
ほらほらほら❤\n扱くの早くしてあげるからさっさと果ててしまいなさい❤\n女の子の手に負けてエナジー吐き出してしまいなさい❤,Come now; that's it~❤ I'll stroke it quickly; so hurry up and let it all out.❤ Give in to these feminine hands and release all your energy~❤
わたしの小さな手の平に、\nその無駄に大きな体から、エナジーを吸い取られてしまうの❤\nほら、イケ❤果てろ❤ロリコンマゾチンポ❤,These small palms of mine will suck the energy right out of your needlessly large body~❤ Come now; do it.❤ Ejaculate~❤ You filthy; masochistic penis!❤
あひぃ・・・・❤❤,Haaah...❤❤
くすくす❤どろどろの濃い精液がたくさん出てる❤\nよかったわね、遠くの地面に無駄撃ちするはめにならなくて。\nちゃんとわたしに吸収してもらえるのよ？感謝なさい❤,*Giggle*❤ So much thick; gooey semen is flowing out!❤ Isn't it wonderful; knowing you won't be wasting it on the floor. I'll absorb it all properly for you; okay? You should be grateful~❤
もちろんそのせいでわたしの体力が回復して、\n状況はもっと悪くなってしまうのだけど。\nあなたの仲間からしたらたまったものじゃないわね。ふふふ❤,Naturally; this will allow me to regain my strength and make things worse for your allies. Your allies will be rather upset with you; don't you think? Fufufu~❤
わたしを守るモンスターがいなくて、\nようやくわたしに刃が届きそうだというのに、\nふふ、よりによってオナニーしちゃうなんて、何を考えているのかしら。,I have no monsters left to protect me; and it seemed like your blade could finally reach me. Yet; of all things; you chose to start masturbating. Just what were you thinking?
いえ、きっと何も考えていないのね❤\nわたしのそばまで来たら、可愛すぎるわたしの姿に\n理性がどこかに行ってしまって、我慢ができなくなったのでしょう？,No; I suppose you weren't thinking; were you?❤ Once you came near me; did my cuteness simply become too much for you to resist?
大きな胸で谷間を見せてあげたわけでもない。\nただ可愛いわたしを見てるだけで興奮しちゃうなんて、\nあなた、ロリコンね❤くすくす❤,I don't even have any impressive curves for you to ogle. Just seeing my cute self was enough to arouse you. You're quite the degenerate; aren't you?❤ *Giggle*❤
あら、わたしにくすくす笑われてうれしいの？\n戦いもしないで自滅するだけあるわ。\nマゾでロリコンなんて救いようがない変態じゃない❤,Oh dear; does my mockery excite you? You're just defeating yourself without a fight; aren't you? A masochist on top of a degenerate; you're nothing but a hopeless pervert~❤
ううぅっ・・・❤,Ugh...❤
ふふ、そのうめき声はなに？\nバカにされて悔しいの？それとも嬉しいの？\nロリコンマゾなんですもの、きっと嬉しいのよね❤,Fufu; what are you moaning for? Are you upset that I'm making fun of you? Or perhaps it makes you happy? You're a degenerate and a masochist; so you must be happy; right?❤
その証拠におちんちんますます固くしちゃってる❤\nビンビンになってシコシコするたびに、\nあっ、あっ、って短い喘ぎ声あげて。あはは、醜悪だわ❤,I can tell by the fact that your dick is getting harder~❤ With each stroke of your hand; it grows more and more as you let out moan after moan. Ahaha; how unsightly~❤
ほら、わたしが飽きないうちに、さっさと果ててしまいなさい。\n今ならあなたが扱くところジーって見ててあげる。\n出すところ、見ててほしいんでしょ？,Come now; hurry it up before I grow bored. For the time being; you have my undivided attention as you stroke yourself to my body. Don't you want me to watch over your ejaculation?
あは、こうやって言ったら、扱くの早くなった❤\nそんなに自分が負けるところ見ててほしいんだ❤\nヘンタイ❤,Aha; your stroking got faster after I said that!❤ You really want me to watch you lose; don't you?❤ Pervert~❤
しこしこしこ❤しこしこしこ❤\n腰がどんどん浮いてきて、ほらもう出ちゃう❤出しちゃう❤\nいいわよ❤イケ❤ロリコンマゾ❤,Stroke stroke stroke~❤ Stroke stroke stroke~❤ Your hips are starting to tremble. Look; it's about to come out.❤ It's so close~❤ That's it.❤ Keep going!❤ Filthy masochist~❤
あひぃぃ・・・・❤❤,Uwaaaa...❤❤
くすくす❤なんともみっともない姿ね❤\nせっかくの攻撃チャンスをふいにして、\n敵にエナジー貢いじゃうなんて❤,*Giggle*❤ A rather shameful display; don't you think?❤ You wasted a golden opportunity to attack; and instead offered your energy to your opponent.❤
シコシコオナニー気持ちよかったかしら？\nわたしに見ててもらえてよかったわね❤\nくすくすくす・・・❤,Did you enjoy masturbating? It was all the better having me watch; wasn't it?❤ *Giggle*...❤
あら、あなたもオナニーしちゃうの？\nふふ、みんなで仲良くしこしこしこ❤\n平民って団結感が強いのね。ぷっ、くすくすくす❤,Oh my; are you masturbating as well? Fufu; it seems everyone wishes to have fun together~❤ Commoners have such a strong sense of unity; don't they? Pfft. *Giggle*❤
それにしても、私に忠誠を誓ったのはどこへ行っちゃったのかしら？\nチンポを押さえて必死に扱いて、\nわたしが可愛すぎて脳みそ何も考えられなくなっちゃった？,That said; just where did your loyalty to me go? You're just holding your penis and stroking it so desperately; now. Were you so overwhelmed by my cuteness that you simply couldn't think straight?
わたしを遠目に見ながら一生懸命手を動かして、\n今が戦闘中だって分かってるのかしら。,You're stroking so furiously over there while leering at me. Don't you realize we're in the middle of battle?
わたしの小さな手の平に、\nその無駄に大きな体から、エナジーを吸い取られてしまうの❤\nほら、白旗上げて屈服するのよ❤ロリコンマゾチンポ❤,These small palms of mine will suck the energy right out of your needlessly large body~❤ Come now; shoot your white fluid of surrender!❤ You filthy masochistic penis~❤
男ってみんなそうなのかしら。\n次々とオナニーで負けて、ふふ、みっともない❤,It would seem all you men are the same. Losing one after another by stroking yourselves to death... Fufu; how embarrassing~❤
くうっ、ひどいじゃない。\nこんなかよわいレディに暴力をふるうだなんて。\n平民ってやっぱり野蛮だわ。,Tsk; how terrible. Unleashing such violence upon a weak lady like myself... Commoners are truly barbaric.
こうなったらやけくそよ。\nほら、見なさい。わたしのスカート。\n今からめくってあなたにわたしの下着を見せてあげる❤,It seems I've been driven to a corner. In which case... Here; have a look. I'll lift up my skirt and show you my panties~❤
こんな誘惑で攻撃が止まるわけなんてないけど・・・。\nってあら？意外と葛藤してる？ふふ、\nとどめを刺す前にわたしのパンツちょっと見たいなって思ってるんだ❤,Not that such an obvious temptation could dissuade him... Hm? Are you conflicted? Fufu; I suppose you'd like a quick peek before finishing me off after all.❤
