default
行商人の娘,Peddler's Daughter
いつもはかっこいいお父さんなのに、かわいい顔で、わたしの名前を何回も呼んでね。びくびくびくって震えて、きもちよさそうな声も出して、すごくおもしろいんだ❤,My father; who's always calm and composed; started calling my name repeatedly with an adorable face. I found  the way he moaned and trembled while doing it really fun❤
おにいさんも同じだね❤\n手を握ってあげたら、すごくうっとりしちゃってる❤\nわたしに手を握ってもらえてうれしい？,Onii-san; you're the same❤ You can't help falling into a daze even when I only hold your hand❤ Does it make you really happy to hold hands with me?
女の子はかわいらしく首をかしげて僕に尋ねる。僕はふわふわとした意識の中、なにも考えられずこくんとうなずいてしまう。,The girl adorably tilted her head as she asked that. My mind was in such a haze that I couldn't think straight; so I nodded.
ほんと？\nあはは、すごいすごい❤\nわたし、カードマスターの人もメロメロにできちゃうんだ❤,Really? Ahaha❤ This is amazing❤ I can make even Cardmaster Onii-san crazy about me❤
ねー、おにいさん。こっち来て？\nあっちの人が少ないところで、わたしとふたりきりで遊ぼう？,Hey; Onii-san. Why don't we go over to that corner? There aren't many people; so we can play with just the two of us there❤
わたしの手、もう離したくないよね❤\nほら、おにいさんのこと向こうまで引っぱって行ってあげるね❤,You don't want to let go of my hand; right? You can hold it tightly while I lead you there❤
女の子は僕の手を引いて優しく物陰に連れて行こうとする。この状況に僕は・・・。,The girl started gently pulling me over to a blind spot at the corner of the room. In that situation; I...
ふらふらとついて行った,Tottered after her
理性を取り戻し手を振り払った,Shook off her hand
うわわっ。えー、わたしと一緒に遊びたくないの？\nあんなに気持ちよさそうな顔してたのに、\n手を離しちゃうなんて・・・。,Uah! Eeh? Don't you don't want to play with me? You let go of my hand even when you looked so happy while holding onto it...
うう、お父さんだけにしか、この魔法って効果がないのかな？\nお兄さんと「イイこと」して、\nあそびたかったなー・・・。ざんねん。,Uuuh... Maybe this magic doesn't work on anyone else but Father? Onii-san; I really wanted to play and do lots of "fun things" with you... But it looks like you're not up for it...
そう言いながら女の子は自分の両手を組んで、にぎにぎと見せつけてくる。さっきまで感じていた彼女の手の平の気持ちよさが思い出されて、ついまた手を握りたくなってしまう。,The girl rubbed her hands together as she said that. Seeing that; I couldn't help recalling how good and soft her hand felt; which made me want to hold onto it again.
しかし僕は気を強く持って女の子から離れて受付の方に戻った。ただの小さい女の子のはずだがなぜだか危険な感じがする。これ以上近づかない方がいいだろう。,However; I held my ground and pulled back from the girl; moving towards the counter. Even though she was just a small girl; I sensed danger. I think I better avoid approaching her again.
えへへ、やっぱり遊びたくなったの？\nもじもじしながらわたしのところにやってきて、\nおにいさんかわいいんだね❤,Ehehe❤ Onii-san; do you want to play with me after all? The way you fidgeted while heading to me was adorable❤
ほら、さびしそうにしてるおててを、\nぎゅって握ってあげる❤\nきもちいいのでいっぱいになってねー❤,Here you go❤ Your hand is looking lonely; so I'll hold onto it❤ Enjoy how good holding hands with me feels❤
そう言って女の子は僕の手を取り、片手をぴとっとふれさせてきた。,The girl took my hand into her own after saying that.
触れるだけで手の平がぽわっとあたたかくなり、心地よい快感が流れ込んでくる。,Just by holding hands with her; I started to feel a warm and pleasant sensation flowing into my body through my palm.
（ううぅ❤体に力が入らない・・・❤きもちいい・・・❤）,（Uuh❤ I'm feeling weak...❤ But it feels good...❤)
うっとりしている僕を見て、女の子はにこりと笑い、さらに恋人同士がするようにぎゅっと指をからませてきた。,When the girl saw how I was falling into such a dreamy state; she beamed with a wide smile and; furthermore; intertwined her fingers with me like a lover.
指と指の間に女の子の指がすべりこみ、にぎにぎと軽い圧力を加えてくる。たったそれだけでまるで心を直接もみほぐされているように、体中が脱力してしまい、僕は夢心地にされてしまった。,After her fingers were snugly between mine; she gave me a gentle squeeze. That was all it took to put me in a trance. My whole body relaxed as if she had directly massaged my mind.
おにいさん。すごくだらしない顔してる❤\nほら、こっちに来て？\n人が少ないところで、わたしとふたりきりで遊ぼう？,Onii-san; you're making a really sloppy face❤ Now; let's go to that corner❤ There aren't many people there; so we can play with just the two of us❤
わたしの手、もう離したくないよね❤\nおにいさんのこと向こうまで引っぱって行ってあげるね❤,You don't want to let go of my hand; right? You can hold it tightly while I lead you there❤
くす❤いいこ、いいこ❤\nこっちだよ、おにいさん❤,Ehehe❤ Yes; follow me❤ It's right here; Onii-san❤
ほら、机の下に隠れて？\nここならほかの人にないしょであそべるよ❤,Let's hide under this table❤ Here; we can play without anyone noticing❤
えへへ、なんだか二人でかくれんぼしてるみたいで\nわくわくしちゃうね❤\n鬼さんがいないから、ずっと終わらないかくれんぼだね❤,Ehehe❤ It's exciting; like we're playing hide-and-seek❤ But no one is coming to find us; so we stay here as long as we want❤
あう、ああ・・・・❤,Ah... Aaah...❤
僕は女の子の言葉をぼんやりした頭で聞いていた。彼女にずっと手を握られているからか、体がぽかぽかと気持ちよくて仕方がない。,I listened to the girl in a dreamy state of mind. Holding hands with her was making me feel so warm and good.
魔力のバリアも何もなしに、彼女の手を握ったのがいけなかったのだろうか。ああ・・・、だめだ思考がまとまらない・・・❤,Maybe I should use a magic barrier... Aaah❤ No; I can't think straight anymore...❤
んもう、口からよだれが垂れてるよ？\nわたしより大きいのに恥ずかしいおにいさん❤,Geez; Onii-san. You're drooling. That's shameful when you're so much older than me❤
ズボンのところもすごく大きくなってる❤\nこんなに腫れてたらズボンがきつくて痛くなっちゃうよね。\n痛くないようになでなでってしてあげるね❤,And your pants are bulging really badly too❤ It looks really tight and painful❤ Let me try patting the pain away for you❤
片方の手はつないだまま、もう片方の手で、\nなでなで❤,I'll keep holding hands with you with one hand; and with the other... Pat; pat❤
うあっ❤はぅうう・・・❤,Uah❤ Aaaah...❤
(なんだこれ、力が抜けて・・・❤\nううっ、きもちいい・・・❤),(What is this... I'm feeling weak...❤ Uuuh... But it feels good...❤)
くすくす❤\nだらんってしちゃって、気持ちよさそうな顔❤\nおまたのところなでなでしてもらえてうれしい？,Ehehe❤ Your face is getting sloppy like this feels good❤ Does it make you feel happy when I pat your groin?
手を握ってもらったりなでなでってしてもらうのがうれしいなんて、\n小さい子供みたいなおにいさんだね❤,Onii-san; you're like a little boy when holding hands and getting patted makes you this happy❤
もっとなでなでってしてあげる❤\n手の平をぴとってくっつけって、\nやさしく、なで、なで❤,I'll give you many more pats❤ I'll gently use my whole palm to do it❤ There; there❤
はひぃっ❤あっ、ああっ、うぅぅ❤,Aaah❤ Ah; Aaah; Uuuuh❤
んふふふ❤お兄さんと手をつないでいるとね、\nなんだかすっごく「おいしい」のが、\n体に流れ込んでくるの❤,Ehehe❤ When I hold your hand; it feels like something really "delicious" is flowing into me❤
手をにぎってズボンをさわって、\nそれでおいしいって感じるのなんて変だよね？\nでもさわってるところから何か流れてきて、それが「おいしい」の❤,It's weird to think of holding hands and touching pants as delicious; right? But I feel something flow into me from where I touch you; and that something is "delicious❤"
お父さんよりもお兄さんの方がずっとおいしいかも❤\nなんでだろうね、分からないけど、\nもっともっとほしいな～❤ほら・・・❤,Onii-san; you might be even more delicious than Father❤ I wonder why? I'm not sure... But I want more❤
早くごしごしってしてあげる❤\nこうしたらもっとおいしいのが流れてくるかな～❤,I'll try patting faster❤ Maybe more of that "delicious something" will flow out with it❤
なでなでなで❤なでなでなで❤\nもっともっとちょうだ～い❤,Pat; pat; pat❤ Pat; pat; pat❤ Give me a lot more of it❤
はひぃっ❤あっ、ああっ、きもちよすぎる❤\nこんな、闘技場の受付でなんてっ❤\nああ❤だめなのにっ、もうっ❤,Aaaah❤ Ah; aaah❤ It feels too good❤ I'm at the arena reception room and I'm...❤ Aah❤ I shouldn't; but...❤
んー？なにがダメなの？\nお兄さん、全然ダメそうな顔してないよ❤,Hmm? Onii-san; is this something you don't want to do? It doesn't look like you're against it by the look of your face❤
わたしに手でなでなでしてもらえて、\nすごく嬉しそうな顔してる❤,You look really happy when I'm giving you pats❤
おちんちんをなでなですると\nたくさん「おいしい」のが流れてくるから、\nほら、もっとしちゃうよ❤,Patting your penis is making a lot of the "delicious something" flow out; so I'm going to pat it a lot more❤ There; there❤
うあ、ああっ、きもちいいっ❤はひぃっ❤❤,Ah; Aaah❤ It feels so good❤ Aaaah❤
きゃ、なになに？\nおちんちんがびくんってなって、ズボンが濡れちゃった。,Kyah?! What happened? Your penis twitched; and then your pants became wet.
もしかしてお兄さん、気持ちよすぎてお漏らししちゃったの？\nくすくす❤大人なのに赤ちゃんみたいだね❤,Onii-san; could it be that getting patted felt so good that it made you pee your pants? Ehehe❤ You're like a baby despite being a grown man❤
あれー・・・。このお漏らしなんだかべとべとしてる。\nそれに変なにおいで・・・。\nんっ、ぺろ、おいしい・・・❤,Hmm... This pee that you leaked is kind of sticky. And it also smells weird... Mmmh❤ Lick❤ Delicious...❤
あはは、わたしおかしくなっちゃったのかな。\nお兄さんの出したこれがすっごくおいしい❤\nそんなのって変だよね。でも、もっとほしい・・・❤,Ahaha❤ There must be something wrong with me. I'm finding this pee that you leaked delicious❤ That can't be normal; right? But I want more...❤
女の子は射精したばかりの僕のズボンに顔を近づけ、唇をぴとっと押し付けてきた。,The girl stuck her face to my groin and pressed her lips onto my pants stained with semen.
唇が淡くピンク色に発光し、僕の体中をぞわぞわとした快感が走る。体中から力を吸い出されているような感覚で、あまりの気持ちよさに腰が抜けそうになってしまう。,Then; her lips glowed in a faint pink light; and pleasure overtook my whole body. The sensation was as if she was sucking my strength; and it felt so amazing that my legs were about to give in.
はへぇ・・・❤❤,Aaaah...❤❤❤
んふふ、すごく「おいしい」❤\nズボンの上からなのに、おもらしした分を全部吸い取れちゃった。\nこれも魔法なのかな？,Ehehe❤ It was really "delicious"❤ I touched only the surface of your pants; but I managed to absorb all the pee from the inside too. Could this be some sort of magic?
おにいさんもとってもきもちよさそうな顔してるね❤\nこうやって吸ってもらえるのってされる方も気持ちいいんだ❤\nおもしろーい❤,Onii-san; your face tells me how you loved how it felt❤ So this is something that feels good too❤ That's funny❤
あ、そろそろおうちに帰らないと。\nおにいさんはわたしとあそべて楽しかった？\nおにいさんがしてほしければまたあそんであげるからね❤,Ah; I need to go back home soon. Onii-san; did you have fun playing with me? If you would like; we can play again❤
おうちの場所おしえてあげるから、\nいつでも遊びに来ていいよ❤\nばいば～い❤,I'll tell you where my house is❤ You can come over any time you want to❤ Bye bye❤
（・・・・。\nこの先に行けば、闘技場で会った女の子の家だ。）,(...The house of that girl I met at the arena is in this direction.)
(手を握られただけで、体に力を入れられなくなって\nどう考えても普通の女の子じゃなかった。\n家を教えてもらったけれど、本当に行って大丈夫なのだろうか),(She can't be an ordinary girl when simply holding hands with her made me feel weak. She told me where she lives; but should I really be going to her house?)
(それにあの子に会ってからどうも魔力の調子がおかしい。\n以前よりも出せる魔力の量が落ちたというか・・・。\n取り返しのつかないことになりそうな気がする),(Besides; my mana has been feeling weird ever since I saw her last time... It's as if my output has dropped permanently.)
女の子の家に行く,Visit the girl
やめておく,Turn back
(ううっ・・・❤だめだ、会いたくてがまんできない・・・❤),(Uuh...❤ I want to see her again so badly...❤)
くすくす❤闘技場で会ったおにいさんだ。\n本当にきちゃったんだ。\nあそびにきてくれてうれしいな～❤,Ehehe❤ It's you; Onii-san❤ You really came❤ I'm happy that you're here to play with me❤
わたしにまたおててをつないでほしいんだよね❤\nいいよ、ほら、手を出して・・・❤,You want to hold hands with me; right? We can do that❤ Give me your hand❤
はい、ぎゅ～❤,Here you go❤ Squeeze❤
はひぃ・・・❤\nうう、やっぱりきもちいい・・・❤❤,Aaah...❤ Uuuh; it feels so good...❤❤❤
女の子に手を握られて、僕の体から何かを吸い出されている感覚がする。身を任せてはいけないと思うのに、体をつつむ快感に僕は抗えなくされてしまう。,It was as if something was flowing out of my body when I held hands the girl's hand. Even when I sensed that it was bad to give in to that sensation; I couldn't resist the pleasure that took over my body.
家の玄関をくぐったすぐそばで、僕はあまりの気持ちよさにその場で膝をついてへたりこんでしまう。僕よりも小さい女の子に手を握られているだけなのに・・・。,We hadn't even moved from her house's entrance before I fell on my knees. Even when she was so much younger than me and simply holding my hand; I couldn't help my legs buckling.
おにいさん、へなへな～ってなっちゃっておもしろい❤\nいまおとうさんはお店に行ってるから、\nおにいさんとたくさんあそぶんだ～。,Onii-san; it's funny when you get weak like that❤ My father is looking after his shop right now; so we can take our time playing❤
あー、またおちんちんが腫れちゃってる❤\nパンパンになって痛い？いいこいいこってしてあげるね❤\nくすくす❤,
はうぅぅ・・・❤,Ah; your penis is getting big❤ Doesn't it hurt when it's bulging so much? Let me give it lots of pats again❤ Ehehe❤
その後ぼくは夜になるまで彼女に「あそんで」もらった。ズボンはべたべたになったが彼女が手を当てるだけでその精液はきれいに吸い取られてしまった。,After that; I "played" with the girl until the day turned to dark. Even when I had dirtied my pants; she only needed to touch them with her hand to absorb and clean off all the semen.
体中が異様なほど重く感じる、ぼくはふらふらになりながらなんとか宿屋に戻ったのだった。,I felt strangely exhausted when I returned to the inn with an unsteady step.
（・・・・。\nこの先に行けば、あの女の子の家だ。）,（...That girl's house is in this direction.)
おにいさん、また来てくれたんだ❤\n何回もあそびに来てくれるなんて\nわたしのことだいすきになっちゃったね❤,Onii-san; you came again❤ You must really like me since you're coming to play so often❤
きょうはねー、服の上からなでなでするだけじゃなくて、\nおちんちんがどうなってるか直接見てみたいの。,I've been patting your penis through the clothes until now; but today I want to see what your penis looks like.
ぷくぅってまるくふくらんでるのかな？\nほら、見せて見せて❤,I wonder if it's round and swollen? Hey; please show it to me❤
わぁ、おもったよりビンってまっすぐ伸びてる・・・❤\nへぇー、おちんちんってこんな風になっちゃうんだ❤,Woah; I didn't think it would be so long and pointy...❤ So this is how it looks❤
（うう、そんなにまじまじ見られたら・・・❤）,（Uuh... She's staring at my penis so hard...❤）
んー？おにいさんどうしたの？\nおちんちんががぷるぷる震えてるよ？,Mmmh? Onii-san; what's wrong? Your penis is twitching.
あ、そっか、わたしにさわってほしいんだ～❤\nいつもズボンの上からだったもんね❤\n直接さわったらもっと気持ちよくなっちゃうのかな❤,Ah; I see. You want me to touch it; right? I've always been patting it through your pants; after all❤ Maybe it would feel even better if I touched it directly❤
えっとどこをなでたらいいんだろ。\nさきっぽのここかな、えい、むぎゅう～❤,Um... I wonder which part should I touch? Let's try the tip❤ Squeeze❤
はひぃ❤あつ、あああっ❤❤,Aaah❤Ah; aaaaah❤❤❤
あは、すごいすごーい❤\nにぎにぎってしたら、すぐおもらししちゃった❤,Ahaha❤ Amazing❤ You leaked the pee right after I squeezed the tip❤
おにいさんがいつもしてるおいしい「おもらし」って\nこんなに白くてどろどろだったんだねー。\nんっ、やっぱりおいしいー❤,So the delicious pee you leak is this kind of white and sticky liquid. Mmmh❤ It really is delicious❤
おちんちんの先っぽってなんだかぷにぷにしてるね❤\nこの段差になっているところとかどうなってるんだろ。\n知りたいからいっぱいさわらせてね❤,The tip of your penis is kind of soft and squishy❤ I wonder what would happen if I touched it right after you leaked the white pee... I want to know so I'll try it❤
あひ、あうぅうう❤,Ah❤ Aaaaah❤
おにいさん、また来てくれたんだ❤\n何回もあそびに来てくれるなんて\nわたしのことそんなにすきなの？,Onii-san; you're here again❤ Have you fallen in love with me since you're coming to play with me so often?
くすくす❤こくんこくんってうなずいてる❤\nだいすきって言ってくれてうれしい❤,Ehehe❤ Look at you nodding so hard❤ I'm happy to hear that you love me❤
きょうは、どうやってあそぼうか？\nおちんちんの先っぽはたくさん触ってあげたから、\nきょうは下の棒みたいなところをいじろっかなー。,How should we play today? I touched the tip last time; so I want to try touching the rod-like part below today!
へー、棒の裏のところってなんだか管みたいなのがついてる。\nここを白いおしっこが流れてくるのかな❤,Ooh; I can feel a tube-like thing at the back of the rod. Is this where the white pee comes out?
たくさん出るように、指でなでなでってしてあげたら、\n気持ちいい？\nほら、なでなでなで❤,Would it feel good if I pat that part with my finger? Let's see❤ Pat; pat; pat❤
あは、どんどん出てくる❤すごーい❤,Ahaha❤ There's so much coming out❤ Amazing❤
指一本でなでなですれば、\nそれだけでおもらししちゃうみたい❤\nもう片っぽの手は、おにいさんの手を握っててあげるね❤,I only patted your penis with a single finger; and so much of your white pee came out❤ Let's try that again❤ I'll hold your hand while at it too❤
おにいさん、また来てくれたんだ❤\nわたしに夢中になってくれて、うれしいな～❤,Onii-san; you're here again❤ I'm happy since you've become so crazy about me❤
きょうは、どうやってあそぼうか？\nおちんちん握ってあげてもいいし、\n手の平だけにぎって、おもらしさせちゃおかなー❤,What should we play today? Why don't we see if I can make you leak your white pee by simply holding on to your penis and giving it slight squeezes?❤
くすくす❤手をぎゅってしてるだけでどんどん出しちゃうね❤\nわたしのこと大好きすぎて、\nおててつないでるだけで幸せになっちゃうの？,Ehehe❤ You leaked so much even when I only squeezed your penis❤ Do you love me so much that simply touching my hand makes you happy?
もっともっと握ってあげる❤\nとろーんってしたそのかわいい顔、\nわたしにたくさん見せて？ほら・・・❤,I'll give you a lot more squeezes; so let me see your adorable; sloppy face more.
