default
鍛冶師ノーム,Blacksmith Gnome
ほら、その状態でシコってみろよ❤\n根元に手を当ててしこしこしこーってな。,Go on; try stroking it now~❤ Put your hand at the base and just stroke stroke stroke.
うあっ、これやばいっ❤❤さきっぽがうまってぇ❤❤あへぇ❤,Aah; this is dangerous.❤❤ My tip is buried so deep!❤❤ Aahhh!❤
はっ❤谷間の中にこんなに出しやがって❤\n下から入れたのに上まで突き抜けてるじゃねえか❤,Hah~❤ You shot so much cum into my cleavage!❤ You went in from the bottom; but it's leaking all the way through to the top~❤
あたしのおっぱいを使ったオナニー、そんだけ気持ちよかったのか？\nアンタみたいな弱い男にゃ、もったいないぐらいだったな❤,Did masturbating into my tits feel that good? Everything I had to offer; wasted on a weak guy like you~❤
おっと、あへあへ言いながら崩れ落ちちまった。\n無敗のルーキーなんてのは、肩書だけ。\nアンタはただのおっぱいマゾのロリコン野郎だよ❤ざーこ❤,Oops; you collapsed; just moaning away. Guess "undefeated rookie" is just a title after all. You're nothing but a titty-masochist!❤ Weakling~❤
ん？なんだか他の男たちの目がこのおっぱいに集中してる気がするぜ❤\nアンタらも谷間に突っ込んでシコってみるか？\nさすがにそんなバカなことしねえよなぁ。くく❤,Hm? I feel like the other guys are all ogling my tits now.❤ Hey; you guys want to shove your cocks in my cleavage and jerk off; too? You wouldn't do something that stupid; wouldja? Kuku~❤
ああ、ううっ・・・❤我慢できない・・・❤,Ahh; uugh...❤ I can't resist...❤
おいおいマジかよ。お前もあたしのおっぱいに負けちまうのか？\n人の前にやってきて、情けねえ顔でチンポしこりやがって、\nこの変態❤,Jeez; seriously? You're gonna lose to my tits; too? Coming up in front of everyone; stroking your cock; making that pathetic face... What a perv~❤
自分で言うのもなんだが、あたしそんな強いモンスターじゃねえぜ？\nそれを次から次にしこしこ、しこしこ自滅して・・・。\nアンタら全員バカなんじゃねえのか？,I hate to say it; but I'm not that strong of a monster. Yet one after another you all keep stroking. Just stroking yourselves til you pass out... Are you all just idiots?
おら、さっさと終わらせてやるよ❤\nアンタもここに突っ込みたいんだろ？\nこの身長に不釣り合いな爆乳によ…❤,Come on; I'll finish you off quick!❤ You want to shove it in here too; right? Between these massive tits that are way too big for my height...❤
ばるんばるん弾む胸を、むりやりサラシでおさえてるからな、\nぎちぎち詰まっている感じがたまらねえよな❤\nここにチンポ入れてぇってなるのも、分からなくはないぜ。,My super bouncy breasts are forced down by my bandages; so they're packed super tight~❤ I can understand wanting to stick your cock in here.
ただ試合の途中でやるのは分からねえな。\nあたしのマスターが試合のあとでパイズリしてやるって言ってんだから\nちょっとの間ぐらい我慢しろよ。なさけねえ❤,But doing it in the middle of a match makes no sense. My master said she'd give you titfuck after the fight; so you just gotta wait a little bit! Pathetic!❤
ううぅ・・・❤,Uugh...❤
は、このまま放っておいたら、\n谷間に挟んでやる前にイっちまいそうだな。\nそれもかわいそうだ、ほら・・・❤,Hah; if I leave you like this; you'll cum before I even trap your dick between my tits. That'd just be sad; so here...❤
さっさと先っぽ突っ込んでシコリな？\n下級モンスター相手にシコって負けちまう、雑魚マスター❤,Hurry up and shove your tip in and stroke; OK? Jeez; jerking it to a low-level monster and losing... What a weak master~❤
さっさと先っぽ突っ込んでシコリな？\n下級モンスター相手にシコって負けちまう、雑魚モンスター❤,Hurry up and shove your tip in and stroke; OK? Jeez; jerking it to a low-level monster and losing... What a weak monster~❤
ほら、服をつかんで入れやすいように胸を持ち上げてやるよ❤\n谷間の下から差し込みな。\nそう、ゆっくりとだ・・・❤,Here; I'll grab my bandages and lift my tits to make it easier to get in~❤ Go on and slide it in from the bottom. That's it. Nice and slow...❤
先っぽが谷間ににゅぷにゅぷって入り込んで、\n両側からみっちり胸に包囲されて、たまらねえだろ❤\n腰が抜けそうか？,Your tip is sliding into my cleavage! It's making such wet sounds while getting crushed so tightly from both sides. It's pretty unbearable; ain't it?❤ Are your hips giving out?
あっ、あっ、きもちいいっ❤あへぇ❤❤,Ahh; ahh; it feels so good!❤ Aahhh!❤❤
ふん❤谷間の中にこんなに出しやがって❤\nびゅーびゅーってすごい勢いじゃねえか。\nそんなに気持ちよかったか？変態❤,Hmph.❤ You actually filled my cleavage with your cum~❤ It's coming out so hard! Did it seriously feel that good? Perv~❤
ふふ、あへあへ言いながら崩れ落ちちまった。\n無敗のルーキーなんてのは、名前だけだったな。\nただのおっぱいマゾのロリコン野郎じゃねえか❤,Fufufu; you collapsed while panting so pathetically. Guess that "undefeated rookie" title was just for show; huh? You're nothing but a titty-loving pervert who gets off on shortstacks!❤
もうこんだけ負けたら試合も何もねえな。\nおら、全員さっさとしこれよ❤\nこの谷間でどんどん搾り取ってやるぜ❤,After losing so many allies; there's not much point in continuing the match. Come on; everyone! Might as well start stroking yourselves now!❤ I'll use my cleavage to drain every last drop~❤
うぐ、やるじゃねえか。\nさすがは無敗のルーキー、\nあたしのマスターが戦うのを楽しみにしてた相手なだけあるぜ。,Ugh; not bad. You really live up to that title of yours. No wonder my master was looking forward to fighting you.
うぐ、やるじゃねえか。\nさすがは無敗のルーキーのモンスター、\nあたしのマスターが戦うのを楽しみにしてた相手なだけあるぜ。,Ugh; not bad. You really live up to your master's title. No wonder my master was looking forward to fighting him.
もう降参だ、降参。あたしの手には余る。\nあとは好きにしちまっていいぜ。\n煮るなり焼くなり、なんでもござれだ。,I give up; I surrender. You're way too much for me to handle. Go on. Do whatever you want with me. Roast me; boil me; whatever you please.
ああ、もちろん・・・❤\nこの胸を好きに使ってもいいぜ。,Ah; of course...❤ You're more than welcome to use my breasts however you like; too.
あたしからは何もしねえからよ。\nアンタが満足するまでおっぱいを触って、\nそれからとどめをさせばいいさ。,I won't do anything to you. Honest. You can touch my chest til you're satisfied; then finish me off.
あたしは誇り高い職人のノーム。嘘はつかねえ。\nさ、勝者の権利だ。好きにしな❤,I'm a proud craftsman dwarf; I never lie. Go ahead; it's the winner's right. Do as you please~❤
誘惑を無視して攻撃した,Ignore the temptation and attack
胸に手を伸ばしてしまった,'Her chest... Whatever I want…?'
ううっ、一揉みもしないでとどめを刺すとか、もったいねえぜ・・・。,Ugh; finishing me off without even a single squeeze. What a waste...
は、棒立ちになっていつまでも悩んでんじゃねえよ。\nそんだけ悩むってことは触りたいってことだろ？,Hey; stop standing there like an idiot thinking forever. If you're that torn about it; that just means you want to touch them; right?
ほら、アンタの手を取って、あたしのおっぱいに…❤\nむにゅうぅってな❤,Here; let me take your hand and just guide it to my breasts...❤ Feel how squishy they are~❤
くく、素直な男は好きだぜ？\nほら、あたしも胸を突き出して、触りやすいようにしといてやるよ❤,Kuku; I like honest guys like you. Look; I'll even push my chest out to make it easier for you to touch!❤
満足するまで揉みな？\nあたしのチビ巨乳、たまらなく気持ちいいぜ？,Grope them until you're satisfied; alright? My massive tits feel pretty incredible; huh?
うあっ・・・❤すご、やわらかい・・・❤,Ohh...❤ So soft...❤
くすくす❤そうだろう？\n筋肉じゃねえからな、ふわふわでやわらかいんだ❤,*Giggle*❤ See? It's not muscle like you might think; so they're fluffy and soft~❤
だけど、普通のおっぱいより張りがある方だと思うぜ？\nジャンプしたりしたら、すげー弾むしよ。\nぷるんぷるんの、ばるんばるんって感じで・・・。,But I think they might still be firmer than normal breasts. Look. When I jump; they bounce like crazy! They go boingy-boingy and bouncy-bouncy...
ふふ、なんだよ、おっぱい揉みながら乳揺れを想像しちまったか？\nチンポおっ勃てやがって、\n揺らしたければ、こうやって揺らせばいいじゃねえか。,Fufu; what's up? Did you just imagine them jiggling while you're mid-grope? Your cock's getting so hard. You know; if you want to see them bounce; you can just do it yourself.
アンタの手を貸しな。そうこうやって下から持ち上げて、\nゆさゆさゆさって弾ませるのさ。\nどうだ？すげー弾み具合だろ❤,Gimme your hands. Just lift them from below like this; and make them bounce up and down. How's that? Pretty amazing how much they bounce; right?❤
うはぁっ・・・❤これ、えろすぎる❤,Oh; ahh...❤ Too sexy...❤
ぷぷ、バカみたいに釘付けになってよ❤男はほんとおっぱい好きだな❤\nこんな重たいだけのもののどこがいいんだか。,Pfft; you're staring like an idiot!❤ Men really do love breasts; huh?❤ What's so good about these heavy things anyway?
手で揉ませればいつまでも揉んじまうし、\nチンポ挟ませれば壊れたみたいに腰を振る。\nおっぱいおっぱいってガキばっかりかよ❤,If you let a guy grope them; they'll fondle forever. Let them stick their dick between them and they'll thrust their hips like they're broken. "Boobs; boobs"—are all of you just big babies?❤
あんたもそうだよな❤\nさっきまであんなに強くてカッコいい感じだったのに、\n今じゃ乳に夢中で何も考えてねえ間抜け面だ❤,You're the same way; aren't you?❤ Just a moment ago you seemed so strong and cool; but now you're just a drooling idiot; mesmerized by tits~❤
なあ、そろそろ手を離してあたしにとどめを刺さないのか？\nあんまり乳を揉んでいると、\nアンタのチンポも限界を迎えちまうぞ？,Hey; aren't you going to let go and finish me off soon? If you just keep groping my breasts; your cock'll reach its limit; won't it?
おっぱいを揉むたびにヒクヒク震えて、\n我慢汁もだらだらになってやがる❤\nあは、射精したくて頭沸騰しそうか？,Every time you squeeze my chest; your dick twitches and trembles; dripping precum everywhere~ Aha; is the tip about to explode from wanting to cum so bad?
アンタは勝者なんだ。\nなんならこのおっぱいにチンポ突っ込んでもいいんだぜ。\nさっきからゆさゆさたぷたぷしてるこのおっぱいによ❤,You're the winner; you know. If you want; you can do whatever; even stick your cock between these bouncy; squishy tits that have been jiggling this whole time~❤
ほら、もし突っ込んだらどうなるか実演してやる。\n体を軽く上下にゆさぶってっと♪\nこんな風にもみくちゃになるんだぜ❤,Here; let me show you what would happen if you stuck it in. I'll lightly bounce my body; up and down~♪ See? Your cock would get jostled around; like this!❤
アンタのチンポがハンマーみてえに重たいおっぱいで、\n両側からぱちゅん、ぱちゅん叩かれちまう❤\nズられて磨かれて、ぐちゅぐちゅにされちまう❤,It'd be pounded by my heavy tits; getting slapped from both sides; like hammers working hot iron—squish; squish; slam!❤ Rubbed and polished until it's all gooey!❤
あううっ、はひぃ・・・・❤❤,Ooh; ahhh...❤❤
想像するだけでたまらねえだろ？\nほら、おっぱいに入れちまえよ❤\nいつでも歓迎だぜ❤って・・・・。,Just imagining it is unbearable; right? Come on; stick it in my tits!❤ It's your right; after all...❤
あっ、あっ、ああっ・・・❤とまらない・・・❤❤,Ah; ah; aahh...❤ I can't hold back...❤❤
ぷぷ、なんだよ、妄想しただけでイっちまったのか？\n情けねえなぁ❤,Pfft; wait; seriously? You came just thinking about it? How pathetic~❤
乳が好きだからって揉むだけでイクとか、この体たらく、\nあと一歩で勝てそうだったのに、バカみたいな負け方しちまったな❤,You love breasts so much that you'd cum just from groping them... What a sorry state you're in. You were one step away from victory; but now you've lost in such a stupid way~❤
うぐ、アンタもやるじゃねえか。\nさすがは無敗のルーキー、強ええやつぞろいだな。,Ugh; you're pretty good; too. As expected of the undefeated rookie; you're all pretty strong.
ああ、もちろん・・・❤\nさっきの男みたいに、この胸を好きに使ってもいいんだぜ。,Ah; of course...❤ Just like that other guy; you're more than welcome to use my breasts however you like.
さっきのやつは乳を揉んでいるだけで射精しちまったが、\nアンタはそこまで弱くねえだろ？\nほら、勝者の権利だ。楽しんじまえよ❤,That last guy came just from groping my tits; but you're not that weak; are you? Come on; it's the winner's right. Enjoy yourself!❤
ぷぷ、バカみたいに釘付けになってよ❤男はほんとおっぱい好きだな❤\nアンタもさっきのやつも、\nこんな重たいだけのもののどこがいいんだか。,Pfft; you're staring like such an idiot!❤ Men really do love breasts; huh?❤ You and that last guy both... What's so good about these heavy things anyway?
あんたたちもそうだよな❤\nさっきまであんなに強くてカッコいい感じだったのに、\n今じゃ乳に夢中で何も考えてねえ間抜け面だ❤,You guys are all the same!❤ You seemed so strong and cool just a moment ago; but now you're just another drooling idiot mesmerized by my tits~❤
なあ、そろそろ手を離して、あたしにとどめを刺さないのか？\nあんまり乳を揉んでいると、\nアンタのチンポも限界を迎えちまうぞ？,Hey; aren't you going to let go soon so you can finish me off? If you keep groping my chest; your cock'll reach its limit too; you know.
アンタのチンポがハンマーみてえに重いおっぱいで、\n両側からぱちゅん、ぱちゅん叩かれちまう❤\n擦れて磨かれて、ぐちゅぐちゅにされちまう❤,It'd be pounded by my heavy tits; getting slapped from both sides; like hammers working hot iron—squish; squish; slam!❤ Rubbed and polished until it's all gooey!❤
ぷぷ、なんだよ、お飴も妄想しただけでイっちまったのか？\n情けねえなぁ❤,Pfft; what happened? Did you cum just thinking about it; too? How pathetic~❤
乳が好きだからってこの体たらく、\nあと一歩で勝てそうだったのに、バカみたいな負け方しちまったな❤,You love breasts way too much... What a sorry state you're in. You were one step away from victory; but now you've lost in such a stupid way~❤
ほら、服をひっぱって谷間見せてやるよ❤\n背は小さいけどおっぱいは特大サイズ、\n谷間も深くてえっろいだろ？,Here; I'll pull my bandages down and show you my cleavage~❤ I may be short; but my chest is extra big; and my cleavage is so deep and sexy; right?
身長差があるから、ぱふぱふするのは簡単じゃねえが、\n今からあんたの体に飛びついて、\n顔面をおっぱいで幸せにしてやる❤,The height difference makes it hard for me to stick your face in here; but I'm gonna jump onto your body and smother you with my tits til you see heaven~❤
あたしの体を振り払わない限り、\n甘い匂いとおっぱいのやわらけえ感触に顔が埋まり続けて、\nずーっとぱふぱふ時間だ❤どうだ？想像するだけでやばいだろ？,Your face will stay buried in the sweet scent and soft sensation of my breasts; smothered to death; unless you can shake me off!❤ How's that? Just imagining it's driving you crazy; right?
あたしの胸に先っぽ突っ込んでオナニー❤\nいい思いができてよかったなぁ、ロリコン❤,You actually stuck your tip between my tits and jerked yourself off!❤ Well I'm glad you had a good time; at least. You perv~❤
強ええかと思ったら、乳を揉んでいるだけで射精しやがって❤\nそんなに揉み心地がよかったか？くすくす❤情けねー❤,I thought you'd be strong; but you came from just groping my tits!❤ Did squeezing them really feel that good? *Giggle*❤ Pathetic~❤
おっと、どぴゅどぴゅ出しちまったみたいだな❤\nさらしでぎちぎちに締めたあたしの谷間、たまらなかっただろ？\nくすくす❤,Oops; looks like you spurted quite a bit!❤ My cleavage was just irresistible; wasn't it? All tightly bound with bandages. *Giggle*❤
あはは、ほんとにシコって射精しちまった❤\n胸を揺らすだけで無敗のルーキーに勝てるなんてな❤\n思ったよりずっとおっぱいに弱い男だったぜ。,Ahaha; you really jerked yourself off until you came!❤ Who knew I could beat the undefeated rookie just by bouncing my tits a little?❤ You were much weaker to boobs than I thought you'd be.
胸の大きいノームに敗れた僕は、エナジーを奪われ闘技場の地面に膝をついていた。,After being defeated by the shorstack gnome; I was left kneeling on the arena floor; my energy drained.
決着ー！！勝者はジェミニ選手！,The match is over!! The winner is Gemini!
西の鉱山地帯の守護者はダテではない！\n下級モンスターの力で{主人公}選手をねじ伏せました！\nついに、彼の無敗の記録もここで終了です！,The guardian of the western mining region truly is no joke! She managed to overwhelm {主人公} with the power of a low-level monster! At long last; his undefeated record comes to an end!
ふふ、おっぱいの大きい子に負けちゃったねー。\n試合前にちょっとおっぱいの話しすぎちゃったかなー。,Fufu; you lost to a girl with big breasts. Maybe I talked about boobs a little too much before the match.
だって、我慢できなくなってシコシコして負けちゃうぐらいだもんね。\n早く気持ちよくなりたくて、もう試合とかどうでもよくなっちゃった？\nくすくす❤,You couldn't resist and just stroked yourself to exhaustion. Did you want to feel good so badly that you stopped caring about the match? *Giggle*❤
だって、ノームちゃんのおっぱい揉んでるだけで\nイっちゃうぐらいだもん。試合前からおっぱい見せつけられて、\nもうおちんちん限界になってたのかな❤くすくす❤,You came just from groping my gnome girl's breasts. I did show you my boobs before the match; so maybe your little guy was already at his limit~❤ *Giggle*❤
ノームちゃんのおっぱいに挟まれて気持ちよさそーに蕩けちゃってさ❤\n下級モンスターだけど、おっぱいは一級品だったでしょ？\nくすくす❤,You looked so blissful melting away while trapped between my gnome girl's breasts.❤ She may be a low-level monster; but her boobs were first-rate; weren't they? *Giggle*❤
だって、ノームちゃんにおっぱい揺らされただけで\n負けちゃうぐらいだもんね❤\nいくらなんでも、興奮しすぎじゃない？くすくす❤,You lost just watching my gnome girl bounce her chest for you.❤ No matter how you look at it; you got way too excited; don't you think? *Giggle*❤
まあ試合はこれでお疲れ様。\nご褒美は後であげるから、この地図の場所に来てね。,Well; good match all the same. I'll give you that 'reward' a little later; so come to the place on this map; okay?
そう言って{自分プレイヤー}は一枚の紙切れを手渡した。,With that; {自分プレイヤー} handed me a piece of paper.
