default
ツインスネイク,Twinsnake
挟まれた瞬間むぎゅって押しつぶされる、きもちいいー感触❤\nアンタのペニスで味わってみたいっしょ？えい❤,The moment you your dick's between my them; I'll squeeze you nice and tight. You want to feel it; don't you? Here I go~❤
パイズリしたげる。\n女の子のおっぱいで挟まれるんだもん。うれしいっしょ？,I'll give you a titjob. You'll be sandwiched between a girl's breasts. Doesn't that sound nice?
んー、モンスターに挟まれたってうれしくないって？\n強がり言ってもチンポは正直だからムダムダ❤\nほら、ずられて気持ちいい降参の声あげちゃえ❤,Hmm; you don't want to be sandwiched between a monster's breasts? Even if you pretend to be tough; your cock is already being honest; so it's pointless~❤ Come on; I'll make you moan in surrender~❤
あは、おっぱい見てるねー❤\nこうやって谷間を強調するポーズしてたから、気になっちゃった？,Aha; you're looking at my breasts; aren't you?❤ I posed like this to highlight my cleavage; you know. Did it catch your eye?
こっちおいでよ。ここにチンポ挟んで気持ちよくしたげるよ？\nほらほらー。おっぱい揺らして誘惑しちゃう。くすくす❤,Come here! I'll put your penis between my breasts and make you feel really good. Look; look- I'll shake my breasts and tempt you to come over. Kuhuhu~❤
ふーん、わたしにエナジー食べてほしいんだぁ❤\n昇格戦はもういいわけ？\nそんなことよりチンポ気持ちよくなりたくなっちゃった？,Hmm; you want me to eat your energy; do you? Are you done with the promotion battle? Or rather; do you just want your penis to feel good?
くすくす❤男ってチンポ気持ちよくしてもらえるなら、\nなんでも捨てちゃうよね。\nプライドでも命でも、ぜんぶわたしに捧げちゃう❤,Kuhuhu~❤ If a guy can get his cock pleased; he'll throw away anything; won't he? His pride; his life... He'll dedicate everything to me as long as I make him feel good~❤
ほらほら、なにしてほしいか言ってみなよ❤\nどうやって食べてほしい？おっぱい？ふともも？\nチンポになにされたいのかなぁー❤,Come on; come on; tell me what you want me to do to you!❤ How do you want me to please you? With my breasts? My thighs? What do you want me to do to that cock of yours?❤
ギャルラミアのパイズリ,Lamia Girl Titjob
ギャルラミアのふとももコキ,Lamia Girl Thighjob
なんでも,You decide
へー、おっぱいで挟んでほしいんだ❤\nいいよぎゅって挟んで搾り取ってあげる❤\nわたしのズリテクにどれだけ耐えられるかな～❤,Oh; you want me to squeeze you with my breasts; do you?❤ Sure; I'll squeeze you tight and milk you dry~❤ I wonder how long you can endure my techniques~❤
へー、ふとももで挟んでほしいんだ❤\nいいよ、絡みつけるのはめっちゃ得意だし❤\nあんたのチンポめちゃくちゃ気持ちよくしてあげる❤,Oh; you want me to squeeze you with my thighs; do you?❤ Sure; I'm really good at wrapping around people.❤ I'll make your penis feel really; really good~❤
きゃは❤ズリズリされてすぐイっちゃった❤\n早漏チンポ気持ちよくしてもらえてよかったねー❤,Kyaha~❤ You got so excited you came right away~❤ I'm sure your premature ejaculation felt so good; didn't it?❤
んふ、エナジーおいしい❤\nこんだけおいしいんだもん、\n試合とかじゃなければ丸呑みしたかったな～。ざんねーん。,Mmm; your energy is delicious~❤ It's so tasty that if this wasn't a match I would just swallow you whole. What a pity.
くすくす❤わたしの脚、めっちゃ気持ちよかったでしょ？\n蛇に絡みつかれて逃げられるわけないもんね❤\nアンタの小っちゃいチンポがふとももの中で完全降伏❤,Kuhuhu~❤ My legs felt really good; didn't they? You couldn't escape from my serpent's embrace; could you?❤ Your little cock surrendered completely between my thighs~❤
あっ、ああっ・・・。,Ah; ahh...
あはは❤なに？あたしをオカズにオナニーしたいの？\n蛇の前でそんな無防備な姿を晒したらアンタの方が"オカズ"にされちゃうよ？,Ahaha~❤ What's this? Do you want to use me as a material for masturbation? Don't you know if you expose such a defenseless side in front of a snake; you'll end up being used as "material" instead.
あたしのふともも気持ちよぎちゃった？\nくすくす❤だからって、自分からオナニーしちゃうなんてプライドないの？,Did my thighs really feel that good? Kuhuhu~❤ Even so; stroking yourself like that... Don't you have any pride?
あたしのおっぱい、気持ちよぎちゃった？\nくすくす❤だからって、自分からオナニーしちゃうなんてプライドないの？,Did my breasts really feel that good? Kuhuhu~❤ Even so; stroking yourself like that... Don't you have any pride?
知ってる？あたしのこの人間の体は獲物をおびき寄せるための疑似餌❤\n本体は頭のへびの方なの。,Do you know? This human body of mine is just bait to attract and lure in prey.❤ My real body is the snakes on my head.
おっぱいだってふとももだって、\nぜーんぶ男を罠に嵌めるためのニセモノ❤\n疑似餌なんかにガチガチのチンポ、必死にしごいてかわいそー❤,Even my breasts and thighs are fakes only meant to trap men like you.❤ Seeing someone stroking themselves so desperately to something that's just bait... It's so sad~❤
うう・・・❤くぅっ・・・❤,Ugh...❤ Kuu...❤
ふふ、疑似餌だって言われてもシコシコオナニー止まんないね。前かがみの谷間強調ポーズでおっぱいぷるぷるされたら、目そらせないもんね？,Fufu; even knowing it's just bait; you can't stop your little solo sessions; can you? When I lean forward and emphasize my cleavage; you just can't look away; right?
ほら、かわいそうなアンタにいいことしてあげる❤\nもっと夢中になれるようにおっぱい揺らしてぇー❤,Here; I'll do something nice for you; you poor thing.❤ I'll shake my breasts so you can get even more into it~❤
上下にゆさゆさ❤左右にぷるぷる～❤,Bouncing up and down~❤ Swaying and jiggling side to side~❤
あっ、あうう❤すごいっ、はぁ、はぁ・・・❤,Ah; ahh...❤ Amazing; huff; huff...❤
きゃはは。目を血走らせて必死にシコシコ❤\nおっぱいを揺らすだけで興奮しすぎっしょ。\nあたしもおっぱいには自信あるけどさ❤,Kyahaha. You're staring and jerking so hard your eyes are turning red!❤ Just shaking my breasts is too much for you; isn't it? Though it's not that surprising. I'm fairly confident in my chest~❤
張りがあって弾力もあるから、\nほらぁ❤両手で寄せると押しつぶせば谷間がふかーくなるでしょ？\nよーく見て❤,They're really firm and bouncy; see?❤ When I push them together with both hands; my cleavage becomes nice and deep; right? Look closely~❤
あっ、あああっ❤,Ah; ahh...❤
顔の近くでゆさゆさぷるるん❤\nんふふ、谷間に鼻息当たってるんですけどー❤\nはぁはぁ必死すぎてきもーい❤,I'll shake and bounce them close to your face for you.❤ Ufufu; you're breathing so hard it's hitting my cleavage.❤ Panting so desperately like that... it's kind of gross~❤
間近でおっぱい見ながら、\n好きなだけしこしこ～ってできるなんて幸せものじゃん❤\n自分から負けを選んでよかったねー❤,Getting to watch my breasts bounce and sway up close like this while rubbing yourself as much as you want... Aren't you lucky? I bet you're glad you chose to lose; aren't you?❤
もうでそう？\nあはは、早っ。\nおっぱい揺らしただけで瞬殺とか、弱いにもほどがあるんじゃない？,Are you about to finish? Ahaha; that was quick. All I had to do was shake my breasts and you were done in an instant. Aren't you a bit too weak?
ほらほらほら～❤もっと揺らしてあげる❤\nあたしのおっぱいにアンタの精液、かけてかけて～❤\nなーんちゃって、きゃはは❤,Hey; look; look~❤ I'll shake my breasts even more for you.❤ Go ahead; coat my chest in your seed~❤ Just kidding; kyahaha~❤
あひぃっ…❤,Ahhii...❤
くすくす❤\nあたしの体、疑似餌だって言ったのに、シコシコ止められなかったね❤\n勝負を捨てて猿みたいにシコって、このヘンタイ❤,Kuhuhu~❤ Even though I told you my body was just bait; you couldn't help yourself; could you? You gave up on the match and went at it no better than a monkey. You pervert~❤
谷間こんなにドロドロにしちゃってさ。\nこんだけ出したらもう動けないでしょ？\n男ってよわーい❤,You made my cleavage all gooey. Hey; after releasing this much; you can't move anymore; right? Men are so weak~❤
くすくす❤アンタもオナニーしたくなったの？仲間が気持ちよく射精したのを見て羨ましくなっちゃった？,Kuhuhu~❤ Did you want to masturbate; too? Did watching your buddies enjoy their orgasms make you jealous?
疑似餌だってわかってるのに、\nかわいいあたしのことを見てたら手が止まらなくなっちゃうんだよね❤\nガチガチのチンポ、必死にしごいて馬鹿みたい❤,Even if you know it's just bait; you can't stop moving your hands when you see a girl as cute as me; right? You look silly; stroking your hard cock that desperately~❤
すぐに仲間の後を追えるようにおっぱい揺らしてあげる❤\nほら、上下にゆさゆさ❤左右にぷるぷるぷる～❤,I'll shake my breasts so you can end up like your friend nice and quick.❤ Look; bouncing up and down~❤ Swaying side to side~❤ Jiggle jiggle jiggle~❤
あうう❤はぁ、はぁ❤,Ah!❤ Hah; hah...❤
目を血走らせて必死にシコシコ❤\nおっぱいを揺らすだけで興奮しすぎっしょ。\n男ってなんでこんなにおっぱいが好きなのかなぁ❤,You're staring and jerking so hard your eyes are turning red!❤ Just shaking my breasts is too much for you; isn't it? I wonder why men love breasts so much.❤
アンタがシコってるのは、男を捕まえるための作り物でぇ、\nただのやわらかぁい罠なんだよ❤\nかわいい女の子の形をしているだけの、悪ーい仕掛け❤,What you're jerking off to is just a gentle trap to catch men; you know!❤ It's just a wicked trick in the shape of a pretty girl.❤
ふふ、疑似餌だって言われてもシコシコオナニー止まんないよねー❤\n前かがみの谷間強調ポーズでおっぱいぷるぷるされたら、\n目そらせないもんね？,Fufu; even knowing it's just bait; you can't stop your little solo sessions; can you? When I lean forward and emphasize my cleavage; you just can't look away; right?
張りがあって弾力もあるから、ほらぁ❤両手で寄せると押しつぶされて谷間がふかーくなるでしょ？よーく見て❤,My breasts are so firm and bouncy; see?❤ When I push them together with both hands; my cleavage becomes nice and deep; right? Look closely~❤
あっ、あっ、あああっ…❤,Ah; ah; ahhh...❤
顔の近くでゆさゆさぷるるん❤あは、谷間にめっちゃ鼻息当たってるんですけどー❤はぁはぁ必死すぎてきもーい❤,I'll shake and bounce them close to your face for you.❤ Hehe; you're breathing so hard it's hitting my cleavage.❤ Panting so desperately like that... it's kind of gross~❤
アンタも仲間も、おっぱいの前でなさけなーく降参シコシコしちゃってさ❤男のプライドとかなーんもないんだね。あるのはチンポ気持ちよくなりたいって思いだけ❤,You and your buddies are all pitiful; surrendering to your enemy and getting off in front of my breasts. You have no pride as a man at all; do you? You're empty of everything but your desire for your cock to feel good.
そんな空っぽのアンタはあたしが食べてあげる❤だからエナジー全部よこしな？,That empty little you... I'm going to devour him~❤ So why don't you give all your energy to me?
ほら、もうでそうなんでしょ？いつでもいいよ。アンタもあたしのおっぱいに精液、好きなだけかけて❤かけて❤あはーん❤,Oh my; you're about to come; aren't you? Go ahead whenever you want! You can pour as much semen as you want onto my breasts.❤ Cum for me~❤ Right here~❤
くすくす。疑似餌おっぱいにエナジーがこんなにたくさん❤\nこれだけ入れ食いだと笑えてくるね。\nアンタたち、みんなそろってバカなんじゃないの？,Kuhuhu; you've poured so much of your energy into my bait's fake breasts!❤ It's almost funny how much you all are feeding me. Men are just a bunch of fools; aren't they?
試合だっていうのに谷間どろっどろにしちゃってさ。こんなに出したらもう負けじゃん。男ってよわーい❤,Even though it's a match; you made the cleavage all messy. All I have to do is show off my body; and you've already lost. Men are so weak~❤
あは、バカにされてイラついた？それならおっぱい見せたげるから許してー❤ほら、他の人もオナニーしたくなったら早く来ていいよ❤きゃはは❤,Ah; are you upset that I'm making fun of you? In that case; I'll show you my breasts; so please forgive me~❤ Look. If the rest of you want to masturbate; feel free to come over whenever you like!❤ Kyahaha~❤
うわ～❤ほんとうに来ちゃうんだー❤仲間が気持ちよく射精したのを見て羨ましくなっちゃった？くすくす❤,Oh my~❤ You actually came over; did you? Did watching your companions enjoy their orgasms make you jealous? Kuhuhu~❤
魔物の前で無防備にチンポシコシコ❤女の子の形してれば、魔物おっぱいでもいいんだよねー。そのあと頭の蛇で丸のみにされるかもしれなくても、ぜんぜん気にしない❤,You're defenselessly stroking your cock in front of a monster.❤ I suppose monster breasts are just as good as any other; so long as they still look like a girl. Even if you might get swallowed whole by the snake-headed beast afterward; you don't mind at all~❤
ほら、すぐに仲間の後を追えるようにおっぱい揺らしてあげる❤上下にゆさゆさ❤左右にぷるぷる～❤,Look; I'll shake my breasts so you can end up like your friend nice and quick.❤ Look; bouncing up and down~❤ Swaying side to side~❤
うう・・・❤はぁ、はぁ・・・❤,Ooh...❤ Haah; haah...❤
目を血走らせて必死にシコシコ❤おっぱいを揺らすだけで興奮しすぎっしょ。男ってなんでこんなにおっぱいが好きなのかなぁ❤,You're staring and jerking so hard your eyes are turning red!❤ Just shaking my breasts is too much for you; isn't it? I wonder why men love breasts so much.❤
アンタがシコってるのは、男を捕まえるための作り物でぇ、ただのやわらかぁい罠❤やさしいやさしい女の子の形をした、男を惑わす悪ーい仕掛け❤,What you're jerking off to is just a gentle trap to catch men; you know.❤ It's a wicked trick in the shape of a kind; gentle girl used to confuse foolish guys like you~❤
顔の近くでゆさゆさぷるるん❤んふふ、谷間に鼻息当たってるんですけどー❤はぁはぁ必死すぎてきもーい❤,I'll shake and bounce my breasts close to your face for you.❤ Ufufu; you're breathing so hard it's hitting my cleavage.❤ Panting so desperately like that... it's kind of gross~❤
間近でおっぱい見ながら両手でシコシコ❤あたしのおっぱい見ながら自滅オナニー❤仲間ともども突っ込んできて、なさけなーく降参シコシコ気持ちいいねー❤,You're staring at my breasts so close while stroking yourself with both hands.❤ Masturbating to your own demise while captivated by my chest~❤ You and your friends came rushing in; but now you're all pathetically surrendering and jerking off... Feels good; doesn't it?❤
あはは、こんなにバカにされているのに、もうでそうなんだ？いつでもいいよ❤アンタもあたしのおっぱいに、好きなだけかけて❤かけて❤あーん❤,Ahaha; despite me making fun of you; you're still about to cum; aren't you? Go ahead whenever you want. You can pour as much semen as you want onto my breasts!❤ Cum for me~❤ Right here~❤
あはん❤疑似餌おっぱいにエナジーがこんなにたくさん❤,Aha~❤ You poured so much energy into my bait's fake breasts~❤
強いって噂だったのに、楽勝だったね。仲間のあとを追って敵討ちじゃなくてオナニーで負けるんだもん❤ねー、ざーこマスター❤,I heard you were strong; but defeating you was so simple. Instead of avenging your comrades; you lost yourself to your solo session; didn't you? My; what a weak master you are~❤
くすくす。疑似餌おっぱいにエナジーがこんなにたくさん❤ここまで来たらもう、負けも同然だよね❤,Kuhuhu; you poured so much energy into my bait's fake breasts~❤ With so many of you gone; this match is practically over; isn't it?❤
ほらほら、他の人もオナニーしたくなったら早く来ていいよ❤全員あたしのおっぱいに負けちゃえよ❤きゃはは❤,Hey; come on. If anyone else wants to masturbate; I'll let you cum quickly; too!❤ You're all more than welcome to lose to my breasts!❤ Kyahaha~❤
ふふっ❤つーかまーえたっ❤おっぱいばっかり見てるからだよ❤,Fufuu~❤ Gotcha!❤ It was super easy to catch you with you so distracted by my breasts!❤
このまま根こそぎ搾り取ってあげる？うれしいっしょ？ほら・・・❤,Since you kept staring at them; would you want me to use them to squeeze out your energy? Would that make you happy? Here...❤
もう限界っしょ？亀頭がパンパンに膨らんでるし❤ほらぁ、イケ❤イケ❤,You're at your limit; aren't you? Your glans are getting all swollen.❤ Come on; hurry up~❤ Cum for me~❤
うわ、暴れるなって！もう・・・。\nもっとあたしのパイズリ、堪能してても良かったのに❤,Hey; stop squirming! Seriously... You should have relaxed and enjoyed my titjob more~❤
ほら、股のところギンギンのままじゃん。\nチンポはもっとして欲しいって言ってるみたい❤\n素直になれば？くすくす❤,Look; you're still hard down there. Looks like your cock still wants more.❤ Why don't you just be honest? Kuhuhu~❤
あうっ、そんなに慌てなくてもいいじゃん。\nあたしのパイズリ、気持ちよかったっしょ？,Hey; you didn't have to run like that. My titjob felt good; didn't it?
射精するまでズリズリされてたらさ、\nびゅー❤って、出せたよ？最高に気持ちいいのになぁ・・・❤残念❤,I would have kept rubbing you until you came if you had just let me. You were so close to shooting it all out; right?❤ It would have felt so amazing... What a shame...❤
あたしのおっぱい、気持ちいいっしょ❤　ほらほら❤,My breasts feel good; don't they? Come on; come on❤
暴れるより、身を任せた方が気持ちいいに決まってるし❤,Doesn't it feel so much better to just stop struggling and let yourself go?❤
このままおっぱいに負けちゃえば？チンポはそうしたがってると思うなー。,Why don't you just lay back and give into my breasts? I bet your cock would love it.
ズリズリ❤ズリズリ❤,I'll keep rubbing it for you like this~❤ Rub rub; rub rub~❤
もっと喘ぎ声、聞かせてよ❤ほらぁ❤,Come on; I want to hear you moan for me!❤
チンポおっぱいに埋もれて幸せ？あは、そのままとろけてなよ❤,Isn't being buried in my breasts just bliss? Aha; let them make you melt!❤
腰震えてんじゃん❤我慢する必要なんてないよ？射精すれば？,Your hips are shaking; aren't they?❤ Why are you still holding back? Why not just let yourself cum already?
あたしのパイズリ、最高っしょ？,My titjob is the best; don't you think?
先っぽを蛇の舌で責めてあげる❤もだえて、喘いでいいよ❤きゃはは❤,I'll tease the tip with my snake-like tongue.❤ I'll make you writhe and moan in pleasure!❤ Kyahaha~❤
このまま射精して楽になれば？我慢したって意味ないっしょ❤,Why not just cum like this and let yourself feel good? There's no point in holding back anymore; right?❤
降参しちゃう？降参しちゃう？うりうりー❤,Are you going to give in? Well; are you? Rub rub~❤
少しぐらいいい思いしても罰は当たらないって❤もう少しパイズリされてよーよ❤,There's no harm in just enjoying it a little.❤ Let me give you a titjob for a just little longer!❤
このまま谷間にびゅー❤って射精しちゃえば？試合終了だけど、きもちいーいよ❤,Why not just let it all out into my cleavage? Your fight will be over; but it'll feel so good!❤
アンタが負けでも大丈夫❤他の仲間が頑張ってくれるっしょ❤,Even if you lose; it'll be okay~❤ Your teammates keep fighting in your place.❤
戦いなんて他の仲間に任せて、びゅー❤って射精して❤,Leave the fighting to your comrades; and just go ahead and cum; okay? ❤
あーあ❤蛇の舌に尿道ほじられて喘いじゃった❤気持ちいいねぇ❤,Ahha~❤ You couldn't help but moan when my snake tongue teased your urethra like that~❤ I bet it felt so good~❤
（痛たた、ううっ、このままじゃやられる・・・。）,(Ouch... Uh oh... At this rate; I'm done for...)
あーん、アンタの攻撃でもうボロボロ。服だって痛んでるし、胸のところだって全部ずれちゃいそう・・・❤,Ahh; your attacks have left my clothes in tatters. My tops all damaged; and it looks like my chest might spill out at any moment...❤
ほら見て、今一生懸命蛇の頭で隠しているけど、…んっ❤あたしの乳首、ぷっくり膨らんで、あん❤見えちゃう・・・❤,Look; see; I'm trying my best to cover myself with my snake's head; but... Mmm~❤ My nipples are perking up and; ah~❤ They're almost showing...❤
（くすくす❤目が釘付け・・・❤このまま蛇で・・・♪）,(Kuhuhu~❤ His eyes are glued to my chest...❤ Now; if I just move my snake like this...♪)
胸から視線を離してとどめを刺した,Look away and deliver the final blow
おっぱいに見とれてしまった,They're so big... I... I can almost see...
そんなぁ、あううっ。,No way! Ahhh!
あはっ。隙あり❤,Aha! Gotcha~❤
し、しまっ…あぁっ❤,Damnit... Ahh!❤
おっぱいばっかり見てるから足元に近づいた蛇に気づかなかったっしょ？\n毒で動けなくなったら形成逆転❤\nあたしのパイズリホールドでおしまいっしょ❤,You were so busy staring at my breasts that you didn't notice the snake sneaking up from behind; did you? Once my poison has you paralyzed; it's game over~❤ I'll squeeze you between my breasts and finish you off~❤
手こずらせてくれたお礼はアンタのエナジーで払え❤ほらほら❤,Since you made things so difficult for me; you can repay me with your energy~❤ Come on; just relax~❤
くうっ❤このっ・・・❤,Ugh...❤ This...❤
あは、力よわっ❤\n毒が効いているからもがいても無駄なんですけどー。\nそれにぃ、こうやって激しくズリズリしてあげれば・・・❤,Ah; you're so weak~❤ There's no point in struggling. The poison will make any attempt to escape useless. Besides; if I rub you like this...❤
うああっ、あひ、ああっ・・・❤,Ooh; ah; ah...❤
どうよ❤逃げ出す気なんて起こらないっしょ？\nあたしの毒にはチンポを敏感にする効果もあるから、\n快感がえぐいことになるってわけ❤,What do you think?❤ You don't feel like escaping anymore; do you? My poison also makes your cock extra sensitive; so the pleasure becomes even more intense~❤
毒とパイズリの合わせ技で獲物を骨抜きにしてぇ、\nその間に蛇でゆっくり丸のみしちゃう・・・❤\nこの手で狩りをすればいつもあたしの勝ち❤,The combination of poison and my titjob renders my prey helpless; and in the meantime; my snake slowly swallows them whole...❤ When I hunt like this; I always win~❤
ほらほら、チンポの根本から先っぽまでズリズリ❤むぎゅむぎゅ❤\nチンポ、完全におっぱいに埋もれて最高っしょ？❤,Here; look; I'll rub and squeeze from the base to the tip~❤ Squish; squeeze; squeeze~❤ Isn't having your cock completely buried in the breasts the best?❤
これに合わせてぇー、敏感チンポの先っぽ。蛇の舌でほじってあげる❤\n覚悟はいい？雑魚マスター❤,I'll match the rhythm of my breasts and tease the sensitive tip of your cock; probing it with my snake-like tongue.❤ Are you ready? Weak Master~❤
これに合わせてぇー、敏感チンポの先っぽ。蛇の舌でほじってあげる❤\n覚悟はいい？雑魚モンスター❤,I'll match the rhythm of my breasts and tease the sensitive tip of your cock; probing it with my snake-like tongue.❤ Are you ready? Weak monster~❤
ああっ…あっ❤それだめっ…❤だめぇ…っっ❤,Ah... ah❤ Don't... Don't do that...❤ No...❤
きゃはは、何それ？そんなこと言いながら嬉しそうな顔しちゃってさぁ❤\n口先だけダメダメ言ったって、\nモンスターにチンポ挟まれて喜んでるのバレバレ❤,Kyahaha; what’s that? You're asking me to stop; but you look so happy!❤ Even if your words are saying no; it’s so obvious you’re enjoying having your cock sandwiched by a monster’s tits~❤
頭をあたしの蛇に吞まれていてもね、こうやってズッてやればみーんな泣いて喜ぶんだよ？「食べられてもいいからもっとパイズリしてぇ」ってね❤\nアンタももう普通のパイズリじゃ満足できないかもね？,Can you believe that even with their head being swallowed by my snake; when I slide my breasts up and down like this; everyone just cries with pleasure? "I don't care if you eat me; please don't stop tittyfucking me;" they say~❤ You might never be satisfied with a normal titjob again; huh?
ちろちろとずりずりの同時攻撃❤\n最後は亀頭をおっぱいで揉み潰してあげる❤\nほらほらほら❤イケ❤出せ❤射精しな、ざーこ❤,I'll attack your cock like this; rubbing and licking at the same time.❤ And to finish you off; I'll crush the glans between my breasts!❤ Come on; come on; come on~❤ Cum~❤ Let it all out~❤ Pour your seed all over my chest; you loser~❤
はひぃっあぐっ、ああああっ❤,Hahii! Ahh; aaahhh...❤
くすくす❤凄い量の精液が出た❤あたしの谷間、ドロドロじゃん…❤,Kuhuhu~❤ You came so much~❤ My cleavage is all sticky now...❤
乳首が見えそうなだけで逆転されるとか、みっともなさすぎっしょ。\n力が強くてもおっぱいに弱くちゃ意味ないよねー❤,You almost won; but instead you let me counter attack; just because you could almost see my nipples. How embarrassing! It doesn't matter how strong you are; it's meaningless if you're weak against breasts; isn't it?❤
乳首が見えそうなだけで逆転されるとか、みっともなさすぎっしょ。\n体力も回復できたことだし、\nそれじゃもらったエナジーで次の獲物もいただきまーす❤,You almost won; but instead you let me counter attack; just because you could almost see my nipples. How embarrassing! My stamina's recovered now; so I'll use the energy you gave me to claim my next prey; too~❤
うぅ、またあたしの蛇の牙が当たらない・・・。このままじゃまずいっしょ。,Ugh; I can't catch him with my fangs either... At this rate, things won't end well for me.
ねぇ、さっきアンタの仲間がパイズリされてたの見てたよね？あたしのパイズリに負けちゃった仲間の顔、思い出して？,Hey; you saw your buddy getting a titjob earlier; didn't you? Do you remember the look on his face as he lost to my breasts?
ううっ・・・❤,Ugh...❤
そうそうその調子❤\nエッチなこと思い出したら、ムラムラしてきたよね❤\nほら、そのムラムラ、あたしが発散させたげる❤,That's right; think about it~❤ Remembering something naughty makes you start to get all hot and bothered; right?❤ Come here; let me help you release all that pent-up arousal~❤
チンポが敏感になる毒を打ち込まれて、そのあとのえっぐいパイズリ…❤味わってみたくない？ほぉら、あたしのおっぱいをよーく見て考えて❤アンタが答えるの、待っててあげるから・・・❤,I'll inject you with my poison; make your cock nice and sensitive; and follow it up with an intense titjob...❤ Don't you want tow know how it feels? Come on; stare deeply at my breasts and think about it~❤ I'll wait for your answer...❤
そんな、これでもだめだなんて・・・。,No way; how can you still say no...?
ふっ、待っててあげるとか嘘だよ、ばーか❤,Fuu; I'm not actually going to wait; you idiot~❤
おっぱいじっと見すぎて隙だらけだし♪\n足元にあたしの蛇が近づいているの気づかなかった？\n男っておっぱい見せるとすぐ視界が狭くなるよね❤,You were so busy staring at my breasts that you left yourself wide open!♪ Didn't you notice my snake creeping up behind you? Men really narrow their view as soon as they see breasts; don't they?❤
それじゃ毒が効いているうちに、よいしょっと・・・❤,Well then; while the poison starts to work; here we go...❤
お望み通りあたしのパイズリで喘がせたげる❤うれしいっしょ？,I'll make you moan with my titjob; just like you wanted~❤ Aren't you happy?
あはは、アンタもさっきのやつもいい声で鳴くねー❤\nあたしの毒でチンポ敏感にされて、そこを爆乳でずりずりずり❤,Ahaha; you and that guy from earlier both make such nice sounds~❤ First; my poison makes your penis sensitive; and then I rub it with my huge breasts; just like this~❤
チンポの根本から先っぽまでぜーんぶ埋められれば、どれだけ強くてももう逃げられない❤nチンポ、完全におっぱいに埋もれて天国っしょ？きゃはは❤,Once you're cock's buried from base to tip; it doesn't matter how strong you are; you won't be able to escape anymore~❤ Isn't having your cock completely swalloed in my breasts heavenly? Kyahaha~❤
うああっ、あっ…これ、だめ…❤,Ugh; ah... Don't... You can't...❤
顔がとろーんとしてる❤さっきの仲間と一緒の顔❤,Your face is all dazed and dreamy now.❤ Just like your ally from earlier~❤
我慢汁ダラダラ出しちゃってさ、あたしのおっぱい、ぬるぬるにしたら余計に気持ちいいだけだよ？,All that pre-cum your dripping out is making my breasts all slippery. That just makes it feel even better; doesn't it?
くす❤もうイクんだ？\nまだ蛇舌で亀頭いじめてあげてすらいないのに❤\nほら、イケ❤イケ❤射精しろ、ざーこ❤,Kuhu~❤ Are you going to cum already? I haven't even started teasing the glans with my snake tongue yet.❤ Come on; cum~❤ Let it all out~❤ Pour your seed all over my chest; you loser~❤
あへぇ…❤,Ah...❤
