default
カクテルフェアリー・グレープ,Cocktail Fairy - Grape
このおっぱいで挟んでほしいの？\nくすくす❤妖精おっぱいにメロメロになるなんて、\nいい趣味だと思うわよ❤へんたい❤,You want me to squeeze you with these breasts? Giggle~❤ If you're head-over-heels for fairy boobs; I think you must have good taste~❤ Pervert.❤
あん、空中に向かってどぴゅどぴゅ～❤\n思いっきり飛ばしてる❤\n地面に落ちないうちに魔法で回収してっと…♪,Ahhh; spurting out in the air~❤ You're really letting it all fly.❤ I'll use magic to collect it before it hits the ground...♪
んふ❤おいしいエナジーね❤\nチンポに触られもせず、わたしに射精させられるのはどうだった？\nくす❤幸せそうな顔してるわ❤,Nfu.❤ Such delicious energy~❤ How did it feel to cum without having your cock even touched? Giggle~❤ You look so happy.❤
あはん❤おっぱいでズリズリしたら、\nすごい勢いで出しちゃったわね❤\nどぴゅどぴゅーって噴水みたい❤,Ahan!❤ When I rubbed you with my boobs; you came with such force~❤ It's shooting out like a fountain.❤
わたしのパイズリテク、なかなかのものだったでしょ？\nとろけ顔しちゃって、かわいい～❤くすくす❤,My titjob technique is pretty impressive; right? You've got such a blissed-out look on your face... It's adorable~❤ Giggle~❤
あっ、ああっ・・・❤,Ah; Ahh...!❤
くすくす❤耳を責められてオナニー止まらなくなっちゃったわね❤\nしこしこ、しこしこ、おちんちんいじり、気持ちいい？,Giggle~❤ Just a little ear-teasing and now you can't stop masturbating.❤ Just keep stroking yourself... Does playing with your cock feel good?
わたしがこうやって耳元でふぅーって息を吹きかけるたびに、\nあは、体がビクンって震えている。\nおちんちんも一緒にピクピク動いちゃっているわよ。,Every time I blow gently into your ear like this... Ahaha; your body trembles. Your cock twitches along with it; too.
くすくす❤オナニーしたくなっちゃったの？\nわたしの体をじって見ながら、しこしこ、しこしこ❤\nおちんちんいじり、気持ちいい？,Giggle~❤ You couldn't resist masturbating; could you? You're staring at my body; jerking up and down~❤ Does playing with your cock feel good?
おちんちん触るのでせいいっぱいだからすっごく無防備ね。\nあなたの耳に近づいても、\nぼっーとしながらおちんちん触るだけ❤,You're so defenseless; focusing all your efforts on stroking your cock like that. Even when I get closer to your ear; you're still dazedly playing with yourself.❤
わたしがこうやって耳元でふぅーって息を吹きかければ、\nあは、体がビクンって震えている❤\nおちんちんも一緒にピクピク動いちゃっているわ。,When I blow gently into your ear like this... Ahaha! Your body trembles with pleasure.❤ Your cock twitches along with it; too.
わたしに囁かれながらシコシコするの、\nとっても気持ちいいでしょう？,Stroking your cock while I whisper to you feels amazing; doesn't it?
今までしたオナニーとは全然違う、頭の中がぽわぽわして、\nおちんちん扱くたびに体が幸せになっちゃう。不思議な気持ちよさ。,Masturbating like this is totally different from what you've experienced before. Your mind feels all fuzzy; and every time you stroke your cock; your body fills with happiness. It's such a mysterious; wonderful pleasure.
それが女の子のいいなりになる気持ちよさよ❤\nほら、しっかり体に教え込みましょう❤,That's the pleasure of being obedient to a girl.❤ Come; let's engrave that feeling into your body.❤
根元から先っぽまで、しこしこ❤しこしこ❤\nわたしの声に合わせて、しこしこ❤しこしこ❤,From the base to the tip... Stroke~❤ Stroke~❤ In sync with my voice... Up~❤ And down~❤
妖精にからかわれて、\n気持ちよくなるような言葉をたくさんささやかれて、\n頭のなかバカになっちゃう❤,Teased by a fairy; having all these sexy words whispered to you; your mind turns to pleasurable mush.❤
しこしこするたびに、\nどんどんどんどん、\n体が気持ちいいのでいっぱいになる❤,With each stroke; your body gets more and more filled with euphoria.❤
はふぅ・・・❤,Huff...❤
ふふ、もうすぐ気持ちいいのがあふれちゃうね❤\nおちんちんからどぴゅどぴゅって射精しちゃうね…❤,Fufu; all that pleasure will overflow soon.❤ Your cock will shoot it all out~❤
射精したら負けちゃうよ？\n勝負の途中なのにオナニーなんかで負けちゃう❤\nそれはとっても恥ずかしい…、我慢しなきゃいけない…❤,If you cum; you'll lose; you know? Losing in the middle of a battle because you masturbated is so embarrassing... You need to hold back...❤
でも、手のしこしこが止まらない。\nわたしにしこしこ❤って言われるだけで、\nおちんちん触るのやめられなくなっちゃう。,But you can't stop pumping it with your hand. Just hearing me say "stroke" makes you unable to stop touching your cock.
ほら、しこしこ❤しこしこ❤\n射精しそうになっても、しこしこ❤しこしこ❤,There you go. Stroke~❤ Stroke~❤ Even if you feel like you're about to cum; keep going.❤ Keep stroking~❤
くす❤膝がガクガクいってる。\n真面目に戦えば楽勝な相手に\nオナニーで負けちゃうね❤,Giggle~❤ Your knees are trembling. You're losing to an opponent you could easily defeat in a real fight. All because you couldn't help yourself and started masturbating.❤
ほら、イって❤しこしこしこ❤しこしこしこ❤\n３、２、１、ぜーろ❤どぴゅどぴゅー❤,Now; cum for me.❤ Stroke~ Stroke~❤ Cum in  3... 2... 1... and Zero.❤ Spurt it out~❤
あひぃっ…❤,Ahh...❤
くす❤いっぱい出た❤わたしみたいな小さい妖精に負けちゃった❤\nくすくす❤,Giggle~❤ You came so much!❤ You lost to me even though I'm a tiny fairy.❤ Hahaha!❤
たくさん出して幸せだった？あなたの精液、ちゃんと魔法で回収して\n体力回復に使ってあげる。\n負けてくれてありがとう❤よわーいお兄さん❤,Did it make you happy to cum so much? I'll collect your semen with magic and use it to restore my energy.❤ Thanks for losing for me; you weak little mister.❤
あっ、ああっ・・・。,Ah. Ahh...
くすくす❤\n耳を責められてオナニー止まらなくなっちゃったね❤\nしこしこ、しこしこ、おちんちんいじり、気持ちいい？,Giggle~❤ Having your ears teased made it impossible to stop masturbating; didn't it?❤ You look so helpless; just stroking it like that. Does playing with your cock feel that good?
わたしがこうやって耳元でふぅーって息を吹きかけるたび\n体がビクンって震えている。\nおちんちんも一緒にピクピク動いちゃっているわ。,Every time I blow gently into your ear like this; your body trembles. Your cock twitches along with it; too.
くすくす❤あなたもオナニーしたくなっちゃったの？\nわたしの体をじって見ながら、\nしこしこ、しこしこ❤おちんちんいじり、気持ちいい？,Giggle~❤ You couldn't resist and had to start masturbating; huh? You're staring at my body and working that cock; feeling every stroke.❤ Does playing with your cock feel that good?
おちんちん触るのでせいいっぱいだから\nすっごく無防備だね。あなたの耳に近づいても、\nぼっーとしながらおちんちん触るだけ❤,You're focusing so hard on stroking your cock that you're completely defenseless. Even when I get close to your ear; you're just dazedly playing with yourself.❤
さっき仲間がこうやってイかされたのを見ているのに、\n全然抵抗しない❤\nダメな人。ふふふ❤,Even though you saw your friends brought to orgasm like this; you aren't trying to resist at all. You really are a naughty boy. Fufufu.❤
仲間が味わったのを見て、自分もやってみたくなったんでしょ？\nほら、あなたもわたしの声の虜にしてあげる❤,Watching your friends experience it made you want to try it too; didn't it? Okay then; I'll make you a prisoner of my voice as well.❤
囁くのに合わせて体を動かしなさい❤\nしこしこ…❤しこしこ…❤\n根元から先っぽまで、しこしこ…❤しこしこ…♪,Move your hand to the rhythm of my whispers.❤ Stroke...❤ Stroke...❤ From the base to the tip... Stroke...❤ Stroke...♪
わたしの声が気持ちよすぎて、\nいいなりのお人形になっちゃうね。\nしこしこするだけで腰が抜けそうなぐらい気持ちいいね…❤,My voice feels so good that you're becoming my obedient puppet. You'll just stroke until your legs are going to give out from the pleasure; won't you?...❤
妖精にからかわれて、\n気持ちよくなるような言葉をたくさんささやかれて、\n頭の中バカになっちゃう❤くすくす❤,Being teased by a fairy; having all these pleasurable words whispered to you; your mind is going blank and silly.❤ Giggle~❤
あは、もしかしてもうイキそうなの？\nさっきの人よりずいぶん早いわ❤,Aha; are you about to cum already? You're much quicker than the last guy.❤
仲間が囁きオナニーで負けてるのを見て、\nおちんちんずっとムラムラさせてたのかしら❤\nくすくす❤早漏チンポ❤よわーい❤,Aww; were you getting all hot and bothered watching your friends lose to whisper-masturbation?❤ Giggle~❤ What a quick-shot cock.❤ So weak~❤
射精したら負けちゃうんだよ？\n勝負の途中なのにオナニーなんかで負けちゃう❤,If you cum; you'll lose;you know? Losing in the middle of a battle because you masturbated... How embarrassing.❤
冷静にフェアリーを攻撃した,Keep a clear head and attack the fairy
されるがままになってしまった,Well... Maybe just for a little while...
仲間がいなくなってピンチだし、\nそれは絶対ダメ…、我慢しなきゃいけない…❤,Your friends need your help; so that's definitely not allowed... You have to hold back...❤
でも、手のしこしこが止まらない。\nわたしにしこしこ❤って言われるだけで、,But your hand just won't stop stroking. Just hearing me say "stroke~❤" makes it impossible to stop.
おちんちん触るのやめられなくなっちゃう。\n気持ちいいので頭がまっしろになっちゃう❤,You can't stop touching your cock. The pleasure is making your mind go completely blank.❤
くすくす❤イっちゃうね❤もう出しちゃうね❤\n真面目に戦えば楽勝な相手にオナニーで負けちゃうね❤,Giggle~❤ You're about to cum; aren't you?❤ Hey; you're going to cum any second now; right?❤ Losing to an opponent you could easily beat by playing with yourself... Isn't that a shameful way to lose?❤
ほら、イって❤出して❤\nしこしこ❤しこしこ❤\n３、２、１、ぜーろ❤どぴゅどぴゅー❤,Now; cum for me.❤ Stroke~ Stroke~❤ Cum in  3... 2... 1... and Zero.❤ Spurt it out~❤
くす❤いっぱい出た❤\nわたしみたいな小さい妖精に負けちゃった❤くすくす❤,Giggle~❤ You came so much.❤ You completely lost to a tiny fairy like me.❤ Hahaha~❤
たくさん出して幸せだった？\nあなたの精液、ちゃんと魔法で回収して体力回復に使ってあげる。\n負けてくれてありがとう❤よわーいお兄さん❤,Did it make you happy to cum so much? I'll use your semen; collected with magic; to restore my energy. Thanks for losing for me.❤ You weak little mister.❤
きゃう、うう、もう限界・・・。\nかくなるうえは、えいっ❤,Eek! Uuu; I can't take it anymore... In that case... Eei!❤
ふふ、一気にあなたのチンポを捕まえたわ❤\n小さいわたしにびゅんって飛び回られたら\n簡単には攻撃当てられないでしょ？,Fufu; I caught your cock in one go.❤ When a tiny fairy like me flies around; it's not easy to land an attack on me; is it?
こうやってぎゅって抱き着いたまま、敗北に追い込んであげる❤\nあなたはもう詰んでるのよ？だって・・・❤,I'll hold onto you tightly and drive you to defeat.❤ You're already cornered; you know? Because...❤
下手に攻撃したら自分のチンポに当たっちゃうもの❤\nそれでも攻撃する？金的ってめちゃくちゃ痛いんでしょ？\nくすくす❤,If you attack carelessly; you'll end up hitting your own cock.❤ Are you still going to attack? Getting hit in the balls is incredibly painful; isn't it? Giggle~❤
ねえ、そんなリスクを冒す必要ないわ。\n危ない目に会うよりわたしにチンポをスリスリされて、\n気持ちよくなりましょう？,Hey; you don't have to take that risk. Why don't you just let me play with your dick and make you feel good instead?
ほら、すり、すり♪\nふとももとおっぱいをチンポにこすりつけられて、\n腰が抜けそうなんじゃないかしら❤,Look; rub; rub; rub.♪  I can rub my thighs and tits against your cock at the same time. It looks like you're losing the will to resist.❤
そのまま力を抜いて、わたしのサービスを楽しんで❤\n気持ちいいのに身を任せましょう❤くすくす❤,Just relax and enjoy my service.❤ Let yourself be enveloped by the pleasure.❤ Giggle~❤
や、ちょっと、そんな丁寧にはがさないでよ。\nあ、空中に投げてから斬るの？\nきゃうううっ・・・・。,Hey; wait; don't just carefully peel me off of your dick! You're gonna throw me in the air and attack!? Ah! Ouch!!
うぐ、ううっ・・・❤,U-ugh...❤
ふふ、そうよね、手が出せないわよね❤\nいいじゃない。こんな風にチンポを人質に取られたら、\nみんな仕方ないって思ってくれるわ。,Fufu; I know; I know. You can't risk it; can you?❤ It's okay. Once I hold your dick hostage like this; you don't really have a choice anymore.
あなたは危ないから攻撃をやめただけ、\nチンポすりすりされて、力が抜けたからじゃない…❤\nね、そうでしょ？くすくす❤,You only stopped attacking me because your weakest part was in danger. Of course; it had nothing to do with my body massaging your dick until your strength drained away... right?❤ That's not what happened; is it sweetie? Giggle~❤
あん❤チンポびくんってなって、\nこのままじゃ、振り落とされちゃいそう❤,Ahn.❤ You're so excited! If your dick keeps twitching like that; I might be thrown right off!❤
いくらチンポが揺れても落ちないように、\nぎゅて抱きしめないとね❤\nふとももをセクシーに絡みつけて…❤すりすりすり…❤,No matter how much your cock trembles; I'll hold you tight so I don't fall.❤ Entwining my sexy thighs around you..❤ Rub; rub; rub...❤
うふふ❤どんどん蕩け顔になっちゃうわね❤\nわたしの肌でなでられて、気持ちいい？,Ufufu.❤ You're getting more and more lost in pleasure; aren't you?❤ Does it feel good to be stroked by my skin?
わたしの肌、ワイン風呂に入ったあとみたいに、\nいつもすべすべなの❤,My skin is always so smooth; it's like I've just returned from the spa.❤
そんな美肌をすりすり擦られて\nチンポぞくぞくしちゃうでしょ？\nくす❤その顔、さっきまでわたしを追い詰めてたとは思えないわね❤,Rubbing against such smooth skin must make your cock tingle with excitement; right? Heh.❤ That pleasure-drunk expression makes you look so dumb... I can't believe you had me cornered a moment ago.❤
もっと間抜けな顔にしてあげる。\nおっぱいでカリの下をずりずり♪\nわたしの巨乳で極楽を味わいなさい❤,I'll make you look even dumber. Let me slide my soft breasts under your cockhead~❤ Enjoy a taste of heaven with my luscious tits.❤
あぐっ…❤ううっ、もうダメっ❤❤こんな小さい相手にぃ…❤❤,Aggghh...❤Ughh; I can't resist...❤ Against such a small opponent...❤
くすくす❤\nそうね❤チンポより小さい女の子に負けちゃうわね❤,Giggle~❤ That's right~❤ You're losing to a girl even smaller than your dick; aren't you?❤
あとちょっとで勝てたのに、\nチンポを人質に取られて、快楽でふにゃふにゃ❤\n大事なエナジーを搾り取られちゃう❤,You were so close to winning; but now your cock is held hostage.❤ I've used pleasure to turn you into a trembling mess and now I'm draining your precious energy.❤
精液が上ってくるのを体で感じるわ❤\nわたしのふともも、おなか、おっぱいって順に押しあげてくる❤\nほら、もう出る❤出ちゃう❤,I can feel your cum rising up through your dick.❤ It's pushing against my thighs. Now my tummy. And now it's rising past my tits.❤ See? It's coming out.❤ Cum for me.❤
我慢なんてしないでイきなさい❤\nふとももすりすりも、巨乳のパイズリも、\nイクまで続けてあげる。ほらほらほら…❤,Don't hold back; just cum.❤ I'll keep rubbing my thighs and squeezing your cock with my big; soft breasts until you climax. Faster; harder; come on...❤
はひぃっ・・・❤❤❤,Hah; hah...❤
きゃは❤見て？どろどろ❤\nすごく濃い魔力が溶けてるわ❤\nあなたの精液で溺れちゃいそうなぐらい出てる❤,Kyaha!❤ Look; it's all gooey... Such thick; potent magic swirling around.❤ You're cumming so much; I might just drown in your semen.❤
あなたは悪くないわ。チンポ人質に取られたから仕方ない、仕方ない。\nぷぷっ、そんなわけないわよね。\n頑張れば振り払えたでしょうに♪,It's not your fault. Your dick was taken hostage; so of course you couldn't resist... Fufu; that's not true though; is it? You could have shaken me off; if you'd reeeally tried~♪
マスターくんは快楽に負けたの。\nちっちゃい体のわたしに、気持ちよくされて、\n勝てる勝負を捨てちゃったのよ❤おバカさん❤,Master-kun; you lost to pleasure. You got pleasured by my little body and threw away a fight you could have won.❤ Silly boy.❤
もらったエナジーのおかげで体力も回復したわ。\nくすくす❤男ってほんとちょろい❤,Thanks to the energy I got; I'm back to full strength. Giggle~❤ Men are really so easy.❤
はう、この人も強いわね。\nまったく、強い相手ばっかりで嫌になっちゃう。,Oh no; this person is strong too; isn't he? Seriously; I'm so sick of facing all these strong opponents.
こうなったらえい・・！,If it comes to this... Ha!
ってあん、わたしの飛びつきを避けないでよ。\nえ？同じ手は食わないって？\nそんなぁ。,Ahhh geez; don't dodge when I try to jump on you. Huh? You won't fall for the same trick as the last guy? That's so unfair...
わたしの体、気持ちいいのよ？\nチンポにふともも押し付けられて、\nこの巨乳で先っぽをずりずりいじめられて、,But you know; my body feels so good. I could press my thighs against your cock while my round tits tease your tip.
抵抗されなければ、\n３分も経たないで射精させちゃうんだから❤\n・・・って、あら？,If you stop resisting; I'll make you cum in under 3 minutes.❤ ...Oh? What's this?
ふふふ❤今の話を聞いて、\nチンポびくびくさせちゃってるわね❤\nねえ、やっぱりわたしに抱き着いてほしいんじゃない？,Fufufu.❤ Even though we're just chatting right now; it looks like your penis is getting pretty twitchy.❤ Hey; doesn't that mean you want me to cling onto you after all?
その大きくなったチンポに、\n妖精のご奉仕を受けたいんでしょ？\nあはん❤素直になった方がいいわ❤,You want that swollen cock of yours to be serviced by a fairy; don’t you? Aha~❤ You’d better be honest about your desires.❤
ね？わたしに抱き着かせて…❤\nそのまま力を抜いて、わたしのサービスを楽しみましょう❤\nどびゅーってするまで快楽に身を任せるの❤くすくす❤,See? Let me hold you tight...❤ Just relax and enjoy my services.❤ Let yourself be pleasured until you explode.❤ Giggle~❤
きゃん！\nううっ、何度もうまくはいかなかったわ…。,Kyaa! Uuu; it didn't go well this time...
ふふ、そうよね、手が出せないわよね❤\nチンポ気持ちよくなりたいものね❤,Fufu; I know. You can't handle it; can you?❤ I know you want to feel good; so just enjoy it.❤
さっきの子がやられた時みたいに、\n全身を使ったご奉仕をしてあげる❤\nほら・・・❤,Just like I did to your ally before; I'm going to pleasure you with my whole body.❤ I'll show you how good it felt...❤
あは❤抱き着かれただけで\nもう反応してる❤\nビクンビクンって揺れて、わたし振り落とされちゃいそう❤,Aha~ Just hugging you is making you react already.❤ It's twitching so much; I might fall off~❤
いくらチンポが揺れても落ちないように、\nぎゅて抱きしめないとね❤\nふとももをなまめかしく絡めて…❤すりすりすり…❤,I have to hold you tight so I don't fall off no matter how much your dick shakes.❤ I'll just wrap it up with my thighs...❤ Let's get started.❤
わたしの肌、\n指で触れるだけでうっとりしちゃうぐらい、すべすべなの❤,My skin is so smooth that even touching touching me with your fingers will leave you entranced.❤
そんな美肌ですりすり擦られると\nチンポぞくぞくしちゃうでしょ？\nくす❤その顔、さっきまでわたしを追い詰めてたとは思えないわね❤,When my soft; smooth skin rubs against your cock; it sends shivers down your spine; doesn't it? Hmm~❤ What a stupid expression you have. I can't believe you almost defeated me just a moment ago.❤
くすくす❤\nそうね❤あなたもチンポより小さい女の子に負けちゃうわね❤,Giggle~❤ Look at yourself.❤ Even a girl smaller than your cock can bring you to defeat.❤
男なんてみんなそう❤\n頑張って戦ってても、ちょっと誘惑してあげれば、\nこんな小さいモンスターにも屈服しちゃう。,All you guys are the same.❤ No matter how strong you seem; just a little bit of temptation and you're submitting to such a tiny monster.
とどめをさしたら、どぴゅってさせてもらえないものね❤\n射精したくてうずいているチンポ、\nこの体で解放してほしいものね❤,When I deliver the final blow; you won't be able to stop yourself from spilling your load~❤ This cock of yours is aching to cum. You want my body to grant you release so badly~❤
あん❤精液が上ってくるのを体で感じるわ❤\nわたしのふともも、おなか、おっぱいって順に押しあげてくる❤\nほら、もう出る❤出ちゃう❤,Ahn~❤ I can feel your sperm beginning to rise against my body~❤ It's pulsing up between my legs; stomach; and now between my breasts~❤ Look; it means you're already about to cum~❤ You're gonna spurt!~❤
きゃは❤見て？\nどろどろ～❤\nたくさんエナジー出しちゃったわね♪,Kyaha~❤ See? It's coming out so sloppily~❤ You're spilling out all of this mana for me.♪
あなたは悪くないわ。チンポ人質に取られたから仕方ない、仕方ない。\nぷぷっ、そんなわけないわよね。\n頑張れば振り払えたでしょうに。,It's not your fault. Your cock was taken hostage so it couldn't be helped; surely. Fufu; as if that's true. In reality; if you had tried harder; you could have shaken me off.
ふふ、びっくりした？魔法で豆粒みたいなサイズにされちゃったわね。,Fufu; surprised? You've been magically shrunk down to the size of a pea.
せっかく小さくなったんですもの。わたしのおっぱいを楽しませてあげる。ほら……❤,Since you've been shrunk down; might as well enjoy my breasts. Here...❤
全身パ・イ・ズ・リ、スタート❤,A full-body pa-i-zu-ri~ Start!❤
イクんだ？いいよ❤パイズリで負けちゃえ❤ほら、ずりずりー❤,Are you going to cum? That's fine.❤ Lose to my breasts.❤ Come on; feel how pleasurable they are.❤
あん、逃げなくてもいいのに。おっぱいに埋もれるなんてなかなかできないよ？,Mmm... there's no need to run away. It's not often you get the chance to be buried in breasts; right?
もう魔法の効果は切れちゃったみたいだし、体の大きさも元に戻っちゃたわね。残念❤,It looks like the magic effect has worn off and your body has returned to its normal size. What a pity.❤
あはん❤負けちゃえ、負けちゃえ❤,Aha~❤ Lose for me!❤
おっぱいで全身をむにゅむにゅー❤幸せでしょ❤,I'm smothering your whole body with my soft breasts.❤ It feels like heaven; doesn't it?❤
こんな経験なかなかできないし、逃げたらもったいない。そうでしょ？,I bet you haven't had an experience like this before. It would be such a waste if you tried to run; wouldn't you agree?
負けたっていいじゃない❤気持ちよくなりましょ❤,It's okay to lose; you know.❤ Just let yourself feel good.❤
おちんちん固くなっている❤わたしにパイズリされて気持ちいいのね❤,Your cock is getting so hard.❤ My titjob must feel incredible~❤
谷間に埋もれるの、気持ちいいわよね。甘いにおいをたくさん嗅いで、頭ふわふわになって❤,Getting buried in my cleavage feels so good. Breathing in my sweet scent; your head must be all fuzzy and light.❤
おっぱいやわらかくて逃げようとしてもどんどん深いところにはまっちゃうわね❤ほらほらほら❤,My soft breasts are impossible to escape; and you just keep getting stuck deeper and deeper.❤
無駄な悪あがきはやめて、おっぱい楽しんだ方がいいと思うわ❤,You should stop struggling and just enjoy my boobs instead.❤
妖精おっぱいよりも小さくされちゃったわね。くすくす❤,You've been shrunk down to be even smaller than fairy breasts. Giggle~❤
もう何も考えなくていいのよ。気持ちいいことだけ考えて、負けちゃいましょ❤,You don't have to think about anything else. Just think about what feels good and let yourself lose to me.❤
くすくす❤最初から何の抵抗もしてないわね❤おっぱいにメロメロ❤,Giggle~❤ You haven't resisted at all from the beginning; have you?❤ You're completely head-over-heels for my tits.❤
あら、抵抗はもうおしまい？気持ちよくておっぱいに夢中になったのかしら❤,Oh; have you given up resisting? Perhaps you're so lost in pleasure that you're completely captivated by my breasts.❤
暴れなくて楽でいいわ❤いい子にはパイズリでたくさんご褒美あ・げ・る❤,It's much more convenient when you don't struggle.❤ If you're a good boy; I'll reward you with my breasts~❤
おっぱいに甘えてるの？かわいいー❤,Are you snuggling up to my breasts? So cute~❤
少しも暴れないなんて、ふふふ、男の人ってほんとおっぱいに弱いわね❤,Not struggling at all; fufufu. Men really are weak against breasts; aren't they?❤
暴れるのはやめたの？いいわよ、パイズリで天国を見せてあげる❤,Have you stopped struggling? That's good; I'll show you heaven with my titjob.❤
試合に負けちゃうのにおっぱいから動けない。気持ちいいので体がふにゃふにゃ❤,Even though you're losing the battle; you can't escape from my breasts. The pleasure is making your body go weak.❤
戦わなきゃいけないのにおっぱいから動けない。気持ちいいので体がふにゃふにゃ❤,Even though you need to fight; you can't escape from my breasts. The pleasure is making your body go weak.❤
