default
細工師ノーム,Craftmaker Gnome
そっかー、手でシコシコしてほしいんだ❤\nいいよ❤わたしの器用な指先で、お兄さんのこといっぱい喘がせてあげるね❤,Oh~ So you want me to stroke you with my hand.❤ Okay~❤ I'll make you moan a lot with my skillful fingerplay.❤
んっ、ごくん・・・❤\nにへへ、いっぱい出したね❤\nわたしのお口でぺろぺろ、ちゅーちゅー、気持ちよかったでしょ❤,Mm; *gulp*...❤ Ehehe~ You let out so much.❤ Didn't it feel good; my mouth licking and kissing you?❤
あは、腰が抜けて地面にへたりこんじゃったね❤\nわたしみたいなちっちゃい子に見下ろされて、\nお兄さん、かっこわるい❤くすくす❤,Aha; you collapsed to the floor; huh?❤ That's so lame; Mister; letting a tiny girl like me look down on you.❤ *Giggle*❤
あはは❤タマタマ握ってあげたら、\nびゅるるうって勢いよく射精しちゃった❤\nもみもみされて精液作り過ぎちゃったのかな～❤,Ahaha~❤ You came with such force when I squeezed your balls.❤ I guess massaging them caused too much semen to be produced~❤
タマタマ刺激されて射精すると、腰の周りがふわぁってなって、\n不思議な気持ちよさだよねー❤\nわたしの揉み方、すごかったでしょ❤にへへ❤,After cumming from having your balls stimulated; your waist gets this fuzzy feeling that feels strangely good; doesn't it~❤ Isn't my massage technique just amazing?❤ Nyehehe~❤
あはは❤手袋で先っぽ磨いてあげたら、すぐ射精しちゃった❤\nおちんちんびくびくぅって震えてる❤\nなでなでしてもらえて気持ちよかったねー❤,Ahaha~❤ I rubbed the tip of your dick with my glove; and then you came right away~❤ It's practically pulsating.❤ It felt good; having me stroke it; didn't it?❤
自分より背の低い子に、おちんちんいい子いい子されて\n射精しちゃうとか、だいぶヘンタイ何じゃない？\nお兄さんのろりこーん❤へんたーい❤くすくす❤,Cumming from a smaller girl giving you a handjob... That's so depraved. Pervy Mister~❤ Degenerate~❤ *Giggle*❤
ううっ・・・❤ダメなのに・・・❤,Uu...❤ I can't take it anymore...❤
あれあれ、わたしの前に来ておちんちんしこしこ始めちゃった。\nどうしたのー。まだ試合中だよー。\n戦いやめっちゃっていいのー？,What's this? You just walked up to me and started stroking your penis. What's the matter~? The match is still going; you know~ Did you want to stop the fight~?
んー、だめだ。ぜんぜん聞こえてないや。\nもうおちんちんいじることで、頭埋まっちゃってるみたい。\nまったく、男の子ってしょうがないんだから。くすくす❤,Hm~ It's no good; he can't hear me at all. Looks like he's already completely distracted with stroking his dick. Geez; boys are so hopeless. *Giggle*❤
どうせもうやめられないんでしょ？それじゃ、ほら、\nロリコンお兄さんには、タマタママッサージをプレゼント❤\nこの木槌で下からぽんぽんって叩いてあげる❤,You can't stop yourself anymore; can you? In that case; here~ I'll massage the Pervy Mister's balls as a special favor.❤ I'll pound it from below with this hammer.❤
大丈夫、つぶしたりしないって。優しく優しく、だよ♪\nほおら、そーっと当てて、ぽん、ぽん♪ぽん、ぽん♪\nにへへ、どう？わたしの叩き方上手でしょ～❤,Don't worry; I won't crush it. I'll be really gentle.♪ Here; I'll reeeally gently hit it. Thump; thump~♪ Thump; Thump~♪ Nyehehe; how is it? I'm really good at pounding; aren't I~?❤
はううぅ、きもちいい・・・❤,Hwaaaaah; it feels so gooood...❤
ふふ❤はじめは少しおびえてたけど、\nだんだん顔がうっとりしてきたね❤\nタマタマ刺激されて、頭の中ふわふわしてきちゃう？,Fufu~❤ You were a bit hesitant at first; but then you became more and more enthralled with it.❤ Are you starting to feel light-headed from all this ball stimulation?
おちんちんシコシコも止めちゃダメだよー。\nシコシコと一緒に刺激されると、一番気持ちいいの❤\n精液どんどん作らされて、それをしこしこ～って押し出しちゃえ❤,Don't stop stroking your penis; okay~? It feels best to stroke while it's so stimulated.❤ Make sure to keep producing semen and squeezing it out with each stroke.❤
お兄さんの反応を見ながらぁー、\nタマタマさんが一番気持ちよくなれる力でぇ、\nやさしくぽんぽん♪とんとん♪,I'll gauge your reaction as I pat you to hit you with the amount of force that feels best. Thump~♪ Pat~♪
あはは❤おちんちんシコシコ早くなってきた❤\nそれじゃ、わたしのリズムも早くしてあげるね❤\nタマタマさん、がんばれー❤とんとんとん♪とんとんとん♪,Ahaha~❤ You started stroking your penis even faster.❤ Then I'll go faster too; alright?❤ Do your best; Mister Balls~❤ Pat pat pat~♪ Pat pat pat~♪
ふふ、段々腰が浮いてきちゃうね❤\nつま先ピーンってなって、ほら、出ちゃう❤\nタマタマから精液昇ってきて、ぜんぶびゅーってなっちゃう❤,Fufu~ Your hips are starting to rise; aren't they?❤ You're flexing your toes out; and look at that; it's starting to leak.❤ Your balls are producing so much semen; and it's all gushing out.❤
小さい子にタマタマぽんぽんされて射精するなんて\nすごくカッコ悪いね❤\nでも我慢できないよね❤おちんちん気持ちいいもんね❤,You're so lame; cumming from a younger girl stroking your balls.❤ But you just can't help it; can you?❤ Your dick just feels too good.❤
ほら、出して、出して❤\n精液ぜーんぶ押し出されて、空っぽになるまで射精して❤\nしこしこしこ❤とんとんとん♪,Come on; let it out. Let it all out~❤ Push all your semen out and ejaculate until there's nothing left.❤ Stroke stroke stroke~❤ Pat pat pat~♪
はへぇ・・・❤あっ、ああっ、とまらない・・・❤,Hweeeh...❤ Ah; aah; I can't stop...❤
くすくす❤とっても勢いよく射精しちゃった❤\nタマタマに貯まってた分があふれ出てきたからかな、\nすっごく濃くて量も多い❤,*Giggle*❤ It shot out so fast.❤ Did so much thick semen gush out because your balls had accumulated so much that it overflowed?❤
あ、そうそう。タマタマとんとん気持ちよかったと思うけど、\n他の人に頼んじゃダメだよ？わたし以外にやらせたら、\nタマタマ潰しちゃうかもしれないし。,Oh; right. I'm sure it felt great getting your balls hit; but don't ask anyone else to do it; okay? If you let anyone else do it; they might accidentally crush your balls.
もしまたしてほしくなったら、わたしのマスターに頼んでね❤\n無敗のルーキーくんなら、たぶんやらせてもらえると思うから。\nそれじゃあねー❤,If you ever want it again; just ask my master; okay?❤ She'll probably say okay since you're the Undefeated Rookie. Well then; see ya~❤
ちっちゃい子の前でシコシコして、タマタマいじられて射精して…❤\n変な癖にならないといいね❤\nくすくす❤,Jerking off in front of a younger girl; having your balls played with; and then ejaculating...❤ Be careful not to develop any weird habits; okay?❤ *Giggle*❤
ううっ・・・❤我慢できない・・・❤,Uu...❤ I can't take it anymore...❤
くすくす❤なになに？\nあなたもタマタマをぽんぽんってしてほしくなっちゃった？\nわたしの前にやってきて、おちんちんシコシコして、ヘンターイ❤,*Giggle*❤ What's up? Do you want me to stroke your balls too? Come on over and stroke your dick in front of me; you perv.❤
仲間が負けちゃうのを見てたら、\nバトルのことなんてどうでもよくなっちゃったね❤\nでも、もっと気持ちいい負け方、いくらでもあると思うんだけど❤,Once you saw the way your ally lost; you didn't care at all about the battle anymore; right?❤ Still; I'm sure there were plenty of better; more satisfying ways to lose.❤
わざわざ自分でシコシコして、\nタマタマを木槌でぽんぽんっていじめられに来るなんて、\nだいぶヘンタイだと思うなー❤,I think it's pretty depraved; going to the trouble of stroking yourself and then coming over just to have your balls pounded by a mallet~❤
くす❤ヘンタイって言われて、おちんちん喜んじゃってる❤\nそっか、お兄さんみたいなロリコンマゾさんには、\n木槌で小突かれるのが逆にうれしいのかなー。ほら、ぽん❤ぽん❤,*Giggle*❤ Your dick got so happy when I called you a pervert.❤ I get it now. For a naughty masochist like you; I guess you prefer getting hit with a mallet. Here; thump thump~❤ Thump~❤
ふふ❤わたしの力加減、絶妙でしょー。\nちゃんと痛くないギリギリの感じで、タマタマをぽんぽんってしてるんだよ❤\nこれも手先の器用さがなせる技かな❤,Fufu~❤ I'm using just the right amount of force; right~? I'm hitting your balls just hard enough that it doesn't hurt.❤ I guess this is also a result of my dexterity.❤
お兄さんもだんだん顔がうっとりしてきたね❤\nまあシコシコ始めたときから、だいぶアヘぇって感じの顔してたけど❤\nでも今はそれよりもっとトロトロの顔してるよ❤,Mister's face is looking more and more blissful; isn't it?❤ Well; from the moment I started stroking your dick; you already had a horny look on your face.❤ But now your face looks even more in heat.❤
おちんちんシコシコしながらタマタマ刺激されると、\nすっごく気持ちいいよねー❤\n精液どんどん作らされて、それをしこしこ～ってどんどん押し上げちゃう❤,Having your balls stimulated while stroking your penis feels good; doesn't it~?❤ It lets you produce semen and then squeeze it out; over and over again.❤
タマタマがきゅってなって、おちんちん段々膨らんできて❤\nふふ、気持ちいいよ～早く出したいよ～って\nおちんちん準備はじめちゃってるね❤,Your balls are getting tenser; and your penis is starting to swell.❤ Fufu; you must be feeling amazing~ Are you getting close to cumming~? Your penis looks ready any moment now; doesn't it?❤
あはは❤おちんちんシコシコも早くなってきた❤\nそれじゃ、わたしのリズムも早くしてあげるね❤\nタマタマさん、がんばれー❤とんとんとん♪とんとんとん♪,Ahaha~❤ You started stroking your penis even faster.❤ Then I'll go faster too; alright?❤ Do your best; Mister Balls~❤ Pat pat pat~♪ Pat pat pat~♪ 
きゃん、いたぁい。\nううっ、こんなちっちゃい子をいじめてひどくない？,Kyaa! That hurts. Aww... You're horrible; bullying a little gnome like me.
え？戦闘中なんだからお互いさまだろって？\nううー、でもわたし気持ちいいことしかしてあげてないよ？\nぼこぼこ攻撃されて不公平だよー。,Eh? All is fair in love and war? Uu... But I've only ever done things that make people feel good; so getting attacked this much is just plain cruel.
そうだ。お兄さんからも、わたしを気持ちよくしてよ❤\nね、いいでしょ？\nそうしてくれたら、おとなしく降参してあげる。,I got it! Mister; please make me feel good too.❤ Hey; is that okay? If you do that; then I'll quietly surrender.
んー、キスってのはどうかな？\nわたしの口にちゅーってして、\nそれでわたしを気持ちよくしてくれたらＯＫ♪,Hmm; how about a kiss? Just give me a kiss on the lips; and if it makes me feel good; then it's all okay~♪
いいでしょー。ねーねー❤チューしようよ❤\n攻撃だけでやられるのはやだよー❤,It's fine; right~ Hey; hey~❤ Let's kiss.❤ I don't want to lose from only getting attacked~❤
無視して攻撃した,Ignore her and attack
言われるままキスをしてしまった,Just one kiss
きゃう！うう、お兄さんのいじわる・・・。,Kyaa! Uu; so my Prince Charming didn't come...*
んふふ❤ぼーっとしちゃってどうしたの？\nあ、もしかして、自分からキスしたことなくて、\nどうしたらいいのか分からないのかなー❤,Fufu~❤ What are you just standing there for? Ah; could it be; is this your first kiss; so you don't know how to do it~?❤
ほら、わたしが教えてあげる。\n女の子へのキスはこうやるんだよ❤\nほっぺにそっと手を当てて、んっちゅ・・・❤,Here; let Little Sister teach you.* This is how you kiss a girl.❤ You gently place your hand on her cheek; and... *Kiss*❤
くすくす❤お兄さんからも口をちゃんと動かさないとダメだよ？\nおそるおそる唇をちょんと突き出すだけじゃ、\n女の子は全然気持ちよくできないの❤,*Giggle*❤ You have to move your lips too; Mister. Just puckering your lips out so awkwardly won't make a girl feel good at all.❤
あは、キスしてくれるの？\nお兄さん、優しいんだね❤,Aha; will you kiss me? Mister is so kind; huh?❤
うん、わたしの背の高さに合わせて、\nかがみこんで・・・❤\nんっちゅ❤,Mhm; bend down to my eye level...❤ *Kiss*❤
くすくす❤なんだか、ぶきっちょなキスだね❤\nお兄さんからはおそるおそる唇を当てているだけ❤\nそんなんじゃ、全然女の子は気持ちよくできないよ？,*Giggle*❤ That was a clumsy kiss; wasn't it?❤ You just awkwardly placed your lips over mine.❤ You won't make a girl feel good like that; you know?
ほら、キスの仕方をわたしが教えてあげる❤\nあー、いま小さいくせにマせているなって思ったでしょ。\n余裕ぶってること後悔させてあげるんだから❤,Here; I'll teach you how to kiss.❤ Ah; you're probably wondering what this little girl's deal is; playing at being mature. You're going to eat those words.❤
わたし、フェラも上手いけどキスもうまいんだよ？\n舌をお兄さんの口の中に入れて、たくさん弄んであげる❤\nんっ、える、れろ・・・❤,Not just blowjobs; I'm also an amazing kisser; you know? I'll insert my tongue into your mouth and play a lot with it.❤ Mm; *swirl*...❤
まだ終わりじゃないよ？\nれるえるれろれろぉ・・・❤,It's not over yet; okay? *Swirl* *lick* *swirl* *swirl*...❤
くすくす❤最初の軽いキスだけで終わると思った？\nわたしの舌の動き、とってもテクニシャンでしょ？\nお兄さんのお口のなか、完全にわたしにメロメロにされちゃったね❤,*Giggle*❤ Did you think we'd be done with just that one light kiss? My tongue moves so skillfully; doesn't it? Your mouth has become totally addicted to that feeling; hasn't it Mister?❤
ほらぁ、気持ちよすぎてどんどん体を支えられなくなってる❤\nわたしを見下ろしてキスしてたのに、\nだんだん頭が下がって、わたしに見下ろされながらキスされちゃうね❤,See? You're feeling so good that you can barely support yourself anymore.❤ You were looking down at me as we kissed; but now your head is dropping lower and lower—and now I'm the one looking down at you!❤
小さい女の子にキステクで負けて、\n上下関係逆転しちゃって悔しい？\nんふふ❤悔しくなんてないよね。だって気持ちいいんだもん❤,Are you frustrated; getting the tables turned on you and losing to a younger girl's kissing technique? Fufu~❤ You don't seem frustrated at all. It felt too good; after all~❤
お口の中、ぜーんぶわたしにれろれろされて、\n舌を出したら甘くじゅるるぅって吸われて\n頭の中とろけちゃいそうでしょ❤,I'll lick every inch of the inside of your mouth; and when you stick out your tongue; I'll suck on it sweetly. Your brain would get overloaded with happiness from that; wouldn't it?❤
いいんだよー❤とろけちゃおうねー❤\n小さい女の子にキスでふにゃふにゃにされちゃおうねー❤\nれるれろえるれろぉ❤じゅるるぅ❤,Don't worry~❤ Let the happiness in; okay~?❤ Just melt and become putty from a younger girl's kisses; alright~?❤ *Swirl* *swirl* *swirl*❤ *Kiss*❤
はぐ、あうう、あううっ・・・❤,Hwaaah; aaah; waaaaah...❤
ふふふ❤おちんちんひくひくしてるね❤\nもしかしてキスだけで射精させられちゃうの？\nあとちょっとでわたしを倒せたのに、こんな一方的に負けちゃうんだ❤,Fufufu~❤ Your dick is twitching; isn't it?❤ Is just kissing enough to make you cum? You were so close to beating me; yet you lost so decisively.❤
んっ、ちゅぷ、このままずーっとキスするのは\n約束破るみたいでかわいそうだから、\nあと10秒だけキスをしたら、解放してあげる❤,Mmph; *kiss*; if I keep kissing you at this rate; it'll seem like I'm breaking my promise. I'll just kiss you for ten more seconds and then let you go.❤
それまで射精をがまんできたら、ちゃんとわたし降参するよ❤\nお兄さんに気持ちよくしてもらえたってことで、\n満足して降参してあげる❤,If you can hold back from ejaculating until then; I'll properly surrender.❤ I'll be able to lose with the satisfaction that Mister made me feel good.❤
ほら、わたしが満足するまで、あと１０秒❤\n１～♪２～♪３～♪\nんっちゅむ❤れるれろぉー❤,Come on; only ten more seconds and I'll be satisfied.❤ 1~♪ 2~♪ 3~♪ *Kiss*❤ *Swirl*❤
はへぇ・・・❤きもちいい・・・❤❤,Hweeh...❤ It feels so gooood...❤❤
くすくす❤ざんねん、たったの３秒で出しちゃったね❤\nそっちの方がおとななのに、\nキスで圧倒されちゃってかっこわるい❤,*Giggle*❤ What a shame; you finished in just 3 seconds.❤ You're the older one here; yet you couldn't even handle a kiss. So lame~❤
わたしの舌の動き、すごかったでしょ？\nさくらんぼでもなんでも結べるんだよ❤\nやさしいお兄さんの体もわたしの舌で弄ばれちゃったね❤ふふ♪,Wasn't the movement of my tongue just amazing? I can tie cherry stems—or anything else—with it.❤ I can even tease the whole body of somone kind hearted; like you~❤ Fufu~♪
わたしの舌の動き、すごかったでしょ？\nさくらんぼでもなんでも結べるんだよ❤\nお兄さんの体もわたしの舌で弄ばれちゃったね❤ふふ♪,Wasn't the movement of my tongue just amazing? I can tie cherry stems—or anything else—with it.❤ I can even tease Mister's whole body~❤ Fufu~♪
きゃん、いたぁい。\nううっ、みんなしてこんなちっちゃい子をいじめてひどくない？,Kyaa! That hurts. Aw... Everyone's so mean; bullying a little kid.
え？その手は食わないって？\nうー、さっきの人は自分でキスしてくれるって言うから、\nしてもらっただけだよ。別にわたし騙したりしてないよー。,Eh? You're won't fall for that? Well; that guy before chose to kiss me himself; so I just let him. It's not like I tricked him or anything~
お兄さんもさ、わたしとキスしようよ❤\nお兄さんはさっきの人みたいに弱くないでしょ？\n女の子とのキスなんて、挨拶みたいなものだよね❤,You too; Mister; won't you kiss me?❤ You're not weak like that last guy; right? Kissing a girl is just like a greeting; isn't it?❤
それともこんなちっちゃい子とキスするのが怖いのかなぁー❤\n童貞のボクじゃキステクでメロメロにされちゃうよ～って\n怖気づいちゃうの？,Or maybe you're too chicken to kiss a little girl~❤ Are you worried that I'll make your virgin self fall in love with my kissing technique?❤
いいでしょー。ねーねー❤チューしようよ❤\n攻撃だけでやられるのはやだよー❤\nわたしのこと気持ちよくして？おねがーい❤,It's fine; right~ Hey; hey~❤ Let's kiss.❤ I don't want to lose from only getting attacked~❤ Make me feel good? Pleeeease~❤
きゃう！ううっ、いくじなし・・・。,Kyaa! Uugh; you coward...
ほら、キスの仕方をわたしが教えてあげる❤\nさっきの人がメロメロにされちゃうの見てたでしょ？\nお兄さんも同じように骨抜きにされちゃうね❤,Come on; I'll show you how to kiss.❤ Did you see how intoxicated that last person felt? I'm sure you'll love it too.❤
わたし、なんでも器用にできるからキスもとっても上手なの❤\n舌をお兄さんの口の中に入れて、たくさん弄んであげる❤\nんっ、える、れろ・・・❤,I'm great at so many things; including kissing.❤ I'll insert my tongue into your mouth and play around with it lots.❤ Mmph; *lick*; *swirl*...❤
はへぇ・・・❤きもちいい・・・❤,Hweeh...❤ It feels so gooood...❤
くすくす❤小さい舌だけどすごくよく動くでしょ？\nお兄さんの舌に絡みついてきて、れるえるって、\nとっても気持ちよくされちゃう❤,*Giggle*❤ My tongue may be small; but it moves really well; doesn't it? It feels so good when it wraps around Mister's tongue; right?❤
どっちの方がおとなか分からないね❤\nわたしの舌に翻弄されっぱなしで、\nふふ、完全に受け身になっちゃってる❤,I can't tell who's the senior one here; can you?❤ You're at the complete mercy of my tongue; fufu~ You're not even resisting anymore.❤
ほらぁ、気持ちよすぎてどんどん体を支えられなくなってるよ❤\nわたしを見下ろしてキスしてたのに、\nだんだん頭が下がって、わたしに見下ろされながらキスされちゃうね❤,Look; you feel so good that you can't even stand anymore.❤ You were looking down while kissing me; but your head gradually fell lower and lower; and now you're looking up while kissing me.❤
はう、あうう、んんっ・・・❤,Haah; uu; nngh...❤
でも、さっきの人も耐えられなかったし、\nたぶんお兄さんも無理だよね❤\nイキたければ我慢せずに出しちゃっていいからね❤,But you know; that guy from before couldn't hold himself back. I bet Mister won't be able to either; right?❤ If you want to cum; then don't hold back.❤
ほら、わたしが満足するまで、あと１０秒❤\n１～♪２～♪３～♪４～♪\nんっちゅむ❤れるれろぉー❤,Come on; only ten more seconds and I'll be satisfied.❤ 1~♪ 2~♪ 3~♪ 4~♪ *Kiss*❤ *Swirl*❤
あひぃ・・・❤,Waaaagh...❤
くすくす❤ざんねん、たったの４秒で出しちゃったね❤\nでも、さっきの人より１秒も長く耐えられたよ❤\nまあたったの一秒だけど❤くすくす❤,*Giggle*❤ What a shame; you only lasted four seconds.❤ Still; you managed to hold on for one second longer than the last man.❤ Well; it's still only one second though.❤ *Giggle*❤ 
わたしの舌の動き、すごかったでしょ？\nそっちの方がおとななのに、キスで圧倒されちゃってかっこわるいね❤,Wasn't the movement of my tongue just amazing? You're the older one here; but you couldn't handle a kiss. So lame~❤
自分でシコシコしたあげく、タマタマをトントンされて射精しちゃったね❤\nくすくす❤恥ずかしい負け方～❤,After stroking yourself; you came just from getting your balls tapped; right?❤ *Giggle*❤ What an embarrassing way to lose~❤
わたしのキスでメロメロにされちゃったね❤\nあと少し頑張れば勝てたのに、ざんねんでしたー。\nくすくす❤,My kiss utterly captivated you; didn't it?❤ You could've won if you'd tried just a little hard; but too bad~ *Giggle*❤
あはは❤タマタマ握ってあげたら、\nびゅって勢いよく出しちゃった❤\nマッサージされて精液作り過ぎちゃったのかな～❤,Ahaha~❤ You shot so far the moment I squeezed your balls.❤ I guess my massaging made you produce too much semen.❤
とっても強いマスターくんなのに小っちゃい手の平に負けて、\nおちんちんはかわいいんだね❤\nくすくす❤,You're such a strong master; yet you lost to such a tiny hand. Your penis is so cute; isn't it?❤ *Giggle*❤
んふっ、ごくっ❤\nぷはぁ、いっぱい出したねー❤\nわたしのフェラすごかったでしょ❤舌の動きには自信があるんだー❤,Mm; *gulp*❤ Pwaah; you let out so much.❤ Wasn't my blowjob just amazing?❤ I really know how to work my tongue~❤
強いマスターくんも、お口でぺろぺろされて、簡単に骨抜き❤\nおちんちん耐えられなくてざんねんでしたー。くすくす❤,Even the strong master lost so easily to my tongue and got drained of all your strength.❤ Too bad your dick just couldn't handle it~ *Giggle*❤
{自分}に敗れた僕は、エナジーを奪われ闘技場の地面に膝をついていた。,Having been defeated by {自分}; I'm left kneeling against the floor. My energy has been completely drained.
いぇーい、わたしの勝ちだね❤\nわたし、おちんちんいじるの上手だったでしょ❤\nノームの女の子って意外とこういうのが得意な子多いんだよ。,Yay~ It's my win; right?❤ I'm really good at playing with dicks.❤ Actually; it turns out plenty of gnome girls are good at this sort of thing.
なんてったってみんな器用だからね～。\nわたしも手先が器用だし、ベロだって上手に動かせるんだぁ。\nお口でぺろぺろしてあげたら、おっきな男の人でも腰砕けになっちゃうよ❤,After all; we're all good with our hands; right~? I'm good with my hands; and I also know how to use my tongue. If I give you a french kiss; then even the biggest man becomes weak in the knees.❤
ねーねー、お兄さんはどうしてほしい？\n試合は終わったけど、まだいじめてほしい？,Hey hey~ What does Mister want to do now? The match is over; but do you still want me to bully you?
ううっ、それは・・・❤,Hnngh; that's...❤
あは、気持ちよくはしてほしいけど、\nここでいじめられるのは恥ずかしいかな？\nそれじゃ今はキスだけしてあげる❤,Aha~ So you want me to make you feel good; but I guess it'd be embarrassing to be bullied here? Then; I'll just give you a kiss for now.❤
