default
ミレーヌ,Mylene
ほら、もっと見ていいのよ❤\nこうやって前かがみで深ーい谷間、見せてあげる❤くすくす❤,Look; you can stare even more if you want!❤ See how I bend forward to show you my deep; deep cleavage?❤ Hmhmhm~❤
ううっ・・・・❤,Ugh...❤
おおっとこれは、戦う前から{主人公}選手、\nおっぱいに見とれているようだ。\nミレーヌ選手の巨乳はやはり男性相手に効果てきめん！,Uh oh; it looks like {主人公} is already mesmerized by Mylene's breasts before the fight even starts. Mylene’s busty figure is certainly effective against male opponents!
期待のルーキーはおっぱいが弱点か？\nもはや勝負は見えているかもしれません、\nさあバトル開始です！,Is the promising rookie weak to big breasts? If so; then the outcome of this match might already be decided. Now; let the battle begin!
ねえ、さっきわたしがお客さんに手を振っていたとき、\nわたしの胸じーっと見てたでしょ❤,Hey; when I was waving to the crowd earlier... you were staring at my chest; weren't you?❤
うふふ❤それだけチラチラ見てたら気づくわよ。\n巨乳の女の子って胸への視線に敏感なのよ❤,Ufufu.❤ If you keep glancing like that; I’ll definitely notice. Busty girls are very sensitive to eyes on their chests; you know.❤
わたしの胸、大きいから、\nゆさゆさ揺れてたら気になっちゃったのよね❤\nかわいいー❤,Since my breasts are so big and they were bouncing up and down; of course you couldn't help but notice; right?❤ That's so cute~❤
ほら、もっと見ていいのよ❤\nこうやって前かがみで深ーい谷間、見せてあげる❤\nくすくす❤,Hora; you can stare even more if you want!❤ See how I bend forward to show you my deep; deep cleavage?❤ Hmhmhm~❤
おおっとこれは、戦う前から{主人公}選手、おっぱいに見とれているようだ。ミレーヌ選手の巨乳はやはり男性相手につよい！,Uh oh; it looks like {主人公} is already captivated by his opponent's provocative breasts before the battle even starts! Mylene's huge chest is undoubtedly a strong asset against male opponents!
期待のルーキーはおっぱいが弱点か？もはや勝負は見えているかもしれません、さあバトル開始です！,Is the promising rookie weak to big breasts? If so; then the outcome of this match might already be decided. Now; let the battle begin!
そう言ってミレーヌは腕で胸を挟んで、わざとらしく谷間を強調してみせた。,Saying that; Mylene squeezed her chest with her arms; deliberately emphasizing her cleavage.
・・・・っ❤,...❤
おっとやはり{主人公}選手も若い男、\nミレーヌ選手の色気に翻弄されてしまうのか！,Oh! As expecte of a young man like {主人公}. Will he be overwhelmed by Mylene's seductive allure?
ミレーヌ選手は上級モンスターこそ召喚できませんが、\n次々現れるフェアリーたちの手数が強烈！\n期待のルーキーは無事さばききれるのでしょうか！,Mylene may not be able to summon advanced-level monsters; but the overwhelming number of fairies she keeps sending out is intense! Will the promising rookie be able to handle it all?
さあバトル開始です！,Now; let the battle begin!
決着ー！！勝者は{主人公}選手！,It's settled! The winner is {主人公}!
前回に引き続き、またもや速攻！\n強い強すぎる。これが期待のルーキー、\n{主人公}選手の実力だ！,Another quick victory; just like last one! What an amazing show of overwhelming strength! This is the true power of the promising rookie; {主人公}!
ミレーヌ選手の胸に集中を乱されていた{主人公}選手、\n始まる前はどうなることかと思われましたが、\n速攻で決着をつけた！,{主人公} was distracted by Mylene's chest before the match started; but despite the initial concern; he secured a quick victory!
煩悩を振り払い、理性を取り戻したようです。\nさすがはサキュバスに2回勝ったDランクマスターだ！,It seems like he managed to shake off worldly desires and regain his composure. As expected of a D-rank master who has defeated two succubi!
Dランクになったばかりだというのに、\n実力を見せつけました。\nあっという間にミレーヌ選手を下し、速攻の勝利です！,Even though he's only recently reached D-rank; he's already showing his true strength. He quickly defeated Mylene in no time at all and claimed a decisive victory!
ミレーヌ選手も健闘しギリギリの攻防戦でした！\nしかし、それを制したのは{主人公}選手！\nこの新人は強い！前回の勝利もまぐれではなさそうです！,Mylene put up a great fight and it was a close battle to be sure! However; {主人公} has emerged victorious! This rookie is strong! It doesn't seem like last time's victory was a fluke at all!
ミレーヌ選手も健闘しましたが、\nそれを制したのは{主人公}選手！\nこの新人は強いぞ！どこまで行くのか！,Mylene put up a good fight; but {主人公} came out on top! This rookie is strong! How far will he go!?
あん、やられちゃったわ・・・。\nま、わたしの実力じゃこんなものよね。,Ah; I lost... Well; I guess this is the best I can do with my abilities; huh?
あなたがわたしのおっぱいに見とれてたときは、\n勝てると思ったのだけど…。\n想像以上に意思が固かったみたい。完敗だわ。,I thought I had you when you were mesmerized by my breasts... But you turned out to have stronger willpower than I imagined. It's a complete defeat for me.
わたしが召喚できない上級モンスターも使いこなしていたし、\nフェアリーちゃんたちだけじゃ荷が重かったかも。完敗だわ。,You were able to summon the advanced-level monsters that I can't handle. It was too much for my faeries alone to deal with. I was completely defeated.
あなたはわたしよりもずっと魔力量が強いみたい。\nきっとこれからどんどん強くなるわ。がんばってね。,Your magical power seems to be much stronger than mine. I'm sure you'll keep getting stronger from here on out. Keep it up; 'kay?
あ、そうそうわたしのお店もぜひよろしく。\n「妖精の酒場」って聞けばだいたいの人が知っているから\n場所もすぐわかるはずよ。,Oh; by the way; do drop by my inn. Most people know it by the name "Fairy Tavern"; so you should be able to find it easily.
あなたみたいな強いマスターには\nぜひ常連さんになってもらいたいわね。\nいい勝負をありがとう♪,I’d love for a strong cardmaster like you to become a regular customer. Thanks for the great match~♪
・・・❤おっぱいに見とれているみたいだし、\nうちに来てくれれば、この谷間また見れるわよ。\nなんて、くすくす❤,...❤ You seem to be admiring my breasts~ You know; if you drop by the tavern; you can see this cleavage again! Just kidding; hmhm~❤
闘技場Dランク３回戦に挑戦できるようになりました。,You've become eligible to challenge the third round of the D-rank arena.
闘技場の勝利報酬を得た！,The winner of the arena was rewarded for his victory! 
「場所移動」から酒場に行けるようになりました。,You can now go to the tavern from "Place Move" (not implemented yet)
あなたが先攻ね。カードは強くても\n気持ちいいことにどれだけ耐えられるかしら。,You're up first. Even if your cards are strong; I wonder how well you can endure pleasure.
うふふ❤おっぱいに見とれて隙だらけね。\nそんな状態じゃ一方的に攻撃されちゃうわよ？,Ufufu.❤ You're completely captivated by my breasts; leaving yourself wide open. You're entirely defenseless and open to attack in this state; aren't you?
わたしが先攻ね。\nフェアリーちゃんたちの力で翻弄してあげる。,I'll make the first move. I'll play with you using the power of my fairy companions.
ドロー。,Draw.
わたしのターンね、ドロー。,It's my turn; I'll draw.
わたしにできるかしら。\nえいっ、モンスターをコストに{使用カード}を上級召喚！,I wonder if I can do this... Eei! I'll sacrifice a monster to perform an advanced summoning of {使用カード}!
{使用カード}を召喚！,Summon {使用カード}!
フェアリーたちには全員、\nレベル3以下の味方モンスターを強化する効果があるわ。,All of the Cocktail Fairies have an effect that enhances ally monsters of level 3 or lower.
ライムがいる限りわたしのレベル３以下モンスターは\n戦闘時に相手に「酩酊」を付与する。\nふふ、たっぷり酔わせてあげる❤,As long as Lime is on the field; my monsters of level 3 or lower will inflict "intoxication" during battle. Fufu; I'll make you thoroughly drunk.❤
パープルがいる限り\nわたしのレベル３以下モンスターは攻撃力が200ポイントアップする。\nパワーアップした体で気持ちよくしてあげるわね❤。,As long as Grape is on the field; my level 3 or lower monsters get a 200-point attack boost. Their powered-up bodies can make you feel really good~❤
シトラスがいる限りわたしのレベル３以下モンスターは\n受けるダメージが200ポイントダウンする。\n堅実な防御アップは意外とバカにならないのよ。,As long as Citrus is on the field; my level 3 or lower monsters receive 200 points less damage from all sources. A reliable defense boost is not something to underestimate!
ううっ、あうう・・・❤,Ah; Ahh...❤
あら、蘇ったばかりなのにもううっとりしちゃってる❤\nさっき負けたのが忘れられないのかしら❤\nかわいい❤,Oh; you've just been revived and you're already entranced...❤ Can't seem to forget your earlier loss; can you?❤ So cute~❤
さらにもう1枚発動！,I'll activate another card! 
通常召喚に成功したときカクテルフェアリーの共通効果発動！\nデッキからカクテルフェアリーを１枚手札に呼ぶわ。,When a normal summon is successful; I activate the shared effect of the Cocktail Fairies! I call one Cocktail Fairy from my deck to my hand.
通常召喚に成功したとき{使用カード}の効果発動ね！\nカクテルフェアリーを１枚デッキから手札に加えるわ。,When I successfully normal summon a Cocktail Fairy; I activate the effect of {使用カード}! I'll add a Cocktail Fairy from the deck to my hand.
特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムなモンスターカードを１枚手札に加える！,When a special summon is successful; I activate {使用カード}'s effect! I'll add one random monster card from my deck to my hand!
{使用カード}の特殊召喚時に効果発動！\nデッキからランダムなモンスターカードを１枚手札に加える！,Upon special summoning {使用カード}; I activate its effect! Add one random monster card from my deck to my hand!
通常召喚に成功したとき{使用カード}の効果発動ね！\nデッキからカクテルフェアリーを１枚手札に呼ぶわ。,When a normal summon is successful; I activate {使用カード}'s effect! I'll call one Cocktail Fairy from my deck to my hand.
特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムな罠カードを１枚手札に加える！,When a special summon is successful; I activate {使用カード}'s effect! I'll add one random trap card from my deck to my hand!
{使用カード}の特殊召喚時に効果発動！\nデッキからランダムな罠カードを１枚手札に加える！,Activate {使用カード}'s effect upon special summoning! I add one random trap card from my deck to my hand!
特殊召喚に成功したとき{使用カード}の効果発動！\nデッキからランダムな魔法カードを１枚手札に加える！,When a special summon is successful; I activate {使用カード}'s effect! I'll add one random spell card from my deck to my hand!
{使用カード}の特殊召喚時に効果発動！\nデッキからランダムな魔法カードを１枚手札に加える！,When I special summon {使用カード}; its effect activates! I can add a random spell card from my deck to my hand!
小さな風でも集まれば強くなる！\n{使用カード}を発動！,Even a small breeze can gather strength! I activate {使用カード}!
風の力でダメージよ。\n{使用カード}を発動！,You're about to be damaged by the power of the wind! I activate {使用カード}!
墓地に上級モンスターがいないとき、\n墓地のレベル３以下モンスター２枚を取り除いて\n{使用カード}を発動！,If there are no advanced-level monsters in the graveyard; I can banish two monsters of level 3 or lower from the graveyard to activate {使用カード}!
手札からレベル３以下のモンスターを可能な限り特殊召喚するわ！,I'll special summon as many level 3 or lower monsters from my hand as possible!
わたしの切り札よ。\nLPを半分払って{使用カード}を発動！,This is my trump card. I'll pay half my LP to activate {使用カード}!
レベル３以下のモンスターが３体いるときのみ発動できるカードなの。\nターン終了時まで全員の攻撃力を400アップよ。\nさらに全員直接攻撃できるわ！,This card can only be activated when there are three level 3 or lower monsters on the field. It increases their attack power by 400 points until the end of my turn. Plus; they can all attack you directly!
さあ、酒宴を楽しみましょう？\nLPを半分払って{使用カード}を発動！,Let's enjoy the feast; shall we? I'll pay half my LP to activate {使用カード}!
自分フィールド上にレベル３以下のモンスターが３体いるとき、\nターン終了時まで全員の攻撃力を400アップ！\nさらに全員でプレイヤーに直接攻撃できるわ！,When there are three level 3 or lower monsters on my field; their attack power increases by 400 until the end of my turn! Plus; they can all attack the opposing player directly!
小さくなりなさい！{使用カード}発動！,Shrink down! I'm activating {使用カード}!
おっぱいにおぼれさせてあげる！{使用カード}発動！,I'll drown you in breasts! Activate {使用カード}!
あん❤攻撃しないで？\n妖精カードへの攻撃に対して{使用カード}を発動！\nあなたたちに魅了を付与するわ！,Ah ahh~❤ Are you sure you should attack? I'm activating {使用カード} in response to your attack on my fairy cards! You and your monsters will be charmed!❤
攻撃なんてやめて幻におぼれてなさい❤\n妖精カードへの攻撃に対して{使用カード}を発動！\nあなたたちに魅了を付与するわ！,Stop attacking and drown in the illusion...❤ I'm activating {使用カード} in response to your attack on my fairy cards! You all will be charmed!❤
相手がカードの効果で山札からカードを手札に加えたとき、\n手札を１枚捨てて{使用カード}を発動！\nあなたの手札をランダムに２枚デッキに戻すわ！,When you add a card from your deck to your hand through a card effect; I discard one card from my hand to activate {使用カード}! I'll return two random cards from your hand to your deck!
かかったわね。\nカードの効果で山札から引いたとき{使用カード}を発動！\nあなたの手札をランダムに２枚デッキに戻す！,You've activated my trap card! When you draw cards from your deck by a card effect; I'll activate {使用カード}! Now two random cards from your hand are returned to your deck!
連携して守らせてもらうわね。\n{使用カード}発動！,Our bond will shield you from harm. Activating {使用カード}!
自分フィールド上に３体モンスターがいるときに発動できるカードで、\nこのターンわたしのモンスターが受ける戦闘ダメージを０にするわ！,This card can be activated when there are three monsters on my field. It will reduce all battle damage my monsters take this turn to zero!
装備魔法カード発動！{使用カード}！,Magic card activate! {使用カード}!
魔法カードを発動！{使用カード}！,Activate magic card! {使用カード}!
トラップカードを発動！{使用カード}！,Activate trap Card! {使用カード}!
カードをセット。,Card set.
カードを伏せるわ。,I'll set this card face down.
わたしも行くわ。{防御カード}を攻撃！,I'll join in the attack. I'll attack your {防御カード}!
わたしのテクを見せてあげる。{防御カード}を攻撃！,Let me show you my technique. I'll attack your {防御カード}!
{使用カード}で{防御カード}を攻撃！,With {使用カード}; I'll attack your {防御カード}!
行きなさい。{使用カード}で{防御カード}を攻撃。,Let's go! {使用カード}; attack his {防御カード}.
あんっ、このままじゃ負けちゃうかも。ターンエンド。,Ahh... At this rate; I might lose. End turn.
手札に使えるカードがないわね。ターンエンド。,I have no usable cards in my hand. Turn end.
ターン終了するわ。,I'll end my turn.
わたしのターンはおわりよ。ターンエンド,My turn is over! Turn end.
どうぞ。わたしのターンは終わり。ターンエンド。,Go ahead; my turn is over. Turn end.
おっぱいで挟まれたい？\nいいわよ、挟んであげる❤,Do you want to be squeezed between my breasts? I'll gladly wrap them around you.❤
むにっておちんちんに押し付けられて、\nふふ、とってもやわらかいでしょ？\nとろふわの感触で骨抜きになりなさい❤,Pressed up against your cock... Fufu; it feels so soft; doesn't it? Let the silky and tender sensation leave you utterly spellbound.❤
おちんちん勃起してる❤\nふか～い谷間見てたら興奮してきちゃった？,Your cock is rock hard.❤ Did getting a glimpse of my deep; deep cleavage make you all hot and bothered?
その大きくなったおちんちんが埋って見えなくなるまで\nむぎゅむぎゅって挟んであげちゃう❤\nおっぱいに全部包まれる気持ちよさ、たっぷり楽しんでね❤,I'll squeeze you until that big; hard cock of yours disappears between my breasts.❤ Enjoy the incredible pleasure of being completely enveloped by my boobs.❤
パイズリしてあげるわね。\nわたしこれが一番得意なの。,I'll give you a titjob. This is my specialty.
男の人ってみーんなおっぱいが好きでしょ？\nあなたもそうみたい。そんなにガン見しちゃって\n挟まれたらすぐに射精しちゃいそうね❤,Don't all men just love breasts? It looks like you do; too. You're staring so hard; I bet you'll cum as soon as you're squeezed between them.❤
男の人ってみーんなおっぱいが好きでしょ？\nうん？自分は違う？,All men love boobs; don't they? Hmm? You say you're different?
それならあなたもおっぱいフェチに変えてあげる。\n爆乳パイズリたっぷり楽しんでね❤うふふ❤,In that case; I'll just have to make you into a tit-fetishist too. Just enjoy the feeling of my huge breasts enveloping you in pleasure~❤ Ufufu.❤
パイズリは好き？おっぱいで挟んですっごく気持ちよくしてあげるわね❤,Do you like titjobs? I'll squeeze you between my breasts until the pleasure overflows~❤
谷間に見とれて棒立ちになっちゃうぐらいですもの。おっぱいフェチのあなたには効果ばつぐんだと思うわ。ほら、むにゅー❤,You were so mesmerized by my cleavage; you just stood there frozen. This must be super effective on a boob fetishist like you. Hora; let me give them a little squeeze~❤
おっぱいの柔らかさには自信があるの。きっとすぐに腰砕けにしてあげられると思うわ❤ほら、ずりずり…❤,I'm confident in the softness of my breasts. I'm sure I'll break your willpower in no time at all.❤ Hora; they're sliding up and down...❤
お客さんもみんなこのおっぱいを見てくるけど、バトル以外では使ったことないのよ。わたしの爆乳を楽しめるなんてあなたはラッキーね❤くすくす❤,All of my customers go to my inn to ogle my breasts; but I've never used them outside of battle. You're really lucky that you get to enjoy my huge boobs; huh?❤ Hmhmhm~❤
あはん❤見なさい、わたしの谷間❤,Ahahn~❤ Look at my cleavage.❤
服のすそを指で下げてエローいところ、\nたくさん見せてあげる❤\nしこしこしちゃってもいいわよ。くすくす❤,I'll pull down the hem of my dress with my fingers and show you such an erotic view.❤ You can stroke yourself too if you want!❤ Hmhmhm~❤
こうやって前かがみになってぇ・・・❤\nうふふ、おっぱいに見とれちゃっていいわよ❤,I'll bend forward like this...❤ Ufufu; go ahead and get mesmerized by my breasts~❤
わたしの爆乳のふかーい谷間。\n指でもおちんちんでも簡単に飲み込めちゃう❤\nねえ、あなたもこの中に入れてみたい？くすくす❤,My huge tits make such a deeep cleavage. Look; my finger completely disappears when I stick it in there... I bet they could easily swallow up your cock.❤ Hey; would you like to try? Hmhmhm~❤
ほら、腰をくねらせてセクシーポーズ❤\nあはーん❤,Hora; I'll sway my hips in a sexy pose~❤ Ahahn~❤
くすくす❤こんなわざとらしいお色気技で\nクラってきちゃんだ。うぶでかわいいわね❤,Hmhmhm~❤ I'm using such an obvious seduction technique; but you're geting all dizzy. You're so innocent and cute; huh?❤
特にあなたみたいなおっぱいに弱い男はイチコロ❤\nほらぁ、おっぱい揺らしてあげるから、\nいっぱい興奮して頭バカになりなさい❤うふふ♪,Men don't stand a chance against me; especially men like you who are weak for boobs.❤ Look; I'm shaking my tits for you; so get excited and let your mind turn to mush.❤ Ufufu~♪
おっぱいを手で持ってゆさゆさゆさ…♪,Softly swaying my breasts... Watch me shake them with my hands...♪
谷間に見とれて棒立ちになっちゃうぐらいですもの。\nおっぱいフェチのルーキーくんには効果ばつぐんだと思うわ。\nほら、むにゅー❤,You were so mesmerized by my cleavage that you just froze in place. For a rookie with a breast fetish like you; this is super effective. See? So soft and squishy~❤
見ればわかるでしょ？\nおっぱいの柔らかさには自信があるの。,You can tell just by looking; can't you? I'm confident in how soft my breasts are.
きっとすぐに腰砕けにしてあげられると思うわ❤\nだから挟ませてほしいなぁ❤うふふ❤,I'm sure I'll have you collapsing in no time.❤ So please; may I squeeze you between them?❤ Ufufu~❤
くす❤自分からおねだりしちゃうのね❤\nおっぱいにムラムラして、我慢できなくなっちゃった？,Heeh~❤ You're begging for it yourself; huh?❤ Are you so aroused by my boobs that you can't hold back anymore?
まだバトルは始まったばかりなのに、\nわたしの深ーい谷間に目が釘付け❤\nおっぱいのこと以外何も考えられなくなっちゃったわね❤,The battle's just begun; and your eyes are already fixated on my deep cleavage.❤ You can't think about anything other than my boobs now; can you?❤
わたしの気持ちよすぎるエッチなおっぱい❤\nうぶな男の子には刺激が強すぎたかしら❤\nルーキーくん、さっきからずっと谷間に目が釘付けね❤,My incredibly arousing; sexy breasts...❤ Perhaps they're too intense for an innocent boy like you.❤ Mister Rookie; your eyes have been glued to my cleavage from the start.❤
あなたはどんなふうに負けたいのかしら❤\nわたしにどうやって射精させてほしいのか、言えばしてあげるわよ❤\n例えばパイズリとか、ね・・・❤,How do you want to lose; I wonder?❤ If you tell me how you want me to make you cum; I'll do it for you.❤ For example; a titjob maybe...❤
くすくす❤わたしに攻撃しに来たかと思ったら、\n逆にエッチなことをねだるたなんて、\nカッコ悪いモンスターね❤,Hmhmhm~❤ You came to attack me; but now you're begging for something naughty instead? What an uncool monster you are; huh?❤
やっぱりこのおっぱいが気になっちゃったの？\nちょっと露出の高い格好をしたらホイホイ釣られてやってきて、\n男の子ってとても分かりやすいわ❤,So; you just couldn't resist my breasts; could you? Wear something a little revealing and boys come running... You're so easy to understand.❤
わたしにどうやって射精させてほしいのか、言えばしてあげるわよ❤\n例えばパイズリとか、ね・・・❤,If you tell me how you want me to make you cum; I'll do it for you.❤ For example; a titjob; perhaps...❤
骨抜きパイズリ,Spellbinding Titjob
魅惑の谷間,Enchanting Cleavage
なんでも,You decide
くす、やっぱりおっぱいでズリズリしてほしいのね❤\nわたしのパイズリすごく気持ちいいから、\nきっとあなたもすぐ腰砕けになっちゃうわね❤,Aha; so you really do want me to rub you off with my breasts; huh?❤ My titjob feels so amazing; I bet you'll be defeated in no time.❤
頑張って少しは耐えてみなさい❤\nうふふふ❤,Try your best to hold out a little longer; okay?❤ Ufufufu~❤
あら、パイズリしてあげるって言ってるのに、\n谷間を見せて挑発だけしてほしいの？,Ara; even though I'm offering you a titjob; you just want me to tease you by showing off my cleavage instead?
くすくす❤焦らされるのが好きだなんて、あなた変わってるのね❤\nいいわよ❤あなたに指一本触れないで射精させてあげる❤,Hmhmhm~❤ So you like to be teased... You have some unique tastes; don't you?❤ Alright~❤ I'll make you cum without even touching you.❤
あん❤谷間から噴き出しそうな勢いで出てる❤\nあなたのおちんちん、わたしのパイズリテクで瞬殺されちゃったわね❤,Ahh~❤ Your cock is erupting with such force from between my tits...❤ My titjob technique completely defeated you in an instant; huh?❤
わたしの柔らかいおっぱいは気持ちよかったでしょう？\n相手がどれだけ強くても、男の子はみんなこれに負けちゃうの。くすくす❤,My soft breasts felt amazing; didn't they? No matter how strong my opponent is; all guys end up succumbing to this technique. Hmhmhm~❤
ふふ、元気よくどぴゅどぴゅって射精できたわね❤\nおっぱい見せつけられて焦らされて、\nそれだけで勝手に射精しちゃうんですもの。弱いおちんちんね❤,Fufu; you came so vigorously with those powerful spurts; didn't you?❤ Being teased by just seeing my breasts; you ended up cumming all on your own. Such a weak cock...❤
あは、すっかり棒立ちね。\nバトル開始前からおっぱいに見とれて、されるがまま❤,Aha; you're completely frozen; huh? Mesmerized by my breasts before the battle even started; letting yourself be at my mercy.❤
そのままじっとしていなさい。\nパイズリで追い討ちして、このまま終わらせてあげる❤,Stay still just like that. I'll finish you off with a titjob and bring this to an end.❤
あは、すっかり棒立ちね。\nおっぱいフェチのあなたは、もうメロメロみたい❤,Aha; you're completely rock hard. You must be a total boob fetishist since you seem to be already head over heels.❤
そのままじっとしていなさい。\nもっともっとパイズリしてあげる❤,Stay still just like that. I'll treat you to more and more of my paizuri~❤
あら、もう出ちゃうんだ❤\nまだ１ターン目なのに、あんっ❤,Ara? You're already about to cum? It's still just in the first turn... Ahh~❤
ん、もう出ちゃう？\nいいわよ、ほらおっぱいぎゅー❤,Hmm; about to cum already? That's fine. Here; let me squeeze my boobs tighter~❤
うふ❤わたしのおっぱいにあっさり陥落しちゃったわね❤\n腰が抜けるぐらいパイズリ上手だったでしょ？くすくす❤,Ufu~❤ You've succumbed to my boobs so easily... It looks like my titjob was so good that you're already unable to resist; huh? Hmhmhm~❤
あん、逃げなくていいのに…。\nこのままイっちゃうまで楽しみましょうよ❤,Ahh; you don't have to run away. Let's enjoy this until you cum.❤
おっぱいの中に出すの、とっても気持ちいいわよ？\nくすくす❤,Cumming between my boobs feels so good; you know? Hmhmhm~❤
